A0A286YCV9	Q70AM4
Q91ZH7	D4A3D4
Q8BJA2	D3ZM22
Q8BHS8	F1LUC0
P41245	D3ZYK8
Q64700	G3V7P7
E0CZ16	J3KTS0
P39447	A0A0G2K2P5
P33033	P32244
D3Z5T1	F7ELZ7
Q8VCW2	Q6IFX0
P12246	A0A0H2UHH2
P14106	G3V7N9
P60766	Q8CFN2
Q64FW2	G3V7V6
Q6Y4S4	Q7TSB7
Q7TN31	F1MAK0
Q8R464	F1M7V6
Q9JLI7	F1LXV9
Q6PNC0	D4AA13
Q91V88	A0A0G2K8C1
P39689	Q64315
G3X8R1	B2RYG4
Q9JIW4	Q66HH0
Q9ERD8	D3ZWK2
A2ACJ2	D3ZX03
P31315	G3V634
P28235	Q03190
Q9CUN6	A0A0G2K612
Q9EPK2	A0A0G2JUM3
Q9QY84	Q641W9
Q8BGN2	Q5M845
Q7TNB8	A0A0G2JZZ8
P12023	P08592
Q9JKQ4	A0A0G2K2M1
Q80W68	Q6X936
P28700	Q0VJ96
Q9Z0Y2	P04055
P28481	F1LRM7
A2A5R2	Q7TSU1
P49769	P97887
Q8CIV7	D4A5U5
Q9D0A3	D4A1B2
E9QK16	F1LMF4
Q62245	D4A3T0
P07607	P45352
Q9D7F2	D3ZUF1
Q45KJ6	D3ZIK1
Q6PAJ1	F1LXF1
Q9WUD1	D4A4T0
Q8BHL7	Q5BJM7
P32507	Q5FVC5
Q9WTM5	G3V8T5
O88673	P51556
Q9CQI4	F1LQ29
Q8BQ30	G3V629
Q62053	Q62928
P14602	G3V913
Q0VDY1	D3ZSJ1
Q8R3C0	B1H268
Q5SXJ3	A0A0G2K475
Q8JZM6	Q5BK67
Q497V9	F1LUZ0
P68369	P68370
Q99MR3	M0RAK3
Q8VBV8	D3ZID7
Q9QZA0	Q66HG6
Q5I012	E9PT23
Q8R3J5	B3STU3
P58334	B2GUY9
Q921D9	A0A0G2JTY1
Q8CEE7	D3ZFR9
Q8K2L8	D3ZE49
Q0HA38	D4A333
P21126	B2GV38
Q6ZPL9	D3ZX56
Q99LD9	F7EVX2
Q9D4H8	A0A0G2K761
Q9CPV2	D3ZDN9
Q61069	O35410
Q923E4	A0A182DWI7
Q9QZ09	F1M8G0
Q8BR07	D4ADZ2
P21956	P70490
Q99LI5	A0A0G2K3M5
P02340	P10361
Q9Z0F6	D3ZXM2
A2BGN7	Q5BJY8
O70303	D3ZKI3
Q8BGD9	Q5RKG9
Q8R1N0	Q3MHS2
Q80U56	D3ZVU6
P08122	F1M6Q3
Q80T21	Q4FZU4
Q9QZ26	A5HKJ1
Q148W0	D4AA47
Q9CPU4	D4ADS4
P51910	M0R4S2
Q9QWW1	O88801
P59266	D3ZWT2
Q9D1M4	B2RYN3
Q76LW6	D3ZGN3
Q6IFX3	Q6IFW2
Q8K2Y9	A0A0G2JZF5
Q64322	Q6AY81
Q3U3M5	A1L1L5
Q64323	D4AAY7
Q9DC23	Q498R3
Q7TQP2	Q7TQN7
Q8K450	A0A0G2K9K6
Q80W22	Q5M7T9
Q7TNC6	D4ADC4
A2AT37	D3ZT03
Q64311	A0A0G2JWG0
E9PYV1	E9PT44
Q3UU96	G3V6C9
P17433	Q6BDS1
E9PYN9	Q498N2
Q8R1Y2	Q5FVJ5
P63157	P63156
Q5SXC4	F1M8R0
P60060	B5DEL7
Q8VI78	P97535
Q8CFE2	D3ZMN2
O88705	Q9JKA8
Q9JKX8	D3ZZ76
P54751	E9PSJ1
P51675	Q9JLY8
Q6P1H7	D3ZLE1
Q9DBD2	D3ZG81
E9Q4F7	D3ZSU6
Q562E2	F1LYX1
Q4U4S6	F1LMC2
Q60841	F1LZI7
P11276	A0A096P6L8
Q62312	P38438
Q8BUN5	P84025
A2A259	D3ZDT6
Q8K1Y2	D4A229
B9EHI3	D4AA19
Q8C120	M0R6D9
Q9D300	D3ZVN9
P48972	D3ZLC6
Q8VDL9	D3ZIA9
Q8BZ00	D4A7H1
Q8CGP5	Q6I8Q6
P14142	P19357
Q8VE91	A0A0G2JUQ3
Q8CI96	F1LRN4
Q9Z0S3	Q5BJQ1
Q9D3S5	M0R8N7
Q0VGM9	Q5RJZ1
Q91Y86	F1LP66
Q9D1D6	Q8CG08
P31750	P47196
Q7TPG5	B1H244
Q3UHI4	M0RAT6
Q9D8U3	D4A9L9
Q62440	D3ZCM7
O88992	D3ZEN8
Q9CW79	D4A6K4
Q3UZ64	A0A0G2JTY4
Q8K288	M0R7K3
Q9CQA5	Q561Q8
Q8R0W1	D4A489
Q9JJS7	O35811
P01101	P12841
O35473	B5DEI6
Q8VHQ3	D4AA72
Q9D772	D4AAI7
Q9ERK0	D4AAK5
Q9DD24	B2RYT6
Q921E6	B5DF02
Q8BH79	D3ZF54
Q3U1N2	F1MA23
Q8CIN6	D4A916
P00342	Q6AYX2
Q62108	P31016
P97770	D3ZSV7
Q9CZ69	Q7TNZ9
Q99JP0	A0A0G2JYP2
Q6PEV3	D3ZUD3
Q9R207	G3V766
Q8CHD8	Q66H66
Q9CQF4	M0R7R2
O35310	G3V7E2
Q8BW22	Q91XJ0
Q01279	G3V6K6
A8Y5H7	D3ZKG3
Q62447	G3V738
P13412	P27768
Q91YI4	P29067
Q9DBX7	D3ZIH3
Q99M15	D3ZA66
Q6GYP7	O55007
Q8BPX9	Q924V4
F6RPJ9	P35559
P70160	P01257
P62325	Q63073
Q8K349	Q5FVN6
Q91VD1	D3ZBX1
Q9Z0Z3	B2GUZ0
Q60676	P53042
Q9WUT7	Q8CH33
P19091	A0A0G2JSI8
Q8BW74	F1M972
P62761	P62762
E9Q9A6	B8K1X9
Q3UHX9	A0A0G2QC59
P36898	M0R3J4
Q8BFW7	Q5XI07
Q9QY66	B5DEI7
Q99K23	Q5XIB4
Q9ESF1	Q9ERC5
Q7TPD0	D3ZUT9
P59240	G3V9Y6
Q3SYK4	M0RCR3
Q8R373	Q8K1G0
Q6NSV7	Q5PQL8
P51658	Q5I0N4
P22518	D4ADG3
A2ARI4	Q9Z2H4
Q1RNF8	D3ZMX5
Q6W8Q3	B1WC83
P51943	G3V802
Q925N4	A0A0G2K8J2
Q9CPN9	G3V7Q8
Q9ES03	A0A0G2KAH3
Q99K46	Q5D006
P97477	Q3MHU2
Q9JJ06	Q9JJ05
Q99JB6	D4Q8I2
Q80WJ1	Q66HC8
Q64010	Q63768
Q6ZPR6	D3ZH46
P40630	Q91ZW1
P12961	G3V714
Q91V17	D3ZIQ9
P54823	D3ZD73
Q9ERG0	F1LR10
Q7TN60	A0A0G2JT44
P23116	Q1JU68
Q3UZ01	Q4G055
Q6ZQB6	A0A096MK18
P60521	P60522
Q8C3R1	D3ZSM9
Q8BL80	A0A0G2JTT7
P97436	Q497B7
P35419	F1LN48
P29788	Q3KR94
Q6PGH1	O70454
Q91XA8	F2Z3R0
Q8BPK2	D3ZZ10
Q8BVR6	A0A0G2K1G4
Q9WTX6	B1WBY1
Q61214	Q63470
O08969	F1LME7
Q8BJK1	B1WC97
P56280	D3ZWG3
G3X9F5	D3Z8U5
Q920H1	Q71MM7
Q01705	Q07008
P55095	G3V6P5
Q9JJV5	Q8VHX0
