E9PV87	G3V9B1
A0A0R4J0U3	F1LQ83
P41588	Q62880
Q8CFD4	Q4V7F5
A0A0R4J017	D4A0C8
Q9ERS7	G3V7W4
Q61767	P38483
Q8C5V5	F1M8Z5
Q8R4U1	A0A1W2Q6D5
Q91Z61	Q5BJX0
Q2NL51	F1LUG5
P81068	Q9JKA8
E9Q6Y4	Q14TE9
Q8K1K3	Q6E0V2
Q6DI86	D3ZFR0
Q9D548	D4A915
Q8K3Y3	D3ZZQ5
Q5S003	D3ZXP4
Q2VWQ2	B2GV31
Q99MW1	F1M7W9
A0A0R4J0F8	D3ZF46
O08573	P14942
P15208	D4A8N1
Q9ES70	D4A058
P83741	Q9JIH7
Q5SV80	D3Z8I9
O54885	B4F7C1
P98063	F1M798
P0DI97	D3ZNK1
Q8VD46	E9PTB3
Q9WUU8	D3ZHV1
Q8VIK1	F1LV71
Q8BTF8	P35400
P82343	Q9JKS6
E9PXX8	M0R4T9
Q8VDG5	D4A6X7
Q9D132	Q8CJE3
Q61686	B2RYU7
P11378	F1LSG1
Q9QUM5	B5DFF9
P39655	D3ZCK7
Q99L27	Q9Z1Z1
P43021	G3V777
Q14AT2	D3Z868
P61028	B6RHI6
Q8C6Z1	P48973
Q0VBL1	F1LVC4
P17433	Q8K553
B1AR51	F1LV07
Q8CGN4	D4A2J9
Q62432	O70436
Q3TUL7	P35524
O70577	D3ZLC4
Q9D309	A0A096MJ41
Q99MS3	D4A460
P62631	P62632
Q8VDV3	F1LPG6
Q9ERI5	A0A0G2JXT9
P51437	G3V8S9
Q9JHA8	Q6MG64
Q91VX5	F1LU96
A6H639	P23565
O55102	G3V7U3
P84102	P86252
P01882	D3ZKI2
E9Q4Y4	D3ZBD0
P46662	G3V717
Q9DB15	D3ZXF9
P50220	Q497C2
P21180	D4AEJ6
G3X8Y8	Q5XIR8
O08969	D4A8F7
Q99JA4	F1M8J5
P61460	A0A0G2K6M8
Q9DAI9	Q6TXF8
Q91W39	Q6MG72
Q99ML6	D3ZMM0
Q61245	P20909
Q9D9N8	Q06646
Q9JLG4	G3V6M3
P70190	A0A0G2K7I4
A0A0R4J0G6	Q63155
Q8K045	Q63945
Q80VM8	A0A0G2JUJ3
Q9QYY0	A0A0G2JY08
Q8R2R6	Q6TXG9
Q8BIR2	E9PU85
Q9WUG6	A0A0G2K6E5
P28867	A0A140UHX0
Q9QXT6	G3V8K9
Q62011	D4ABS1
Q9CQU3	Q498C8
P36993	P35815
P46460	G3V8T5
Q9CXU1	D4A7J4
P47774	Q6U2D6
O88712	F7FG31
Q9CVI2	D4A9W1
A0A0R4J090	Q99NB2
Q9R1R0	D3ZDG6
Q9ESL9	G3V8R2
P97402	F1LUC0
Q8K2D3	A0A0H2UHJ1
Q9EQC1	D4A2E9
Q5S006	F1LNJ1
E9Q2H1	H9KVE3
Q9DCN7	D3ZG84
O35367	D3ZVD7
Q9D4B2	Q9EQJ1
Q8CHK2	G3V7L7
O35457	D3ZVM9
Q6PGN1	D4A723
A2AGA4	F1LPZ6
Q99LM9	A0A0G2K7C9
Q9R0N9	F1MAM2
Q3U4I7	Q68FT3
P49766	A0A0G2K8V6
Q9JJ59	A0A0A0MY39
Q8R1N0	Q5XIB2
Q0VE82	F1M5Q3
P11609	D3Z8J6
Q60613	B0BNK7
P41588	P97887
P21275	Q6AYU9
Q0GGX2	D3Z8I0
Q9CU98	P20059
Q9BCZ4	G3V8Q8
B2RUP2	D3ZCS6
P28700	Q0VJ96
Q6PGN1	P21581
Q8BWP8	Q62925
Q9ERZ6	D3ZYS4
Q6LCE8	P60042
Q9R207	A0A0G2K475
Q7TQK5	Q5BJT7
Q9DAX9	A5HK05
Q3UHB2	A0A0G2JSL4
Q9CQ49	A0A0G2K4L4
E9Q616	D3ZDU2
Q60722	A0A0G2JWU7
Q91XM9	P97541
Q8C0T0	Q5GH55
B1AVY7	D4A916
Q80UW2	G3V774
Q9JLC3	A0A0G2K906
Q8BL74	Q6AY23
Q923B6	D4A3U5
E9PXB6	M0RBH5
P30873	P28646
Q9WUQ7	D3ZNX3
Q9QXP4	E9PSU2
Q5SQ27	P22831
Q9QXV1	Q4FZS1
Q9EQX0	D3ZSR7
M0QWN7	F1M702
Q8C141	Q63276
P27814	P21677
Q9D6J3	D3Z8M3
Q9CQU8	D3ZWF3
A0A0R4J2B7	F1LZF4
G5E889	Q99M88
Q99KR6	Q6AYH3
Q00560	F1LPK1
Q8R349	Q4V884
Q6ZPL9	D3ZX56
Q8BX57	A0A140TAA2
P62500	P62501
Q4VGL6	Q32Q54
Q8BKT6	Q569A2
Q80XC3	D3ZRN4
Q8BYR8	D4A7D4
Q7TMY8	A0A0G2JVW5
D3Z4I3	M0R7T6
A2ACM0	D4ACN4
Q6I6G8	Q75Q41
Q9JIP4	P35351
Q8BGQ6	D4A5E4
A0A1B0GRJ9	D3ZKG5
Q64693	D4A397
E9Q6Y8	A0A0G2K4G6
Q99JX7	F1MA52
O70291	A0A096MIY0
Q8BH43	E9PTF9
Q5RL10	D3Z8G8
Q5HZK2	B0K009
Q8VCC6	D3ZNK9
P24622	P24623
A2AU37	Q4KM30
Q8R2G4	Q6AYJ9
Q9QY23	D3ZJ50
P70121	G3V6S9
Q99K67	D4A9U6
E9Q6I3	Q6IE24
Q6DVA0	D4A0G9
Q8BH55	D3ZPE6
Q80TX4	D3ZLR9
Q8R5B6	G3V703
P32972	Q5I0M6
Q8BX70	D4A4K4
Q8VC10	Q8R430
Q6P1B3	Q5BJS9
Q6VNS1	Q03351
P59900	D3ZQ65
O09051	P70668
Q9DAJ2	Q99JD2
O08543	M0RC89
Q61146	F1LMC1
Q9QZ06	A2RUW1
Q5U901	D3ZJK7
Q7TNR9	A0A0G2K4P0
Q812F8	B2GV39
G5E8W8	A0A0G2JUQ6
E9PX95	P18421
Q8K449	D4A365
Q6A152	D3ZWP1
Q3TXU5	Q6AY53
P24622	Q5M870
Q9QXK2	A0A140TAE1
B2RXB0	Q5RJN7
Q5DTT2	F1LMH7
P01108	P09416
E9PZ16	F1LTJ5
Q8K0J2	A0JPQ4
Q4VA93	F1LS98
Q7TPG5	B1H244
P97295	Q9ERC0
Q7TQP4	D3ZTT2
P51682	Q498D6
Q8R507	P24898
Q7TN84	A0A1W2Q6J3
Q99NA9	Q5XI70
E9PZJ8	F1LSM5
Q8R1Q9	G3V719
Q99N11	D3ZC16
P61079	D3ZW40
Q91WM3	Q7TP52
Q9CWU0	A0A0U1RRW3
A7M7C7	F1M6P8
Q99L60	F1LML6
Q99PJ1	F1LXN4
Q9CQV8	P35213
P30276	A0A0G2K018
O08691	Q700K0
Q9CYF5	A0A0G2K3J3
O55111	Q99PT0
Q9Z0J1	B1H260
Q8K1A0	B0BNB3
Q8R0Z6	F1MAS7
Q3KNM2	A0A0G2K373
Q5SPV6	P62697
Q9JLI7	F1LXV9
Q99LI7	Q9EPC6
Q3UHD1	B1WC88
P09056	O88211
A2AJA9	D3ZTF0
P0CG49	P39052
E9Q317	A0A0G2JUC0
P22726	B1WBR9
O54864	G3V6S6
P30285	P35426
Q8BPK2	F1LNL5
Q9EQ32	P25110
Q7TN03	A0JPL0
Q8BU04	D3ZWU2
Q62226	D3ZG88
P28574	Q6AY69
Q6SJQ0	A0A0G2K2W8
Q91VR7	Q6XVN8
Q9ET54	D4A5Q9
O35454	D3ZDJ9
Q62233	A0A0G2K635
P47212	P10683
E9Q6R7	B2RZ28
Q80SS5	Q6SKG1
Q8R1B8	A0A0G2JSI5
Q99J79	D3ZR08
A2ASS6	D3ZKI6
Q9ERG0	F1LR10
Q148Q7	F1LXC7
G3X995	F1LQ93
A2A9I7	D4A3C9
Q8BGN8	P15800
Q5EBG8	D4A7G9
O70340	G3V8M7
B2RTJ2	D4ADH5
A0A0R4J0P5	B0BNK4
Q9D4V3	Q5RJZ1
Q64314	Q9QWJ9
Q8CDC7	A0A0G2K6D0
O09167	P19332
Q8BGE6	Q9R0C5
Q6PD28	A0A0G2JTZ2
O35459	Q62651
E9PXF0	D3ZPN0
A2A7Q9	Q6E0V2
A0A1L1SQ23	D3ZYY0
Q9D0K1	A0A0G2K8E1
Q9JIS3	A0A0U1RVK4
Q9QZM9	Q6P5P4
E9PYL9	D3ZKI2
Q62356	G3V6T6
Q8BZ36	D4A4T6
Q8C6B9	D3ZJF9
Q6P6L0	A0A0G2K263
Q923K4	D3ZA65
A2ASI5	D4A7G6
Q06831	Q5U777
Q9JM51	Q9JHF3
Q61846	D4A317
P52785	V9GZ79
P63157	P63156
P97479	Q8CJE3
Q80VG1	Q4FZV1
E9QPS7	D3ZYW8
Q5SVD0	Q6AXS9
Q8BU36	G3V987
F2YMG0	D3Z980
Q9ES82	Q6P722
P42227	P52631
Q9QZ57	B2RYE0
Q8CHW1	Q5XIB1
Q8BZ47	D3ZDB9
Q8C863	Q6MG27
A0A0R4J1Y3	A0A0G2K220
Q7TS72	G3V7W6
P42866	P33535
Q62053	Q63327
Q99MT7	D4A4Y9
Q91XQ5	A0A0G2JSY9
Q91ZJ9	F1M963
O08750	Q6IMZ0
Q8BL86	D4A249
F6RT60	F1LU71
H3BKN4	Q8VBU7
A2ASP7	Q5XIR1
O89090	G3V802
D3YTT4	A0A0G2K644
Q9D4I9	D3ZRM5
O35719	A0A0G2JTF1
P48026	F1M6Q1
Q61188	B5DFE2
Q8R054	D4A9M5
Q7TPD0	D3ZUT9
Q8C253	P08699
Q99J10	F1LQN5
Q8BKT6	F1M4J1
P39429	B5DFH7
Q9CQ25	E9PSJ3
Q3U410	Q7TQ24
Q9DBR2	F1LUC1
Q923Z4	D3Z8T0
Q69ZI1	Q9Z1P3
E9QM99	P0CD94
Q8C4U3	G3V6Z9
Q01727	B2GV89
Q62189	D3ZKV8
O35912	D3ZRW8
Q9D8B1	Q0PY50
Q52KG4	B1H219
P31809	G3V7M2
Q8CBR6	G3V8X6
Q8BXF8	P22002
P97770	D3ZSV7
Q3UV11	F1M9Z0
Q91W19	P00762
P49003	D3ZPL0
A0A0G2JG11	Q5PPH7
Q9CXI3	G3V9S5
Q8R5L1	O35796
Q99PH1	Q45R42
Q8BG32	A0A0G2JWX1
Q62233	Q3B7D1
A0A0R4J0J3	P01143
Q810M1	D4A9W1
Q5D073	D4A266
Q9WUG6	A0A0G2K644
Q8R5H1	A0A0A0MY07
Q9D0A3	D4A1B2
Q8CBG9	Q7TP63
Q3TML0	A0A0G2JSZ5
Q99JY0	Q60587
Q8C4B4	M0R5E8
Q920S3	D4A194
P60882	Q0VGK2
Q9CXU4	Q9WVR8
Q9WTN6	F1LQ10
Q8VGB4	Q6P755
Q9CXP8	Q3KRE3
E9Q3G0	D3ZC99
Q03288	F1LQS7
A1E2B8	D3ZKW7
F6Z4X6	Q5M851
Q8R173	F1M4U9
O55144	G3V6M6
Q91WA3	B0BMU0
Q3V3E1	Q5PPJ4
Q6PGF2	D3ZNC9
E9Q9D5	D3ZS67
P61965	Q498M4
P35436	P63033
Q70IV5	G3V9G5
G5E8U5	Q7TST9
Q8CJ69	F1M661
P70196	B5DF45
Q8C761	A0A0G2K914
Q9QXL2	A0A0G2JX76
P50228	Q10746
Q9CQV4	E9PTA5
Q924C6	D4A9V5
Q7TT79	D3ZJM7
P18828	P26260
Q8K450	A0A0G2K9K6
Q60695	A1A5P3
H3BLC5	D4A5T8
Q0VBK2	D3ZWQ6
Q7TN99	F1LTH0
P52801	P18298
P59383	D3ZRH4
Q91XA2	D4AEL2
P51612	D4A3D8
A0A1B0GS59	D4A6M0
Q64700	G3V7P7
Q8BKK5	Q5FVT6
P07310	D3ZTR5
O08749	Q6P6R2
Q3TID4	F1LWH7
Q80YS5	D3ZZL8
Q9CXU9	F1M989
Q9ES57	D3ZX64
Q9R0S2	A0A0G2KA10
Q9QZN2	P21463
P12242	Q925B3
A2ARK0	Q9ES40
Q6ZQ89	Q64654
Q8K2B3	Q920L2
P21761	A0A0G2JVY4
E9QLA5	A0A0G2K4K0
A0A0R4J0I5	D3ZMF7
Q91YV9	P62516
E9QM16	Q9Z2Z8
P11276	A0A096P6L8
O89091	O08876
Q9QWG7	D3ZDF5
Q8C156	Q5XIM8
Q61221	E9PTY9
P60060	D4A1P7
Q8C7B6	D3Z851
Q9R1C8	P31388
P49769	Q8VIL3
E9Q921	D4A1D3
E9PUI5	A0A0G2JWJ3
O08786	D3ZWJ0
Q8CJ70	D4A2T8
Q505B7	Q5U2S3
Q9QZ03	P19020
B2RXV4	M0RB11
Q9JIP6	G3V954
Q68FH0	F1M2K6
Q3UV55	D3ZSG3
Q60790	Q4KM91
Q640L3	D4AE99
Q9CV28	D3Z916
Q9JJS6	G3V7N1
Q9CZH7	F1MAQ6
Q3U2V3	Q641Y7
A0A0R4IZW4	Q6AY14
A2ACM0	D3ZDU2
P37889	D3ZFH5
Q99LJ7	F1LLX2
E9Q5C9	P41777
Q8CBC4	Q6RIA2
Q9JKD8	F1LNK6
H3BKP8	F1LRC7
Q02257	Q6P0K8
Q9WUM3	R9PXV7
A0A0R4J0H1	A0A0G2JV07
Q91YU6	F7FLS6
Q9JJY3	B5DEP6
Q8VID5	D4ACP5
Q922L6	F1LQF5
Q8R2Q8	D3ZHV9
Q8BH59	Q5PPJ6
A0A0R4J0N0	M0RAB3
P28028	F1M9C3
Q91XD7	B0BNF9
A4QPD3	F1M5R1
Q9CPW5	Q66HF3
Q9CXV0	G3V7Z7
P62080	Q68VK5
Q8CCG4	B2RZ23
Q7TN16	D3ZG56
P19467	F1M9I3
Q7TQ62	Q5FVL5
Q8C1B2	D3ZMH5
Q9CXN7	Q9JK00
P12850	G3V6C6
Q0P678	A0A0H2UHV2
Q8JZZ7	F1M7T0
Q8BMJ2	P07335
Q6ZQM0	Q8CIN9
O35085	A0A0G2KA42
Q8VC73	Q6PCU0
A2AQJ6	F1LU76
F7DDS0	A6N6J5
Q9ERA0	P62716
Q9WVB2	P56374
F8VQB2	A0A0G2JSQ5
P97370	Q63377
J3QQ16	D3ZG90
P29352	Q4V8I2
Q8CJG0	F1LRP7
Q60973	Q71UF4
Q8VBV3	D3ZBP3
A0A0G2JE90	A0A0G2K9Z3
Q9D7S7	B0K010
Q8VD04	F7EV11
Q9QYY7	M0RDG3
Q80YR4	D3ZR64
P43120	F7F7Q9
Q811D0	Q9JJ19
Q3TDX8	Q5XIH8
Q9CPT4	D3ZVI8
Q3SXA6	P47198
Q80V91	F1LY78
Q01279	G3V6K6
Q0VBM2	Q71F54
E9Q743	F1LTM7
A0A0R4J1N2	F1LP42
Q9JHG1	B2GUT8
O35664	M0R8H7
Q80XI3	D3ZIQ3
Q8BGX4	P18265
Q9DC71	M0RCD2
P09055	A0A0G2JSK5
Q8BJK1	D3ZH46
Q8CB76	D4ACZ1
Q8BH07	Q68FV2
Q9CZV8	A0A0H2UI14
Q9CQN3	D3ZJS3
Q8R0Z5	G3V865
Q3UM23	M0R4M1
Q61187	Q6IRE4
Q8C033	M0R3X3
Q3UJF0	M0R4T5
P33215	D3ZMQ3
Q3U141	A0A0G2QC01
Q3U0P1	D4A4A8
Q8BUN5	P84025
Q8R2M7	B2RYT2
P34056	D4ABH1
Q5HZJ5	Q8K4J7
Q8BNL5	G3V6Z2
E9Q1A8	A0A0G2JXQ2
Q3ULM0	D3ZYB7
A2A7H5	B5DFJ6
Q6ZQJ5	A0A0G2K9M4
Q6PB97	D4A2L9
Q8R1I2	P24393
O70174	A0A0G2K6W5
Q8QZY3	Q66H69
Q9ET39	D4A6B3
P23204	D3ZJH1
Q06985	Q925A9
O89110	Q9JHX4
Q8CI33	D4A7E1
Q9D0E3	D3ZG57
Q9WVB0	A0A0G2K1M2
Q8C754	O55166
Q99MR3	M0RAK3
A0A140LI28	F1M276
P97950	D3ZCU8
Q9CQP2	F1M3Q7
E9Q5M9	D3ZAB7
Q8K443	D3ZCS1
Q64687	A0A0H2UHV3
Q8BHH2	D3ZP15
Q99PB1	M0R7X5
B9EJW5	D3ZNW1
Q8BGV7	A1Y2R8
P22646	D4A5M2
Q6TYB5	F7EYQ2
S4R2K0	F7FDM3
Q61982	F1LQX7
A2AEG2	D3ZUD5
Q922E6	D3ZXH8
B8JJ61	Q6MG46
P60761	Q9WUK5
A2AN08	F1LQI5
P51680	D3ZSF7
Q80VM7	M0RCW2
Q8K087	M0RCK7
Q80YY7	D3ZZT6
Q68EF8	F1LR31
Q14BT6	A0A0G2JSM9
Q9CQ07	Q66HD6
P51678	G3V6M2
Q8BN78	G3V8J4
P35456	M0R3P2
Q80WB5	Q5BJV9
Q8CB59	F1LZA8
Q61098	D3ZRM2
Q9CUU3	D4A9X9
P70447	P34158
Q61990	Q6AYB1
P61963	B2RZ68
Q9JLV1	Q5U2U8
A2APB8	Q5U3Y2
P62137	P62138
Q0VFX2	Q4V7B0
Q9WV60	A0A0G2KB98
Q8CH72	Q66H79
O88522	Q6TMG5
Q61467	D3ZMJ5
O35852	D4A704
A0A1D5RME2	P16612
Q9ER62	Q6AYH2
P20490	D4A9V6
E9QK04	F1M0Z6
Q3UZW7	A9UK05
Q8R090	D4A778
P35582	F1LR25
Q9Z0F3	Q99M66
Q91YP3	Q5XIF0
Q80U49	D3ZVM4
Q9D992	Q6AYM7
Q9QYB1	G3V8C4
P58404	F1M6V8
Q9CZ04	F1MAA2
Q7M710	F1LTX4
A2NTU7	P08104
P23798	B2RZ82
P34152	O35346
A0A0R4J082	Q6IRH4
Q3UHA3	D3Z9Z3
P10146	D3ZDY4
H3BJM0	Q07120
Q7TNF9	A0A0G2QC58
Q9QZQ3	A0A0G2K906
Q91ZR5	P35370
Q9CX30	D4A552
P70372	B5DF91
A2AFS3	D3Z9R6
P97347	Q6MG82
Q925E7	A0A0G2JSQ0
Q8R1F6	D4A0C3
G3X9T5	D3ZM05
P62484	F1LYA6
Q8K0E3	Q9Z2Q4
Q7TSK2	F1MA42
Q9R008	M0R5W4
P52800	G3V9C5
E9Q5Z5	G3V8Q4
Q3TF18	A0A0G2K189
Q91Y47	Q64268
P28481	F1LRM7
Q8BME9	D4ABJ2
Q9R097	Q32Q04
Q9D4W2	A0A0H2UHE9
Q8BFU0	I7GAZ6
B2KFW1	D3ZCC2
Q9JLC6	P41224
Q9CX99	Q4KM68
D3YYU8	D3ZZ80
Q9D3J5	D4ADM7
P45700	A0A0G2JW29
P24860	P30277
B1ASC1	M0RDZ6
Q9R059	D3ZPF0
Q6DFV3	D4A6N9
Q9JJ00	Q6AYR9
Q3TV65	D3ZU40
Q8BZM1	D3ZKQ3
Q9D0F4	P63219
Q9QXH4	P84076
Q9R0B6	A0A0G2K023
Q8CIE4	F1M785
E9PUZ5	Q6GQQ2
P08226	P02650
Q9Z2J6	Q6XKD3
Q9CZS1	E9PTB2
P53566	A0A0H2UI22
Q64362	Q5FVH4
Q99N84	B0BN56
Q8BPP5	A0A140UHX6
Q04892	D4ACU5
A2AQJ7	F1M158
Q8JZX9	D4A333
Q60932	Q9Z2L0
Q5SXI5	D3Z9Y2
Q8BGE5	G3V8S0
Q60613	M0R4F9
A0A0R4J1G4	F1LYL8
Q8VC56	P14668
P00416	P05505
Q99KR8	Q5RJK6
P70662	Q63827
Q8CHS8	Q4V794
P70385	Q5NUI4
O88495	G3V7H9
Q8R023	F1LQN5
Q6VN19	D3Z977
Q8R3C0	D4A7Q5
P01837	P05696
E9Q6S0	Q6AZ70
Q6PDH4	F1M3M0
P35419	Q06145
Q62318	Q2PQA9
O88667	P16617
Q9R016	P21555
Q3TRE0	A0A0G2JSL1
Q91YL7	D4A4R9
Q6VMN6	A0A140UHW7
Q3UQV5	F8WFZ9
Q7TSH8	F1LUG5
Q9CR33	D4AE21
Q8BYF6	P58751
Q3UXZ9	M0R3K1
Q6PAM1	B2GV14
Q8R191	E9PT99
Q9CWK0	F1LTB8
Q9EQT3	A0A0G2JW83
B1AW74	D3Z8C5
Q8CGP5	Q6I8Q6
Q8BWU5	P49911
A2AJA9	D4AA19
Q8VEA8	Q5U2Y8
Q04736	F1LM93
O35623	A0A5D0
Q3UZD5	B2ZDP9
P49615	Q03114
Q8R317	A0A140TAI1
P70340	A0A0G2JSQ6
Q9Z2H1	Q642B5
Q9CPU9	D4AAE7
P62761	P62762
P19182	F6QBA3
Q9D842	F6Q5G6
Q9Z1T6	D4A4A9
Q9QZW0	D3ZFC5
B1AY15	D3ZUR6
A2AJG0	F1LXD9
Q8R3L8	D4AD76
Q8BKV0	D3ZUT1
Q99MX1	A0A0G2K003
B7ZC55	D3ZVS6
Q6P571	A0A0G2JVK0
A2A259	D3ZDT6
Q99JB0	F1M8Z3
Q3USS3	Q5XI65
Q6P2B1	D4AAM0
Q4LFA9	Q5RKK1
Q9CXR4	D4A188
P97369	M0R4I7
P97452	Q562C2
Q99L60	M0RBN8
Q9D8K8	Q6IE08
Q9JJJ7	D4A9N8
Q0VBD0	A0A0G2JVU1
Q4JIM5	P51868
Q9JIF9	D3ZMK6
Q8QZY2	Q64602
D3YW47	D4A1F4
Q8CGK7	D3ZDH4
Q6NXM2	Q4LEV3
P70424	G3V717
Q91WG5	A0A140UHX4
A0A0B4J1E2	D4A8G7
Q99L90	G3V9E0
P63015	P61131
P21180	B2RYG8
Q99MU1	G3V859
Q9CQL2	D4A2A5
O35972	Q63750
P23116	Q1JU68
Q9Z351	A0A0G2K325
Q9JIW4	D3ZTZ4
P35821	P20417
E9PZ50	B2GV47
Q63870	B0BN46
O88444	D4A3N4
Q6PE87	P04917
Q61216	G3V781
Q810Q5	M0R6G0
Q9D0A0	A0A0G2QC25
Q62406	B2RYH5
Q80WR1	O88422
Q8BTF7	F1LNV0
Q04519	Q66HE3
P18181	P10252
Q704Y3	O35433
Q7TM99	Q6UN82
Q497V9	F1LUZ0
G5E869	D4A3I0
Q9Z184	D4A231
P35235	P41499
Q6NXK8	B2RYM1
O35126	D3ZAN2
Q8VCZ2	Q497B2
O88545	D3ZI16
P08103	P50545
Q6PG04	Q9EQD2
Q9ERE7	A0A0H2UHR9
Q8BYF6	Q4G069
Q9R1W5	Q63118
A3KGF9	D3ZH28
A0A0R4J0R3	Q6AXU3
Q9JJV4	D3ZMH5
Q922H4	G3V8M6
Q8CHS8	A0A0G2K7B0
O70166	D3ZBN0
Q8CHK4	A0A0G2KA75
Q61039	G3V612
Q9QY24	G3V6S4
Q91WK0	F1LMC2
E9QPX3	D3ZE10
Q7TSV0	A0A0G2K2U9
P54823	D3ZD73
Q8BZA9	B2RZC9
Q9DAI6	F1LZ91
Q2TA57	D3ZWE1
P07147	Q566R2
P81615	P55090
Q9D6E4	Q924V1
Q8BL48	P97836
O35448	O70489
Q920A7	D3ZZ20
P20490	G3V6K1
Q9JHB4	D3ZWE7
Q9Z280	Q5EB73
Q9R0H2	D3ZEY9
Q923Y8	B5DF24
Q9DCS2	Q5PQJ7
Q3TWF9	A0A0G2K443
P60710	P60711
Q9CWG8	Q5XI79
P51175	A0A0G2K4H2
Q9WUA1	Q6IN38
P61219	O88828
Q9CR98	F1LPS6
P86547	P10111
A0A0R4J0E1	D3ZWX2
Q07079	A0A0G2K1M0
Q9Z1M4	D4AE24
Q8VHI7	P53676
P59178	Q3MIF2
Q9R069	Q9ESS6
P16390	P15384
Q91X86	Q6AYS5
Q9JIF7	P23514
O89016	M0R5J1
Q61313	F1LVF4
O08760	D3ZG92
Q91VY6	Q5I0L6
Q9Z0S3	M0R8N7
Q6P5F9	Q80U96
Q9D529	A0A0G2K4Z9
P13504	Q05KR1
Q9EQW8	G3V6G6
O70138	G3V7D0
A2AQJ8	D4A7G5
Q62388	D4ACL8
Q9Z2B5	F7FL53
Q9D8U0	Q923G5
Q810S1	F1LUQ0
Q9DBK7	P17425
P97477	Q3MHU2
Q8R0S6	P0C5J5
Q2WG76	Q2AC31
Q3UEB3	Q9WV25
Q9DB43	M0RCA3
Q64385	Q99MF4
D3YYI7	A0A096MJZ0
Q8BPM6	F1LZZ3
O54918	P61374
Q64261	F1MA87
Q76M80	G3V6H1
Q71B07	M0RAP1
F8VQF9	F1MAQ4
Q499E5	G3V631
Q9QXK2	A0A0H2UHG0
G3X907	M0R4T9
Q9D1E5	P52190
P24288	P54690
Q8K4X7	Q924S1
Q9CWD8	D3ZJA9
F6S419	B2RYF1
Q6PFD7	D4AAR7
P0DOV1	F1LPP6
Q6PDC0	P29348
A2ANY6	A0A0G2K9L9
A2AB59	A0A0G2KA92
Q05186	D3ZUB0
E9QL79	Q8K5A9
Q9QZB6	D4A2K4
Q61263	G3V6J2
Q3TLH4	Q6Q7Y5
Q9JJA9	Q99N78
Q8VEJ3	D4ADQ6
Q6PGF7	Q6TQE1
P33033	P35345
P33766	Q3KR92
Q6P8Y0	Q64289
P61406	D3ZA50
E9QA16	G3V700
E9Q309	Q66H48
Q9QUS4	G3V7S6
Q14BN8	D3ZAT3
Q9CXT6	G3V7X6
Q62511	F1MAJ8
Q8VC28	Q6P9V7
O35245	A0A0H2UHM0
Q78PG9	D4AB75
Q8BHD4	D3ZMY8
Q64264	G3V7B9
O08633	D4A006
Q9WTZ9	D3Z9E1
Q80ZQ9	A0A0H2UI26
Q9CQ90	P51111
E9Q9K5	Q9WVR6
Q8C1F4	D4A5Z0
Q8CJ61	Q59IV8
Q3UP36	M0R5M8
P41731	G3V8P3
Q99LI2	A0A140TAF5
Q8R0N9	Q2TGK5
E9Q8N4	B2GV07
Q3URY6	D4AE64
Q8BG47	Q04631
Q499X9	Q5XIF3
Q8C3U9	D4A4P5
A0A1L1STX8	F1LVT0
Q9WUL6	D4AE90
Q9CQ92	B2RYI2
Q5NC32	B5DFC0
E9QQ21	Q695P6
B1AWN8	Q5I0E1
P24063	D3ZWG9
P06684	P31652
E9PX57	E9PSL8
E0CYV0	Q68FS1
Q8VD76	G3V7C1
Q9Z0W1	Q8VHV7
O88393	P14630
Q99J45	D3ZPF2
Q8C3F2	Q02589
P60766	Q8CFN2
Q9D9J3	Q02759
Q2PZL6	D3ZEH1
Q8BGB7	Q6AYN4
Q6PD19	A0A0G2JVI5
Q9EP73	D4AE25
P63056	Q1M168
Q62440	D3ZCM7
Q8BH15	Q9R103
P60605	B2RYD0
B2CKC6	O54874
Q3UN58	D4AAA5
Q9Z2C6	A0A0H2UHB6
P83093	P84586
O70576	P34131
Q9R0N4	O08625
Q8VHC3	A0A0G2JZZ4
Q9CQ04	D4AEM7
Q8BWL5	Q66H89
Q64364	A0A0G2K211
Q9QXZ7	M0R4U8
Q6PDH0	A0A0G2K712
Q9WUH2	A0JPN1
Q8K2D3	Q5BJU7
O54709	O70215
Q810M5	F1M280
Q6ZQ18	Q6P6S3
Q04519	Q5BK47
Q9R1A3	G3V6X3
A0A0B4J1F9	P00758
Q7TN79	D4AC39
Q8CJ27	F1LQW8
A2RSY6	D3ZKG3
Q8CGR7	D4A9N9
O70326	D4A5T6
Q9JHL0	A0A0H2UHL3
E9Q9M8	Q4TVN8
Q99L85	D3ZPY2
Q3UJH4	Q63630
O55042	P37377
Q69ZB3	D3ZLU5
Q5RL79	B2RZC9
Q8JZL2	P97639
Q61805	Q5XIH6
Q9D5D8	D4A9W8
F8VQK4	M0R8R4
P55097	D3Z8C9
P10605	D3ZQ25
O70404	P34900
Q8BHL8	G3V782
P43081	D3ZII9
Q80WQ4	D3ZQW3
Q6WBX7	A1A5N3
Q9R0G6	M0RBU0
Q8R1T4	Q4KLN0
Q571M1	A0A0G2JYJ8
Q5S248	F1M2C4
Q9WTW3	F1LV01
P01027	M0RBF1
P21844	Q9JJ74
Q5SVT3	D3ZQ67
Q3U1V8	A0A0G2KB60
Q80TB8	F1LM79
Q6NSV7	Q5PQL8
E0CXK8	Q3B8Q2
P70428	E9PTT2
G3X9W6	B0BN36
G5E8U4	Q9ES54
G1K381	M0R8U7
A2AQ52	Q5PQV1
