P54823 D3ZD73
F6XAI7 D3ZZK0
Q99KR6 Q6AYH3
Q62158 B5DFI5
Q99J21 D3ZRF9
P97435 D4A911
Q6PDF3 D4A9T9
Q921J4 B5DFI8
Q8BH43 E9PTF9
Q3V036 A0A0G2JV67
P35492 P21213
Q91X17 A0A0G2JSP1
Q9D9M5 Q66HC4
Q61127 D4A4F4
Q8VC04 Q5BK83
P84078 P84079
Q8C754 O55166
P60897 D3ZHW9
P14685 Q5U2S7
Q04692 D3Z9Z9
Q8VCI1 B2RZ94
Q61686 B2RYU7
Q61767 D3ZRI9
Q9D687 G3V9C6
O08601 Q62976
Q3V2D2 D3ZIS7
Q99NB8 D4A3P1
E9PXF0 D3ZPN0
P62484 F1LYA6
P23881 Q5BK74
Q9JL15 Q6IN24
A2ASP7 Q5XIR1
Q8BNU0 B2RYL4
Q8R0S6 P0C5J5
Q5DTX6 F1M6T3
Q8R349 Q4V884
Q14BV6 G3V683
P02340 P29534
Q9QXM1 P97712
P45481 D4A488
P29533 A0A0G2JZT6
Q9JIZ9 Q6QBQ4
Q06507 Q9ES19
Q9R1A9 D4A3I6
F8VQ03 P70534
Q62388 D4ACL8
Q8C1B2 D3ZMH5
P97292 F1LNK8
P54116 Q6P6U0
B1AUC7 A0A0A0MXU9
Q06890 P50545
Q3V2J9 D3ZBW4
Q3U487 F1LVZ9
O08633 D4A006
Q9CZX5 A4L691
E9QK82 P06907
Q7TSH4 D4A3J9
Q61187 Q6IRE4
Q91YD1 E9PTP3
P39447 A0A0G2K2P5
Q8K5A4 D3ZA36
E9Q912 F1M7Y3
Q80XZ4 D3ZIM3
P58404 F1M6V8
Q6NZR2 F1LR51
Q03717 A0A0H2UI34
Q8BZN2 P97557
Q8BYA0 F1M1D5
Q9WUQ7 D3ZNX3
Q99J36 P19357
Q3UY23 P82995
Q9Z1T1 A0A0G2JWD6
Q6RUT8 F1M154
E9Q5C9 P41777
Q8BG40 Q4VFZ4
F8VQF9 F1MAQ4
Q5S003 D3ZXP4
Q9JLI7 F1LXV9
Q8K450 A0A0G2K9K6
Q00560 F1LPK1
Q64385 Q99MF4
P47873 G3V890
Q99ML4 Q5FVL3
P48026 Q6P9U6
Q6ZQ38 P97536
P70371 Q5EB98
E9PZ50 D3ZXQ5
E9Q2C0 D3Z8S9
Q3TXU5 Q6AY53
Q69ZU8 B5DEH9
Q99PJ1 F1LXN4
Q91WD0 M0R518
Q8C0T9 Q9Z286
Q8VID5 D4ACP5
Q9CQT6 D4A2P4
E9Q5R6 F1LQ74
Q9JI08 Q68FW8
Q7TS72 Q80ZG2
Q9R0M5 B5DEJ6
Q5DU56 D3ZYP9
Q9EPB4 G3V8L1
Q9WVF9 Q9WTV5
Q62227 Q9EPJ1
P27814 P21677
P19785 A0A0G2K0D4
D3YYU8 D3ZZ80
Q7TT79 D3ZJM7
Q5QNQ9 Q80ZF0
Q6PHN9 Q5U316
Q5H8A1 Q5H8A2
Q8BZ39 Q9ESQ4
Q60722 A0A0G2JWU7
Q64213 F1LSC3
Q8VI51 D4A2I9
Q9CXK9 D3ZTA8
Q2NL51 P18265
O88509 F1LQE0
Q3UJH4 Q63630
O88508 Q1LZ53
O35448 O70489
Q64702 B2GUY1
Q8BWY2 D3ZGU3
P09055 A0A0G2JSK5
P20764 F1MAM7
Q9R100 P55281
S4R1S4 P04157
Q91X86 Q6AYS5
Q8VDM4 Q4FZT9
Q3U034 D3ZD59
Q8BML2 D3ZAI4
Q9D8U3 D4A9L9
A0A0R4J1E2 Q68FR9
Q8C5V5 F1M8Z5
Q9CX34 B0BN85
Q60932 Q9Z2L0
Q61907 Q08388
G3X956 D4A4J0
Q5SVT3 D3ZQ67
Q5SP85 D3ZMD4
O35942 G3V6L2
P29533 P29534
P51680 G3V7C3
F6R5P4 E9PTY9
P52480 P11980
Q9JJS6 G3V7N1
Q8K4G5 F1LWK7
Q91X05 Q8K4G9
Q9R244 Q925D4
Q9QXT6 G3V8K9
Q7TSP5 Q501W4
E9QNY6 F1LNN2
P29351 G3V9T9
Q9WVK0 Q642A2
Q5SV41 P53809
Q9WV55 Q9Z270
E9QNX9 A0A140TAB8
Q8VCK6 Q76EI6
P21279 D4AE68
Q91WC1 A0A0G2JX31
G5E8W8 A0A0G2JUQ6
Q8C627 A0A0H2UHT8
Q3UHB2 A0A0G2JSL4
Q91YM4 Q5M9G9
A2A559 B1WBW5
P42867 Q6P4Z8
Q8CFI7 G3V8Y5
Q8JZL2 P97639
P23188 G3V7I9
P56942 G3V6L0
Q9CQG3 Q7TSV3
Q66JW3 D4A1U5
O08750 Q6IMZ0
Q80YR4 D3ZR64
Q61467 D3ZMJ5
Q7TQK5 Q5BJT7
Q7TSK7 D4A4X6
O35674 D3ZPM7
Q9JIF7 P23514
Q68FH0 F1M2K6
Q8C708 Q5BK39
P52795 Q6P7B6
Q920H1 Q71MM7
D3YXF5 A0A0G2K7X7
Q60754 M0R9F7
Q6ZPL9 D3ZX56
P10761 A1L124
P70458 F7EMJ6
P23578 P29293
O35864 A0A0G2JSP3
Q9WV93 Q8K1P7
Q61039 G3V612
Q6NSQ7 Q68FR7
Q9CX60 A0A0G2KAD4
P63328 P63329
Q9D2H9 Q6AYH9
Q497V9 F1LUZ0
Q8BPB5 Q6AXN2
G5E8J6 G3V8S6
Q9ES63 D4AEI6
P10605 Q6IN22
F7BTP0 Q6AYI4
P27661 D3ZXP3
Q8VEJ3 D4ADQ6
F6RPJ9 P35559
Q9DCV6 G3V8I7
P28028 F1M9C3
Q8VBV8 D3ZID7
Q5SDA5 P51842
Q60634 Q9Z2S9
Q9EP64 Q9ESC2
Q9D709 Q3T1H8
Q9CQU3 Q498C8
P28662 Q5PPK1
Q80VJ8 D3ZPX3
A0A0R4J0S8 D3ZKW6
Q9Z2C6 A0A0H2UHB6
Q61550 P04897
E9Q9Y3 P28647
Q61545 P08753
Q8C253 P08699
Q9D3J9 D3ZRK2
Q91W98 A0A0G2JSH0
Q9R0K7 P11506
Q66X22 D3ZAD9
Q8BG32 A0A0G2JWX1
A2AQ99 G3V8A3
Q8K3Z0 D4A5W3
A0A0R4J0K5 F1M0B5
Q921L3 Q5I0H4
A0A0J9YV32 A0A0G2K5B0
O88273 D3ZXD0
Q8BVG5 Q6AYA4
P19467 F1M9I3
Q9D7F2 D3ZUF1
Q99LM2 Q642E3
Q922Q5 D4AAG3
B1ATY8 M0R4K4
O55057 D3ZRD3
Q8BHT7 D4A196
Q9DAN6 F7FF05
Q3TUA9 Q4V8A9
Q5RJI4 F1LMM4
Q80W32 G3V973
Q8C119 D4A6W5
Q8VHQ3 D4AA72
Q3UGS4 B0BN72
Q9JJ00 P58195
O35626 Q9JKF8
P52801 Q7TSE9
Q9QZQ1 D3ZUY8
Q62413 O70127
E9QNR7 D4A0I4
Q5D1E7 A0JPN4
Q7M710 G3V966
Q9D992 Q6AYM7
Q9JJU9 P02524
Q62511 F1MAJ8
Q64364 A0A0G2K211
Q9JJZ9 F1LX27
Q9JJZ8 Q9ER33
Q8K1E0 Q08851
Q8BZQ2 G3V9T1
E9QLC0 P35563
P35347 P35353
P81615 P55090
O88992 D3ZEN8
Q9QZ10 D3ZXN8
Q8K2D3 F1M7Z1
Q812G0 F1LMP1
Q9CR27 D3ZKX1
Q925B0 G3V6S1
Q8BGY9 G3V7G1
P46935 A0A0G2K8P3
P34022 D4A2G9
Q6PDH4 A0A096MJ81
Q01853 P97536
G3X912 D4AB73
Q8K1A0 B0BNB3
P97770 D3ZSV7
P63330 P63086
Q9DCQ3 D4ACU5
Q91V45 A7E3N7
P58389 A0A0G2QC09
A7L9Z8 M0RAF9
Q8BWG9 F1LNX2
D3YZ50 A0A0G2K7F3
F6SLK1 F1M1D5
