8572 A0A287A2J9,A0A287BHC9,F1SV31,A3EX84,A0A286ZV23,A0A286ZQA1,P79307,F2Z558 G1TVU3,G1SZT9,G1T250,P47845,G1SZE4,G1SIC9,G1SZM2,G1SDY5
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SMW9,F2Z558,A0A287B4M4,F1RHK6,A0A286ZQA1 G1TAE2,G1SZE4,G1SXC8,G1SVF2,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,Q1G1K7,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1TSL1,G1SDY5,G1TIX5,G1SZT9,G1SMY6
10334 I3LNX4,A0A286ZV23,D3K5N7,K7GR70,B5APV0,A0A287B4M4,F2Z558,A0A287BHC9 G1SXC8,G1SZE4,G1T143,G1TAE2,G1TV31,G1TIX5,G1SIC9,G1SMY6
10238 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BDL6,A0A286ZQA1,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T221,G1SIC9,G1TAE2,G1SDY5
10238 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F2Z5I5,A0A286ZQA1,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1U419,G1SIC9,G1TAE2,G1SDY5
10238 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZQA1,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SIC9,G1TAE2,G1SDY5
10238 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZQA1,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TP25,G1SIC9,G1TAE2,G1SDY5
10238 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZQA1,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T221,G1SIC9,G1TAE2,G1SDY5
4855 A0A287A3D8,A0A286ZV23,D3K5N7,I3LNX4,A0A287B4M4,F2Z558,A0A287BBY6,A0A287A2R9 G1SJT2,G1SZE4,G1TAE2,G1SXC8,G1TIX5,G1SDY5,G1T035,G1TF91
4855 A0A287A3D8,A0A286ZV23,D3K5N7,I3LNX4,A0A287A2J9,F2Z558,A0A287BBY6,A0A287A2R9 G1SJT2,G1SZE4,G1TAE2,G1SXC8,G1TIX5,G1SDY5,G1T035,G1TF91
4855 A0A287B5T1,D3K5N7,A0A286ZV23,I3LNX4,F2Z558,A0A287B4M4,B5APV0,A0A287A2R9 G1U8U5,G1TAE2,G1SZE4,G1SXC8,G1SDY5,G1TIX5,G1TV31,G1TF91
9670 A0A287A2J9,A0A286ZV23,K7GR70,K9IVV5,A0A286ZQA1,A0A287B4M4,B6E241,P79307 G1SZR6,G1SZE4,G1TVU3,U3KMP1,G1SIC9,G1TAE2,G1SDY5,G1SZM2
9234 A0A287B4M4,F1RHK6,I3LVL0,P79307,A0A286ZV23,I3LNX4,A0A286ZQA1,A0A287A2J9 G1TIX5,G1SZT9,G1SUH7,G1SZM2,G1SZE4,G1SXC8,G1SMY6,G1SZR6
9234 A0A287B4M4,F1RHK6,I3LVL0,P79307,A0A286ZV23,I3LNX4,A0A287BHC9,A0A287A2J9 G1TIX5,G1SZT9,G1SUH7,G1SZM2,G1SZE4,G1SXC8,G1SMY6,G1SZR6
9012 B1A9K1,A0A286ZV23,D3K5N7,K7GR70,F2Z558,A0A287BHC9,A0A287A2J9,F1RLQ2 G1SZR1,G1SZE4,G1TAE2,G1T143,G1SDY5,G1SMY6,G1SZR6,G1SYD6
8145 A0A287B4M4,A0A286ZV23,Q9TUB2,F1RZS8,F1RHK6,A0A287A2J9,D3K5N7,A0A287BHC9 G1TIX5,G1SZE4,G1TVU3,G1T8H5,G1SZT9,G1SZR6,G1TAE2,G1SMY6
8145 A0A287B4M4,A0A286ZV23,Q9TUB2,B0M1M6,F1RHK6,A0A287A2J9,D3K5N7,A0A287BHC9 G1TIX5,G1SZE4,G1TVU3,G1T8H5,G1SZT9,G1SZR6,G1TAE2,G1SMY6
8433 A0A286ZRB8,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A286ZQA1,I3LMS7,D3K5N7 G1SXR5,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A286ZRB8,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A286ZQA1,I3LMS7,D3K5N7 G1T5Y0,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A286ZRB8,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A287BHC9,I3LMS7,D3K5N7 G1SXR5,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A286ZRB8,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A287BHC9,I3LMS7,D3K5N7 G1T5Y0,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A287AB06,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A286ZQA1,I3LMS7,D3K5N7 G1SXR5,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A287AB06,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A286ZQA1,I3LMS7,D3K5N7 G1T5Y0,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A287AB06,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A287BHC9,I3LMS7,D3K5N7 G1SXR5,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
8433 A0A287AB06,A0A286ZV23,A0A287B4M4,A0A287A2J9,P79307,A0A287BHC9,I3LMS7,D3K5N7 G1T5Y0,G1SZE4,G1TIX5,G1SZR6,G1SZM2,G1SMY6,G1TZS4,G1TAE2
6736 A0A286ZV23,F1SMG4,A0A287B4M4,D3K5N7,A0A287A2J9,A8U4R4,F1RHK6,A0A287BHC9 G1SZE4,G1T5Z6,G1TIX5,G1TAE2,G1SZR6,G1TAH7,G1SZT9,G1SMY6
6736 I3LIL0,A0A286ZV23,A0A287B4M4,D3K5N7,A0A287A2J9,P79307,F2Z540,A0A287BHC9 G1T856,G1SZE4,G1TIX5,G1TAE2,G1SZR6,G1SZM2,G1T1D9,G1SMY6
9024 F1ST01,A0A287A2J9,A0A286ZV23,A0A287BHC9,D3K5N7,F1RHK6,I3LHB2,A0A287B4M4 G1TT06,G1SZR6,G1SZE4,G1SMY6,G1TAE2,G1SZT9,G1SFK3,G1TIX5
8450 A0A287A2J9,A0A287BQM5,A0A286ZV23,A0A287BHC9,K7GR70,A0A287BBB5,A0A287B4M4,F1RHK6 G1SZR6,G1SSS6,G1SZE4,G1SMY6,G1T143,G1SRV2,G1TIX5,G1SZT9
8450 A0A287A2J9,F1SJL3,A0A286ZV23,A0A287BHC9,K7GR70,A0A287AI88,A0A287B4M4,F1RHK6 G1SZR6,G1SSS6,G1SZE4,G1SMY6,G1T143,G1SRV2,G1TIX5,G1SZT9
8450 F1RLT7,A0A287A2J9,A0A286ZV23,A0A287BHC9,A0A287B4M4,P79307,K7GR70,A0A286ZJP2 G1SK06,G1SZR6,G1SZE4,G1SMY6,G1TIX5,G1SZM2,G1T143,G1SXX9
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,A0A287BIK4,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1SMY1,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,A0A287BIK4,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1T8P3,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F1RPE5,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1SMY1,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F1RPE5,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1T0H1,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F1RPE5,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1T8P3,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F1RPE5,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1TJ36,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F2Z5J1,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1SMY1,G1SDY5
9552 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,A0A287BHC9,F2Z5J1,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SIC9,G1T8P3,G1SDY5
4467 A0A287A2J9,A0A286ZV23,A0A287BCR0,K7GR70,F1SAY8,A0A287BHC9,D3K5N7,F2Z558 G1SZR6,G1SZE4,G1SYB4,G1T143,G1TXE3,G1SMY6,G1TAE2,G1SDY5
4467 A0A287A2J9,A0A286ZV23,Q007T2,K7GR70,A0A287B2D9,A0A287BHC9,D3K5N7,F2Z558 G1SZR6,G1SZE4,G1SYB4,G1T143,G1TXE3,G1SMY6,G1TAE2,G1SDY5
9557 A0A286ZV23,I3LNX4,K7GR70,D3K5N7,A0A287A2J9,F1RI39,F2Z558,A0A287BHC9 G1SZE4,G1SXC8,G1T143,G1TAE2,G1SZR6,G1SWW8,G1SDY5,G1SMY6
9557 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,D3K5N7,F1RZU1,A0A287BHC9,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TAE2,G1U782,G1SMY6,G1SDY5
9557 A0A286ZV23,I3LNX4,K7GR70,D3K5N7,A0A287A2J9,F1SB42,F2Z558,A0A287BHC9 G1SZE4,G1SXC8,G1T143,G1TAE2,G1SZR6,G1SWW8,G1SDY5,G1SMY6
9557 A0A286ZV23,I3LNX4,K7GR70,D3K5N7,A0A287A2J9,Q2EHH7,F2Z558,A0A287BHC9 G1SZE4,G1SXC8,G1T143,G1TAE2,G1SZR6,G1SWW8,G1SDY5,G1SMY6
6957 Q9TUB2,A0A286ZQA1,A0A287A2J9,F1S1U5,P79307,A0A286ZV23,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1T8N1,G1SZM2,G1SZE4,G1SIC9,G1SDY5
6957 Q9TUB2,A0A286ZQA1,A0A287A2J9,F1S1U5,P79307,A0A286ZV23,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SK48,G1SZM2,G1SZE4,G1SIC9,G1SDY5
8617 I3LU32,A0A286ZV23,A0A287A2J9,D3K5N7,A0A287BHC9,F2Z558,K7GR70,A0A286ZMY6 G1SYA1,G1SZE4,G1SZR6,G1TAE2,G1SMY6,G1SDY5,G1T143,G1T866
9323 K7GR70,A0A286ZV23,A0A287A2J9,I3LNX4,A0A287A000,D3K5N7,A0A287BHC9,F2Z558 G1T143,G1SZE4,G1SZR6,G1SXC8,G1U7J6,G1TAE2,G1SMY6,G1SDY5
9323 K7GR70,A0A286ZV23,A0A287A2J9,I3LNX4,F1RV14,D3K5N7,A0A287BHC9,F2Z558 G1T143,G1SZE4,G1SZR6,G1SXC8,G1U7J6,G1TAE2,G1SMY6,G1SDY5
4358 A0A286ZV23,A0A287B6J8,A0A287B4M4,A7XUJ6,K7GR70,F1SEJ3,A0A287BHC9,F1RHK6 G1SZE4,G1U9B2,G1TVU3,U3KNH2,G1T143,G1TP72,G1SMY6,G1SZT9
4358 A0A286ZV23,A0A287B6J8,A0A287B4M4,A7XUJ6,K7GR70,F1SEJ3,A0A287BHC9,F1RHK6 G1SZE4,G1U9B2,G1TIX5,U3KNH2,G1T143,G1TP72,G1SMY6,G1SZT9
8934 A0A287BEV5,D3K5N7,P79307,F2Z558,A0A287B4M4,A0A287A2J9,A0A287A5F6,A0A287BHC9 G1TDJ9,G1TAE2,G1SZM2,G1SDY5,G1TIX5,G1SZR6,U3KN87,G1SMY6
8928 A0A287A7J8,A0A287BHC9,P79307,A0A287A2J9,A0A287B4M4,F2Z558,A7XUJ6,A0A286ZQA1 G1SE83,G1TIX5,G1SZM2,G1TVU3,G1SMY6,G1SDY5,U3KNH2,G1SIC9
4778 A0A286ZV23,Q9TUB2,F1SPF9,A0A287A2J9,A0A287B4M4,D3K5N7,F1RHK6,A0A287BHC9 G1SZE4,G1TVU3,G1ST95,G1SZR6,G1TIX5,G1TAE2,G1SZT9,G1SMY6
4778 A0A286ZV23,Q9TUB2,F1SFK5,A0A287A2J9,A0A287B4M4,D3K5N7,F1RHK6,A0A287BHC9 G1SZE4,G1TVU3,G1T0R4,G1SZR6,G1TIX5,G1TAE2,G1SZT9,G1SMY6
4778 A0A286ZV23,Q9TUB2,A0A287BNB0,A0A287A2J9,A0A287B4M4,D3K5N7,F1RHK6,A0A287BHC9 G1SZE4,G1TVU3,G1ST95,G1SZR6,G1TIX5,G1TAE2,G1SZT9,G1SMY6
4778 A0A286ZV23,Q9TUB2,A0A287ADD9,A0A287A2J9,A0A287B4M4,D3K5N7,F1RHK6,A0A287BHC9 G1SZE4,G1TVU3,G1T9W8,G1SZR6,G1TIX5,G1TAE2,G1SZT9,G1SMY6
4778 A0A286ZV23,Q9TUB2,A0A287ADD9,A0A287A2J9,A0A287B4M4,D3K5N7,F1RHK6,A0A287BHC9 G1SZE4,G1TVU3,G1U1V2,G1SZR6,G1TIX5,G1TAE2,G1SZT9,G1SMY6
4778 A0A286ZV23,F1RSD0,K7GR70,A0A287A2J9,D3K5N7,F1SPE5,F2Z558,A0A287BHC9 G1SZE4,G1T662,G1T143,G1SZR6,G1TAE2,G1TCG7,G1SDY5,G1SMY6
9336 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A2J9,A5A8V7,D3K5N7,A0A287BHC9 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SZR6,G1U782,G1TAE2,G1SMY6
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287BBE4,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1T2K5,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287BBE4,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1SGX4,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287BBE4,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TRM4,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287BBE4,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1T168,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B1A7,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1T2K5,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B1A7,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1SGX4,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B1A7,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TRM4,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B1A7,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1T168,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,I3LG73,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1T2K5,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,I3LG73,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TXW7,G1SIC9,G1SZM2,G1SDY5
9336 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A286ZWP6,A0A286ZQA1,P79307,F2Z558 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TXW7,G1SIC9,G1SZM2,G1SDY5
10697 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,D3K5N7,F1RIG2,F2Z558 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1TAE2,G1T617,G1SDY5
4374 A0A286ZV23,F1SHN7,K7GR70,A0A287A2J9,D3K5N7,Q56VC2,A0A287BHC9,F2Z558 G1SZE4,G1STZ5,G1T143,G1SZR6,G1TAE2,G1T8W9,G1SMY6,G1SDY5
10579 D3K5N7,I3LNX4,A0A286ZV23,P79307,F2Z558,A0A287A5J3,A0A287A2J9,A0A287BHC9 G1TAE2,G1SXC8,G1SZE4,G1SZM2,G1SDY5,G1TN11,G1SZR6,G1SMY6
10579 D3K5N7,I3LNX4,A0A286ZV23,P79307,F2Z558,A0A287A5J3,A0A287A2J9,A0A287BHC9 G1TAE2,G1SXC8,G1SZE4,G1SZM2,G1SDY5,G1SWN0,G1SZR6,G1SMY6
10579 D3K5N7,I3LNX4,A0A286ZV23,P79307,F2Z558,F1S439,A0A287A2J9,A0A287BHC9 G1TAE2,G1SXC8,G1SZE4,G1SZM2,G1SDY5,G1TN11,G1SZR6,G1SMY6
10579 D3K5N7,I3LNX4,A0A286ZV23,P79307,F2Z558,F1S439,A0A287A2J9,A0A287BHC9 G1TAE2,G1SXC8,G1SZE4,G1SZM2,G1SDY5,G1SWN0,G1SZR6,G1SMY6
10579 D3K5N7,I3LNX4,A0A286ZV23,P79307,F2Z558,Q52NJ3,A0A287A2J9,A0A286ZQA1 G1TAE2,G1SXC8,G1SZE4,G1SZM2,G1SDY5,G1SWN0,G1SZR6,G1SMY6
9053 A0A287ANE3,A0A287BHC9,A0A287A2J9,P79307,A0A286ZV23,F2Z558,F1RWT7,A0A286ZQA1 G1SRL1,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1SDY5,G1SMQ1,G1SIC9
9053 A0A287ANE3,A0A287BHC9,A0A287A2J9,P79307,A0A286ZV23,F2Z558,F1RWT7,A0A286ZQA1 G1SRL1,G1TIX5,G1SZM2,G1TVU3,G1SMY6,G1SDY5,G1SMQ1,G1SIC9
5402 A0A287ARD7,K7GR70,A0A286ZV23,A0A287A2J9,F1RHK6,F2Z558,F1RKZ6,A0A287BHC9 G1U730,G1T143,G1SZE4,G1SZR6,G1SZT9,G1SDY5,U3KNR1,G1SMY6
5402 A0A287AMU0,K7GR70,A0A286ZQA1,A0A287A2J9,F1RHK6,F2Z558,I3LFR2,A0A287BHC9 G1TWA4,G1T143,G1SZE4,G1SZR6,G1SZT9,G1SDY5,G1T087,G1SMY6
5402 A0A287AMU0,K7GR70,A0A286ZV23,A0A287A2J9,F1RHK6,F2Z558,I3LFR2,A0A287BHC9 G1TWA4,G1T143,G1SZE4,G1SZR6,G1SZT9,G1SDY5,G1T087,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,I6L6T2,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,P47823,G1SZM2,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,I6L6T2,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,G1SQM7,G1SZM2,G1SMY6
10410 I3LNX4,D3K5N7,P79307,A0A286ZV23,F1STM9,A0A287B4M4,A0A286ZQA1,A0A287A2J9 G1SXC8,G1TAE2,G1SZM2,G1SZE4,G1TBZ1,G1TIX5,G1SMY6,G1SZR6
10410 I3LNX4,D3K5N7,P79307,A0A286ZV23,F1STM9,A0A287B4M4,A0A287BHC9,A0A287A2J9 G1SXC8,G1TAE2,G1SZM2,G1SZE4,G1TBZ1,G1TIX5,G1SMY6,G1SZR6
10410 I3LNX4,D3K5N7,P79307,A0A286ZV23,F2Z5I0,A0A287B4M4,A0A286ZQA1,A0A287A2J9 G1SXC8,G1TAE2,G1SZM2,G1SZE4,G1TBZ1,G1TIX5,G1SMY6,G1SZR6
10410 I3LNX4,D3K5N7,P79307,A0A286ZV23,F2Z5I0,A0A287B4M4,A0A287BHC9,A0A287A2J9 G1SXC8,G1TAE2,G1SZM2,G1SZE4,G1SR27,G1TIX5,G1SMY6,G1SZR6
10410 I3LNX4,D3K5N7,P79307,A0A286ZV23,F2Z5I0,A0A287B4M4,A0A287BHC9,A0A287A2J9 G1SXC8,G1TAE2,G1SZM2,G1SZE4,G1TBZ1,G1TIX5,G1SMY6,G1SZR6
10410 I3LNX4,D3K5N7,A0A286ZV23,P79307,B5KFD7,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1TAE2,G1SZE4,G1SZM2,G1T8H7,G1TIX5,G1SZR6,G1SMY6
10410 I3LNX4,D3K5N7,A0A286ZV23,P79307,D7RA34,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1TAE2,G1SZE4,G1SZM2,G1SQM7,G1TIX5,G1SZR6,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,A0A287BQ14,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,G1SZK4,G1SZM2,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,F1SG88,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,G1SGY7,G1SZM2,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,F1SG88,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,P47823,G1SZM2,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,F1SG88,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,G1SQM7,G1SZM2,G1SMY6
10410 I3LNX4,D3K5N7,A0A286ZV23,P79307,A0A287BBY6,A0A287B4M4,A0A287A2J9,A0A286ZQA1 G1SXC8,G1TAE2,G1SZE4,G1SZM2,G1T8H7,G1TIX5,G1SZR6,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,Q767K6,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,G1SGY7,G1SZM2,G1SMY6
10410 A0A286ZV23,K7GR70,I3LNX4,A0A287A2J9,A0A287B4M4,Q767K6,P79307,A0A287BHC9 G1SZE4,G1T143,G1SXC8,G1SZR6,G1TIX5,P47823,G1SZM2,G1SMY6
8082 I3LNX4,K9IVL0,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1SVF3,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,F1SA91,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1SVF3,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,A0A287AI32,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1SR82,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,F1SD83,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1SR82,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,F1SGS8,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1TB09,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,F1SGS8,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1SFD1,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
8082 I3LNX4,A0A287BF41,A0A286ZV23,F1RHK6,K7GR70,A0A287B4M4,A0A287A2J9,A0A287BHC9 G1SXC8,G1TB09,G1SZE4,G1SZT9,G1T143,G1TIX5,G1SZR6,G1SMY6
4479 A0A287A2J9,A0A287A9W0,A0A286ZV23,K7GR70,A0A287BHC9,F1RK46,F2Z558,D3K5N7 G1SZR6,G1T2L6,G1SZE4,G1T143,G1SMY6,G1SLV2,G1SDY5,G1TAE2
11561 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,Q06AA7,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1U9B4,G1SMY6
11561 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287ANH9,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1U9B4,G1SMY6
11561 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287ANH9,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1SML4,G1SMY6
8724 I3LSK3,A0A286ZV23,D3K5N7,A0A287A2J9,F2Z558,A0A286ZQA1,Q29549,P79307 G1TGR9,G1SZE4,G1TAE2,G1TVU3,G1SDY5,G1SIC9,G1SQ27,G1SZM2
8724 I3LSK3,A0A286ZV23,D3K5N7,A0A287A2J9,F2Z558,A0A287BHC9,Q29549,P79307 G1TGR9,G1SZE4,G1TAE2,G1TVU3,G1SDY5,G1SIC9,G1SQ27,G1SZM2
11449 P79307,I3LNX4,D3K5N7,A0A287BHC9,A0A287B4M4,A0A287APA5,F2Z558,A0A287A2J9 G1SZM2,G1SXC8,G1TAE2,G1TIX5,G1SMY6,G1T035,G1SDY5,G1TVU3
11449 P79307,I3LNX4,D3K5N7,A0A286ZQA1,A0A287B4M4,B5KFD7,F2Z558,A0A287A2J9 G1SZM2,G1SXC8,G1TAE2,G1TIX5,G1SMY6,G1T035,G1SDY5,G1TVU3
11449 P79307,I3LNX4,D3K5N7,A0A287BHC9,A0A287B4M4,A0A287BBY6,F2Z558,A0A287A2J9 G1SZM2,G1SXC8,G1TAE2,G1TIX5,G1SMY6,G1T035,G1SDY5,G1TVU3
