9689 Q9TUB2,A0A287AKH6,A0A287B4M4,A0A286ZQA1,A0A286ZV23,F2Z558,D3K5N7,A0A286ZS33 G1TVU3,G1SL48,G1TIX5,G1SIC9,G1SZE4,G1SDY5,G1TAE2,G1SKM1
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,M3TYJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,M3TYJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F2Z5G2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZVJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZVJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZVJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZVJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A286ZTN5,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T481,G1SIC9,G1SKM1,G1TAE2
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287ASJ4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,P67828,G1SIC9,G1SKM1,G1TAE2
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1S827,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SW77,G1SIC9,G1SKM1,G1TAE2
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287AX48,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,P67828,G1SIC9,G1SKM1,G1TAE2
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SIC9,G1SKM1,G1TAE2
10175 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TTN9,G1SIC9,G1SKM1,G1TAE2
8698 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,F1RHK6,D3K5N7,F1RIG2 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1T617
8698 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,F1RHK6,D3K5N7,F1RJ01 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SZT9,G1TAE2,G1T617
9278 Q9TUB2,A0A287A2J9,A0A286ZV23,A0A286ZQA1,A0A287B4M4,A0A287BDW6,D3K5N7,F2Z558 G1TVU3,G1SZR6,G1SZE4,G1SIC9,G1TIX5,G1T1R4,G1TAE2,G1SDY5
9278 Q9TUB2,A0A287A2J9,A0A286ZV23,A0A286ZQA1,A0A287B4M4,K7GM14,D3K5N7,F2Z558 G1TVU3,G1SZR6,G1SZE4,G1SIC9,G1TIX5,G1TJ26,G1TAE2,G1SDY5
9278 Q9TUB2,A0A287A2J9,A0A286ZV23,A0A286ZQA1,A0A287B4M4,K7GL45,D3K5N7,F2Z558 G1TVU3,G1SZR6,G1SZE4,G1SIC9,G1TIX5,G1T1R4,G1TAE2,G1SDY5
11183 Q9TUB2,A0A287BA12,F1RHK6,A0A287A2J9,A0A286ZV23,A0A287BHC9,F2Z558,D3K5N7 G1T143,G1SSG2,G1SZT9,G1SZR6,G1SZE4,G1SMY6,G1SDY5,G1TAE2
11183 Q9TUB2,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287B4M4,A0A286ZS33,A0A287BHC9,F1SA98 G1TVU3,G1SZR6,G1SIC9,G1SZT9,G1TIX5,G1SKM1,G1SMY6,G1SZD6
11183 Q9TUB2,I3LDS3,F1RHK6,A0A287A2J9,A0A286ZV23,A0A287BHC9,F2Z558,D3K5N7 G1T143,G1T1V0,G1SZT9,G1SZR6,G1SZE4,G1SMY6,G1SDY5,G1TAE2
11183 Q9TUB2,F1RJU1,F1RHK6,A0A287A2J9,A0A286ZV23,A0A287BHC9,F2Z558,D3K5N7 G1T143,G1T6Q2,G1SZT9,G1SZR6,G1SZE4,G1SMY6,G1SDY5,G1TAE2
3192 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LQ19,F1S415,A0A286ZQA1,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1TIX5,U3KMH3,G1T1S7,G1SIC9,G1TAE2,G1SDY5
3192 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287AKV5,F1S415,A0A286ZQA1,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1TIX5,G1TZJ5,G1T1S7,G1SIC9,G1TAE2,G1SDY5
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SPJ5,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,Q8HZV3,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1U6X2,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,Q8HZV3,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,Q8HZV3,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TCW1,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SIC9,G1SKM1,G1TAE2
10292 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SIC9,G1SKM1,G1TAE2
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,A0A287BNE4,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TC10,G1TAE2,G1SDY5
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,A0A287BNE4,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TQX1,G1TAE2,G1SDY5
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,A0A287BNE4,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SDU5,G1TAE2,G1SDY5
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,I3LU37,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TQX1,G1TAE2,G1SDY5
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,I3LU37,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1SDU5,G1TAE2,G1SDY5
9427 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,I3LU37,D3K5N7,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TS96,G1TAE2,G1SDY5
9697 Q9TUB2,F1S6I1,K7GR70,A0A287B4M4,A0A287A2J9,F2Z558,A0A286ZS33,D3K5N7 G1TVU3,G1SJ71,G1SIC9,G1TIX5,G1SZR6,G1SDY5,G1SKM1,G1TAE2
5091 A0A286ZV23,A0A287B4M4,I3LCM7,Q9TUB2,A0A286ZZJ6,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1STB0,G1TVU3,G1SL61,G1TAE2,G1SIC9,G1SDY5
5091 A0A286ZV23,A0A287B4M4,A0A287A9F5,Q9TUB2,F1SH27,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1TZC7,G1TVU3,G1TCI3,G1TAE2,G1SIC9,G1SDY5
5091 A0A286ZV23,A0A287B4M4,P79288,Q9TUB2,A0A286ZZJ6,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1SWX5,G1TVU3,U3KPJ1,G1TAE2,G1SIC9,G1SDY5
5091 A0A286ZV23,A0A287B4M4,P79288,Q9TUB2,A0A286ZZJ6,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1SQT6,G1TVU3,G1SL61,G1TAE2,G1SIC9,G1SDY5
5091 A0A286ZV23,A0A287B4M4,A0A287AJU8,Q9TUB2,I3LTD6,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1SWX5,G1TVU3,U3KPJ1,G1TAE2,G1SIC9,G1SDY5
5091 A0A286ZV23,A0A287B4M4,A0A287BA07,Q9TUB2,A7WLH8,D3K5N7,A0A286ZQA1,F2Z558 G1SZE4,G1TIX5,G1T3B9,G1TVU3,G1TLU5,G1TAE2,G1SIC9,G1SDY5
9753 A0A287A2J9,K7GR70,A0A286ZQA1,A0A286ZV23,B5APV0,D3K5N7,A0A287B4M4,F2Z558 G1SZR6,G1T143,G1SIC9,G1SZE4,G1TV31,G1TAE2,G1TIX5,G1SDY5
6821 A0A286ZV23,A0A287A2D4,K7GR70,A0A287B4M4,A0A286ZS33,F1SV20,F2Z558,A0A286ZQA1 G1SZE4,G1TZY2,G1T143,G1TIX5,G1SKM1,G1T7X7,G1SDY5,G1SIC9
6821 A0A286ZV23,A0A287A2D4,K7GR70,A0A287B4M4,A0A286ZS33,F1SV20,F2Z558,A0A286ZQA1 G1SZE4,G1U2U5,G1T143,G1TIX5,G1SKM1,G1TEY7,G1SDY5,G1SIC9
6821 A0A286ZV23,A0A287A2D4,K7GR70,A0A287B4M4,A0A286ZS33,F1SV20,F2Z558,A0A286ZQA1 G1SZE4,G1U2U5,G1T143,G1TIX5,G1SKM1,G1TEY7,G1SMY6,G1SIC9
11644 F1RK84,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1TEZ1,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 F1RK84,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1T9K9,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A286ZWZ7,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1T634,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A286ZWZ7,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SG44,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A286ZWZ7,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SNZ2,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A286ZWZ7,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SRP7,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1T634,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SG44,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1TS42,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SNZ2,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1TEZ1,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1SRP7,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
11644 A0A287B3F4,D3K5N7,F2Z558,Q9TUB2,A0A287BHC9,A0A286ZS33,A0A287A2J9,F1RHK6 G1U0I7,G1TAE2,G1SDY5,G1T143,G1SMY6,G1SKM1,G1SZR6,G1SZT9
8971 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,A0A287BIH8,A0A287BHC9,A0A287B4M4,D3K5N7 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1TN55,G1SMY6,G1TIX5,G1TAE2
8971 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,F1S1F6,A0A287BHC9,A0A287B4M4,D3K5N7 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1TN55,G1SMY6,G1TIX5,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BB27,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SV05,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BB27,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSF7,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SV05,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSF7,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SE73,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SV05,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,I3LQB7,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SV05,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,I3LQB7,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSF7,G1SIC9,G1SKM1,G1TAE2
10189 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SMW9,A0A286ZQA1,A0A286ZS33,D3K5N7 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SVF2,G1SIC9,G1SKM1,G1TAE2
3211 A0A287B4M4,A0A287BPQ8,Q9TUB2,A0A286ZV23,F1RHK6,I3L897,F2Z558,D3K5N7 G1TIX5,G1SZ81,G1TVU3,G1SZE4,G1SZT9,G1SXS3,G1SDY5,G1TAE2
3211 A0A287B4M4,A0A286ZLJ9,Q9TUB2,A0A286ZV23,F1RHK6,I3L897,F2Z558,D3K5N7 G1TIX5,G1SLQ0,G1TVU3,G1SZE4,G1SZT9,G1SXS3,G1SDY5,G1TAE2
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,F1RIG2,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1T617,G1SZT9,G1TAE2,G1SDY5
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,B5LX40,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1TTN9,G1SZT9,G1TAE2,G1SDY5
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,B5LX40,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1T617,G1SZT9,G1TAE2,G1SDY5
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,F1RJ01,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1TTN9,G1SZT9,G1TAE2,G1SDY5
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,F1RJ01,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1T617,G1SZT9,G1TAE2,G1SDY5
9681 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,F1RJ01,F1RHK6,D3K5N7,F2Z558 G1SZR6,G1TVU3,G1SIC9,G1SZE4,G1TH06,G1SZT9,G1TAE2,G1SDY5
8389 A0A287A2J9,A0A286ZV23,I3LCN0,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1TD98,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,I3LCN0,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1STC9,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,F1S7K1,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1SP27,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,F1S7K1,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1SF70,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,F1SG38,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1STC9,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,A0A287AXP9,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1T1X7,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,A0A287AXP9,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1TD98,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,A0A287AXP9,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1STC9,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
8389 A0A287A2J9,A0A286ZV23,A0A287AXP9,Q9TUB2,A0A286ZQA1,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1TQT7,G1TVU3,G1SIC9,G1TAE2,G1SDY5,G1SZT9
10425 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1RT53,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TES6,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287BF71,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287BF71,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSL4,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287BF71,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SE50,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RL04,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SZA8,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RGM8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RGM8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSL4,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RGM8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TTN9,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RGM8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TH06,G1SKM1,G1TAE2,G1SDY5
10425 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SKM1,G1TAE2,G1SDY5
10425 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSL4,G1SKM1,G1TAE2,G1SDY5
10425 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,B5LX40,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TTN9,G1SKM1,G1TAE2,G1SDY5
10425 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287ABT2,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SSL4,G1SKM1,G1TAE2,G1SDY5
10425 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SNW8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1STG2,G1SKM1,G1TAE2,G1SDY5
