A0A287BAP6 A0A287AIE4
A0A287AE27 A0A287B0C9
F1SJJ9 F1SJJ9
F2Z5N5 B8Q504
A0A287A612 A0A287A612
A0A287A1Y5 I3LA49
F1RK92 A0A287BR93
A0A287AHC7 A0A287AHC7
A0A287AHG1 A0A287APF1
F1SLS8 A0A287ANG4
F1RY89 F1SEX4
F1SA39 I3LFB8
F1RZR2 A0A286ZWN9
A0A287A6L4 A0A287B5K5
A0A287BR93 A0A287BR93
A0A287B2K6 A0A287B2K6
F1RKP8 F1SEC3
A0A287ASY7 F1RK24
F1RY89 A0A287AAN9
A0A287BRX1 F1S0T9
A0A286ZXB1 Q59HI6
F1RJU3 F1RJU3
F1SDM2 F1SDM2
F1SUZ9 A0A286ZR41
I3LRD1 A0A287BQ36
A0A287AZY6 A0A287AZY6
F1RTK1 A0A286ZJ48
Q4PS85 A0A286ZKP1
F1S235 F1S235
A0A287BA12 A0A287BA12
A0A287BEU1 I3LPB3
F1STH0 A0A287A8A9
A0A286ZLL9 A0A286ZLL9
A0A286ZID7 B6V6V4
F2Z5G3 F2Z5G3
F1SN87 F1SN87
F1S106 F1SP25
I3LJ12 F1SQ08
A2T1K7 A2T1K7
A0A287A377 A5GFN3
Q0R678 Q0R678
A0A287AG15 A0A287AG15
A0A286ZSD7 A0A286ZSD7
I3L8W5 F1STZ6
I3LVJ1 I3LQ78
A0A287AEB7 A0A287AYA3
F1SAD7 F1SAD7
I3LIB1 A0A287AWN6
B5M447 B5M447
A0A287B493 A0A287B493
F1RPU6 F1RPU6
A0A286ZUT8 F1RRK2
I3LKT6 A0A287ADS7
A0A287BI99 A0A287BI99
F1SEL5 F1SEL5
A0A287BQ51 A0A287BQ51
A0A287ABA2 A0A287BRL9
A0A287B737 Q95266
F1RYU9 F1RRG9
A0A286ZXQ3 F1RZV8
F1SAY9 I3LGD6
F1S414 F1RFZ7
F1RJX6 A0A287BEB8
F1SHT5 A0A287B5L3
A0A287BFA5 A0A287AR61
I3LDD9 I3LDD9
F1SMJ4 A0A287BKF0
F1SNG8 F1SHZ5
A0A287ANI3 A0A287ANI3
A0A287ACZ6 A0A287ACZ6
K9IVC8 F1S2H1
F1SBH1 F1RPW2
F1S615 B8Y4S8
A0A287A2J9 A0A287A2J9
Q29024 Q29024
A0A287B0E9 I3LE93
F1S064 A0A287AFJ7
F1SPP8 F1SPP8
F1RKP8 A0A286ZS02
P36968 P36968
K7GPB8 A0A287BHR4
F1RMV7 F1RMV7
I3LD41 F1RF23
F1RNX0 F1RNX0
A0A287BES3 I3LIB1
K4P7U5 K4P7U5
I3LLX9 F1RU77
P27917 P27917
A0A287AIC4 A0A287AIC4
A0A287BJL0 A0A287BJL0
A0A287BRX1 A0A287BRX1
A0A287BRP0 A0A287BRP0
F1RXA0 F1RIB2
F1RP07 F1RT12
F1SB91 F1SB91
A0A287BHA3 A0A287BHA3
F1SSH9 A0A286ZW96
F1RM52 F1RM52
A0A286ZYF9 F1RVX1
A0A287A381 F1SND4
A0A286ZLB3 A0A286ZLB3
K7GNQ8 K7GNQ8
F1RU77 A0A287B024
F1SE66 I3LQ18
F1SML3 F1RT41
A0A287APF1 M3V834
F6PY91 I3LA17
A0A287AAX2 A0A287AAX2
F1S001 I3LBT8
A0A286ZPF5 A0A286ZPF5
A0A287BD43 K7GQZ4
A0A287B798 F1SMJ4
I3L6Z9 A0A287A7X3
F1SIZ8 F1S614
F1RVI2 M9MMN5
K7GMW2 A0A287AGA1
A0A287ADB2 A0A286ZJL4
A0A287B049 I3LEQ0
P28491 P28491
F1S1V4 F1S1V4
F1SLF9 F1SEA4
P27917 F1SC83
F1SKJ0 F1RT12
A0A286ZR76 A0A286ZR76
A0A286ZNI0 A0A286ZNI0
F1SIH6 F1RVX1
A0A287BEB8 F1RNN1
F1RFZ7 F1S414
A0A287AMX1 F1S2H1
F1S2I2 A0A287AWP2
F1RJX8 A0A287A6L4
F1S0C2 F1S0C2
O18887 F1SED7
A0A286ZUN2 F1S4A6
F1RX70 F1SKJ0
A0A286ZPW0 F1SS00
F1STU9 F1S614
F1SDH5 A0A287B1W2
F2Z580 A0A286ZLK7
K7GSL3 K7GSL3
F1RXA9 F1RXA9
A0A287AMU9 F1SUC4
F1RT71 P27917
B7U6F4 B7U6F4
I3L7H4 Q4PS85
F1SJM4 F1SJM4
F1S8X9 A0A286ZQA7
F1S5P0 F1S2I2
I3LVS7 I3LVS7
I3LHP5 A0A286ZJ88
A0A287ALR5 F2Z5Q5
A0A286ZXE4 F1RYA3
A0A286ZKV2 A0A286ZKV2
A0A287AFX3 Q28989
F1SQZ8 F1SQZ8
A0A287AJV7 F1SRD2
A0A287A3E8 F1SSW6
I3L7Z3 F1S614
K7GM45 K7GM45
A0A287BKF7 A0A287BKF7
F1SQH8 Q2LE37
F1SSZ8 F2Z5D1
I3LRE9 F1S4T3
F1RJE3 I3LNK6
F1SFH0 F1SFH0
F1SF34 F1SF34
F1RME6 F1SUC4
A0A286ZQA7 I3LGA9
F1SLM7 F1RHK8
A0A287A5M5 A0A287B3D8
A0A287AGG3 P26776
A0A286ZQ50 F1S9S5
I3L8V8 F1SUC4
F1RVS8 F1SAR7
F1SFM0 F1SFM0
A0A287APQ3 A0A286ZV39
A0A287AGR7 B7U6F1
A0A287AGX8 A0A287AGX8
Q6QAT0 F1SKJ5
F2Z5E6 F2Z5E6
F1SLU6 F1SLU6
F1ST22 A0A287ABI7
F1RJ68 F1RJ68
A0A287B3P0 A0A287AYM4
I3LLK9 F1S4G5
A0A0A0MY60 F1RR25
F1STN3 F2Z580
F1SE53 F1SE53
A0A287AA59 A0A287AA59
F1SK28 F1RHN8
F2Z5L2 I3L7H4
M3TYJ4 M3TYJ4
F1STE5 I3LT46
F1RK92 G9K122
F1SRJ1 I3LRD1
F1S398 A0A287BGS4
A0A287A720 I3LQD7
A0A287BK92 B5ACE1
A0A287BNA8 A0A287BNA8
I3LQ18 A0A287AUT3
P26894 P26894
F1RGT4 F1RGT4
I3LVG6 I3LTU7
F1S027 A0A287AMU9
K7GNF0 A0A287AJ30
F1SQL1 F1S216
F1SS22 F1SS22
F1SLT6 F1SLT6
F1SNE5 F1SNE5
F1SQX0 F1SQX0
F1RU38 F1RU38
A0A286ZT34 A0A287AJJ6
G3FNU6 G3FNU6
A0A287AHC8 Q8HYN8
F1SD90 A0A286ZQE2
F1SA98 F1SA98
I3LTD2 F1SC14
F1S5W3 F1SBT3
F1SUL0 F1RVY1
A0A287AA49 F1RVD7
F1SCM8 A0A286ZPW0
F1SNX8 F1RPH0
F1RYU8 F1SUK6
F1S215 F1S215
F1SNI2 F1SNI2
F1SSH9 I3LDJ2
F1RWW3 F1SSU6
A0A287AR57 A0A287BR67
A0A287B559 A0A287B559
F1SQZ8 F1SSJ1
F1RK68 A0A287ALW3
A5GFN3 A0A0A0MY60
A0A287A2C8 A0A287A2C8
F1RG44 F1RRW2
A0A286ZKP1 A0A286ZKP1
A0A287A1S1 F1RPD2
I3LF03 F1SHZ5
I3LH25 F1S207
I3LS09 F1RU08
A0A287BE32 A0A287BE32
F1SC78 A0A287AZ63
A0A287AJJ6 A0A287AJJ6
F1SPF6 F1SPF6
F1SAH1 A0A287B0L4
A0A287B293 A0A287BDA1
A0A286ZQ22 F1RWV2
F1S461 F2Z5S6
F1S938 F1REZ4
A0A287AIG2 A0A287AVA0
A0A287BES3 F1SNX8
A0A287BEY7 A0A287BEY7
F1RNB1 F1SUA0
I3LRE9 I3LEQ0
A0A286ZRJ9 I3LUH8
F1RXA1 F1RXA1
F1SUC4 I3LTT6
A0A287BNF7 F1RLF2
F1S544 A0A287AP94
A0A286ZZU8 F1SJ88
A0A287A447 F1RK92
A0A287BDI1 A0A287BDI1
E1U8C5 F1SIT2
F1S0T9 F1SIK8
I3LL00 I3LL00
I3LP66 K9J4W3
I3LTP9 I3LTP9
A0A287BS35 F1S492
I3L9P0 A0A287BIW2
F1S615 I3LTX5
F1S009 F1S009
A0A287AIX2 A0A287BRN3
F1RSB7 F1RSB7
A0A286ZN93 F1RU06
A0A287A1S1 F1SRP0
A0A287B0A5 A0A286ZRW8
F6QAE4 A0A287A4D0
A8S2B8 A8S2B8
A0A287ATD3 A0A287ATD3
F1RS05 F1SLC7
A0A287AMU9 I3L8V8
F1RZV8 F1SUS6
A0A287AJV7 A0A287AJV7
A0A287A7M2 F1SAH6
A0A287B108 F1RUF2
F1RI75 A0A287BRY2
A0A0A0MY60 F1S9R4
M3VK31 M3VK31
F1SGQ0 F1SA57
I3LGM5 I3LGM5
I3LKT7 A0A286ZQS2
A0A287BEW6 A0A287ABI7
F1RT80 F1RT80
J9JIK8 J9JIK8
F1RV26 F1RV26
A0A286ZQP7 A0A287AN25
D5K8A0 A0A286ZKP1
I3LJB7 A0A287BPN6
A0A287BDA1 A0A287B293
F1RJR9 F1SAH3
F1SUZ9 K7GMG2
A0A287BEW6 I3LCK2
A0A287AUT3 A0A287BPY6
I3LBN0 F1RL90
E5F1H9 A0A287AG28
A0A287AE27 A0A287BC40
F1RQ12 F1RQ12
I3LHL8 I3LJ12
F1S6F1 F1SH48
K7GR08 F1S4A6
A0A286ZUR0 A0A286ZUR0
K7GR16 A2T1K7
F1RR25 A0A287A377
I3LLY8 F1RGE8
F1SA58 B4YSE7
A0A287BPC2 I3L6D7
I3LRD1 I3LRD1
F1SRN9 I3LG10
F1S064 A0A287BBL7
F1RNN1 F1RJX6
I3LP69 I3LP69
F1SB66 F1SB66
A0A286ZQ22 A0A286ZQ22
F1SAY9 F1SAY9
K7GLC1 F1SFF5
F1SKJ0 A0A287A1Y5
Q6RWA7 F1RVS6
A0A287BML5 A0A287AHG1
A0A286ZWL8 I3LUW6
F1SLN1 A5GFZ6
I3L8H0 B7U2H0
F1RRW0 F1S523
A0A286ZXQ3 I3LHL8
A0A287AMD1 A0A286ZJP5
I3LRY4 I3LRY4
F1STM9 F1STM9
D0G777 D0G777
A0A287ATX4 Q863I2
A0A287AY01 D2WKD8
F1S579 A0A287AWP2
F1RI75 A0A287BHR4
I3LUF4 A0A287BIA6
F1RXP8 F1RVX6
F1SJ23 F1SFC1
F1RRW9 A0A287BM32
A0A286ZSY9 A0A287A6Z4
I3LIG0 I3LIG0
F1SAL3 F1SAL3
F1S027 A0A286ZU39
A0A286ZS42 A0A286ZS42
I3LLX9 F1SC57
F1RG67 F1RG67
F2Z5W4 A0A287AJF0
F1RL13 A0A287AZI4
F1S632 F1RT31
I3LA76 I3LA76
A0A287BPN6 F1SEA4
A0A287BKR8 F1RXA0
F1RL46 A0A287AZ63
A0A287B0T0 F1RMX5
A0A287BB55 A0A286ZJJ6
A0A287A018 A0A287B8Y6
O02826 O02826
F1SBT3 F1RXA9
A0A287A3U2 I3LCP8
F1RRW9 A0A287A996
F1S9R4 F1RR25
A0A287A8L4 A0A287A8L4
F1RPV1 F1RPV1
A0A287BPN6 I3LAG7
A0A287BE75 I3LVB2
A0A286ZJP5 A0A287AMD1
F1S216 A0A287BSZ4
F1SCJ1 A0A287B425
F1SUT6 A0A287APY9
F1SIG6 F1SIG6
F1S614 A0A287BFL6
I3LNN6 F1SVC3
F1S539 F1S539
A0A287BKD3 A0A287BKD3
F1SBH1 B5KFA0
F2Z5S7 F2Z5S7
A0A287A706 F1SC20
A0A287ARB0 A0A286ZR41
A0A287BKR2 A0A287BKR2
I3LFS1 I3LFS1
F1RTW1 F1SR85
K7GT47 K7GT47
A0A287A5V7 A0A287A5V7
I3LNP8 I3LNP8
A0A287BA13 A0A287BA13
K7GT69 F1SNL8
Q29053 E9LK28
A0A287BII2 A0A287BII2
A0A287A6Z4 I3L9U6
I3LRL0 I3LRL0
F1RQS4 F1RQS4
F1RV73 I3LST1
A0A287A582 F1SA58
A0A287AG87 A0A287AG87
A0A286ZRN5 A0A286ZRN5
A0A287A4H3 F1SAU5
A0A287B9V7 I3L7E5
A0A287BG25 A0A287BPI3
F1RMJ5 F1SM29
P02543 P02543
F1SHU9 F1SHU9
A0A286ZT06 F1RYP8
I3LP18 I3LP18
I3LGV2 F1S8P2
P00339 A0A287AGU7
F1SER9 F1RKP8
Q29040 Q29040
A0A287AFJ7 I3LVJ1
A0A286ZZ17 A0A287BE94
A0A287BCY6 F1SD88
Q8HYA9 F1RS82
A0A286ZT06 P13222
F1SG36 F1SLF9
A0A286ZXE4 A0A287BKW7
F1RYL5 F1RYL5
F1S860 Q1W0Y2
I3LNG8 I3LNG8
A0A286ZQI0 D3KAY4
F1RIV1 A0A287BIY7
F2Z5T7 F2Z5T7
F1S5D3 A0A287A3U2
A0A287AH57 F1SC78
F1RVM0 A0A287BPB6
F1SV01 I3LHE7
A0A286ZWQ4 A0A286ZI91
F1RHM8 F1RHM8
F1RPB6 I3LDW3
A0A287AKU1 A0A287AKU1
A0A287AG28 A0A287AWQ9
A0A286ZN41 A0A287BIA6
F1SS61 F1RY45
F1SQH8 F1SHY6
F1RXA9 F1SNL8
F1RLJ4 F1RLJ4
A0A287BKU7 F1RK68
F1RU77 F1RT67
A0A286ZU39 F1RME6
I3LTJ3 I3LTJ3
I3LLX9 F1SSJ8
A0A287AG84 F1RG01
A0A286ZWN9 F1SQL4
K7GKA5 F1RR03
I3LRT0 I3LRT0
F1SR85 K7GNC6
F1SUC4 F1S027
F1SI90 A0A286ZI70
A0A286ZTB1 F1RL90
I3LNJ8 A0A287B182
Q06AT1 A0A287BHA3
A0A286ZUN2 K7GR08
I3LP66 F1SA23
F1S6G8 A0A286ZT06
Q2QLE3 Q2QLE3
A0A287ADB2 F1SMK4
F1SDH7 F1SDH7
F1SAF0 F1SAF0
F1SUK6 A0A287AZT5
A0A287BQG6 F1S265
A5GFU7 A5GFU7
F8SIP5 F8SIP5
F1SAX3 A0A287B9V7
K7GNQ8 F1RRW0
F1S1H3 F1S1H3
F1SER9 F1SER9
A0A286ZZH2 A0A286ZZH2
I3LPV8 A0A287AQ36
A0A286ZKS6 A0A286ZKS6
F1RPN0 I3LLY8
A0A287BPP5 P61220
F2Z5N6 A0A287B0Y7
F1S028 F1S025
A0SEH3 A0SEH3
I3L9K6 F1SBK5
Q9BDC3 Q9BDC3
K9J6H5 A0A287A957
A0A287B5J6 F2Z5V0
A0A287AK63 A0A287AK63
F1S3I8 A0A286ZRI8
F1SFC1 I3LFH6
A0A287B098 I3LC62
A0A287A9S3 A0A287A5U6
F1S488 F1S395
A0A287ACT6 F2Z5S6
F1S570 A0A287AXU2
I3LCP8 F1S5D3
F1RPV0 F1RGT4
F1SDT3 F1SDT3
F1SG36 A0A287BPN6
A0A287BA13 A0A287BJY9
F1RV81 A0A287BC41
A0A287B982 A0A286ZJL4
F1SR85 A0A287APE0
F1RFA3 F1RFA3
A0A287BDM0 A0A287BDM0
F1RY89 F1RVM0
A0A287BD34 F1SRC5
I3L5E5 A0A286ZU39
I3LTQ7 I3LTQ7
A0A287BP12 B7TJ18
F1RZA6 Q28987
I3L8W5 I3LHL8
F1S614 F1SIZ8
F1SFF5 A0A286ZVX9
Q6ZYM3 Q6ZYM3
A0A286ZJ48 A0A287B223
F1S073 A0A286ZJV6
A0A287ANI3 A0A287AUN3
A0A287AJ04 A0A287B049
F1S7L7 F1SS82
A0A286ZJJ6 A0A287AZI1
F1SNE8 A0A287AVA7
A0A286ZQZ8 A0A286ZQZ8
F1SL61 F1SL61
I3LPW1 I3LPW1
A0A287A115 A0A287A115
A0A287A1S6 A0A287A1S6
F1SE66 A0A287AUT3
F1SKB0 M9NIX2
A0A286ZWJ6 F1SBR2
I3LRS0 F1RN64
A0A286ZPW0 A0A286ZPW0
F1RQL8 A0A287BB55
F1RHN0 I3LH25
F1S662 A0A287A7M2
F1SEL5 F1RI33
F1S621 F1S621
A0A287A7X3 F1RG99
F1RT87 A0A287BLE0
F1RK53 F1RK53
A0A287BHM4 A0A287BHM4
A0A287AZ63 A0A287BDA1
I3LMZ3 I3LMZ3
A0A287ACT2 B1PHQ9
F1SND4 A0A287AMS8
F1SJ31 F1SJ31
F1S615 A0A287B0A5
I3LEX4 A0A287AQW3
A0A287B4Q4 A0A287AXH9
F1ST82 F1ST82
F1S0S8 F1S0S8
F1S693 A0A286ZZU7
A0A287BFP7 A0A287BFP7
I3LQ18 F1SE66
F1SPF9 F1S1G0
A0A287BHY1 I3LEL8
A0A286ZRG1 F1SFC1
F1RJ91 F1RJ91
F1SAN7 F1SAI5
I3LT92 I3LT92
Q7M2W6 Q7M2W6
A0A286ZZU7 A0A288CFU9
D0G0C6 D0G0C6
A0A287A9N8 A0A287A9N8
F1RJX8 F1RJX8
F1SUD4 A0A286ZWN9
A0A287BBE4 A0A287BBE4
F1RT31 F1S632
A6N8P5 A6N8P5
F1S525 F1S525
F1SA74 A0A286ZQ50
A0A286ZY18 A0A287A800
A5GFZ6 A0A287AR57
F1SEL6 F1RRT8
F1RLE6 A0A287AA49
F1SSU6 F1SSU6
I3LJC2 A0A287AN25
I3L8G0 I3L8G0
A0A287A962 F1SUS3
F1SNX8 I3LIB1
F1RZB9 I3LG49
F1STE5 F1STE5
A0A286ZJ13 A0A286ZJ13
I3LEL0 I3LEL0
I3LE93 F1S9W5
F1RG99 K7GNF5
A0A286ZWL3 F1S8X0
I3LJC2 A0A286ZQP7
K7GMG2 F1SUZ9
A0A287AT82 A0A287AT82
F1SQG1 A0A287AR46
F1SSH6 F1SKJ5
A0A287AUF7 A0A287AUF7
F1SLX2 F1SLX2
A0A286ZR41 A0A287AA87
A0A287AXH9 F1SET7
F1RVS6 F1SGD8
F1SPI9 A0A287APU1
I3LU48 I3LU48
I3L936 A0A287B5B7
F1SFF5 F1S0P6
A0A287AXH0 A0A287BLN4
F1SUP8 F1SUP8
A0A287AAN9 F1SEX4
F1S1F1 A0A286ZQE2
A0A286ZP65 A0A286ZP65
A0A287AZB9 A0A287AZB9
F1S9S0 F1S9S0
A0A287BIK7 F1SRE1
A0A287A7X3 I3L6Z9
A5GFY4 A5GFY4
F1SMK6 F1S2H1
F1RPB6 A0A287ARB0
A0A286ZQS2 F1RTH8
A0A287B8G9 A0A287B8G9
A0A287BPB6 A0A287AGD4
F1RU02 F1RFI0
A0A287BHR4 F1RI75
F1RYU8 I3LG10
F1S0N2 F1S0N2
Q4PS85 I3L7H4
I3L7T2 I3L7T2
F1RJX6 F1RW05
F6QAE4 A0A286ZI25
I3LC14 I3LKT6
F1SQH3 A0A287ARC5
A0A287A3E8 F1SSZ8
A0A287B0M0 A0A287B0M0
F1RQL8 F1RIB2
I3L6D8 F1RJF5
D3K5K5 F1SQL4
F1RT67 F1RU77
K7GT69 F1S7T4
F1S5P0 F1S579
F1S064 F1S064
I3LUH9 F1RG44
A0A287AAH7 A0A287BR67
F1RIB2 A0A287BKR8
F1SEX5 F1SEX5
A0A286ZUU8 A0A286ZUU8
I3LPL6 A0A287B982
F1S0L5 F1S0L5
A0A287A5Z0 A0A287A5Z0
A0A287A270 K7GR16
A0A287AEQ9 A0A287AEQ9
A0A287ALI5 F1S860
F1SQH3 F1SM35
F1RFL5 F1RFL5
A0A287AM88 A0A287B1A4
K7GNS9 K7GNS9
P27917 A0A287B4H1
I3LJQ0 A0A287A2G0
F1SGB6 F1SGB6
A0A286ZJJ6 A0A286ZJJ6
F1RX57 F1RX57
F1RT51 F1RT51
A0A287BBF5 A0A287BBF5
I3LBA6 F1SLB6
F1RKV6 F1RKV6
A0A287ANE3 A0A287ANE3
A0A287B5K5 F1SAU5
F1SKJ0 A0A287B6H5
I3LF03 F1S0X6
F1RHK8 F1RHK8
A5A772 A5A772
A0A287BL45 A0A287BL45
F1SQ55 F1SQ55
A4U9C9 A4U9C9
F2Z513 F1S3E1
F2Z5V0 A0A287B5J6
A0A287B5R1 A0A287B5R1
A0A287AU59 A0A287AU59
F1RT87 A0A287A9G4
F1SQ60 F1SFG4
M3VK31 A0A287AU31
A0A286ZW96 A0A287BRV4
F1RZB9 B3XXC2
F1SAZ7 I3LF48
F1RS59 A0A286ZRK6
A0A287BDL6 A0A287BDL6
F2Z5H6 F2Z5H6
A0A287A6I2 A0A287A6I2
A0A287BSN5 A0A287BSN5
F1S7T4 D3Y270
A0A287AA87 I3LDW3
A0A287AXH9 A0A287AXH9
I3L9Q7 A0A286ZWQ4
F1SL57 F1SL57
F1RKC0 A0A287BEJ3
I3LUI7 F1RT67
F1SUL0 A0A286ZRG1
A0A287APX2 A0A287BS35
A0A140UHW4 F1RYA3
I3LHI3 P13222
I3L6Z9 K7GNF5
A0A287A270 A2T1K7
F1RS59 A0A287AW07
O77668 O77668
F1SQ08 A0A287AN34
A0A287B5K5 M3TYJ4
F1STH0 A0A287BJT5
I3LQN8 F1SKK1
A0A287BPN6 F1SLF9
A0A286ZRV2 A0A286ZRV2
Q28989 A0A287BDP3
I3LH19 I3LH19
F1RU49 Q95266
F1RW03 F1RP07
I3LH52 I3LH52
A0A287BKK9 A0A287BKK9
A0A287ADJ0 A0A287ADJ0
A0A287BFI8 A0A287BFI8
F1S9W5 I3LE93
A0A286ZU39 F1S027
D3Y270 K7GT69
F1S0P6 A0A286ZVX9
F1S4B7 F1SKB0
A0A287APK5 F1RN52
F1RY45 A0A287BNF7
F1RI80 A0A287A9R8
F1RNQ3 F1SM49
A0A287B4H1 P27917
B5ACE1 F1SMZ2
A0A286ZQE2 A0A286ZMB2
I3LHW9 I3LHW9
F1SV57 F1SV57
A0A287A5F8 A0A287A5F8
F2Z5L2 Q4PS85
F1RVY1 A0A286ZPM2
A0A287AJL7 A0A287AJL7
A0A286ZUT8 A0A287B5J8
A0A286ZSY9 I3L9U6
A0A287AAE5 A0A287A6T8
F1SS24 F1SS24
A0A287AZI4 A0A287BID6
F1SC83 P27917
F1SSG7 F1SSG7
F1RNN7 F1RNN7
A0A287AH57 F1RL46
A0A287ARG0 A0A287ARB0
F1SAA5 A0A287B4P8
A0A287BFQ6 A0A287BFQ6
A0A287BLV8 A0A287BLV8
F1RTK1 F1SC59
F1RNQ2 F1RNQ2
A0A287A996 A0A287AWJ1
A0A287A8B5 A0A287A8B5
D2ST34 D2ST34
A0A286ZWZ7 F1RK84
F1RFX6 F1RFX6
A0A287BB55 F1RXA0
F1S222 F1S1D9
A0A287ALZ1 F1RK24
A0A287AY01 A0A287AIE4
F8SIP6 F1RLV7
F1RFW8 F1RFW8
I3LAE8 I3LAE8
B3XXC2 A0A287ACY5
F1RGT4 A0A287BIA7
A0A287AUT3 F1SE66
A5GFZ6 A0A287BR67
A0A287A6Q1 A0A287B6G7
F1S7C8 F1S7C8
A0A287AQ46 A0A287AQ46
B8Y4S8 B8Y4S8
F1ST67 F1ST67
F1SNG8 I3LF03
A0A287AV79 F1SS53
Q8MIA3 A0A287A6Q1
F1RSH4 F1SRC3
F1RG01 A0A286ZJB7
F1SLB6 F1SLB6
F1S7P5 F1S7P5
A0A287B6Q4 F1S0T7
F1SD76 F1SD76
F1RSK2 A0A287B2T4
F1SSH9 F1SSH9
F1S3D0 F1S3D0
F1S7T4 F1S5W3
B3VN02 B3VN02
F1SFW7 F1SFW7
F1RNL6 F1RNL6
F1S7Q6 I3LKI5
A0A287AJV7 F1RNY1
A0A286ZXQ3 F1SQ08
A0A286ZYR1 A0A286ZPB4
I3L8H0 A0A287BML5
A0A286ZPX7 A0A287B653
A0A287BAP6 A0A287A862
F1RYR6 F1RYR6
A0A286ZZ39 A0A286ZZ39
A0A287BBR4 A0A287BBR4
F1SB65 A0A287BEW6
A0A287BPB4 I3LHK5
A0A286ZRG1 F1SBK5
F1RN52 A0A287AY01
A0A287BQ36 F1RT41
F1S8W8 F1S8W8
F1SKQ7 F1SKQ7
F1RVX1 A0A286ZYF9
A0A287ALR6 A0A287BEB8
I3L6D7 A0A287BPC2
I3LEL8 A0A287BHY1
A0A287BDY5 A0A287AK36
A0A287B2D0 A0A0M3KL56
I3LCX0 I3LCX0
F1RKR0 F1RF24
D7RA17 I3L9Q7
F1RYG4 F1SIG2
A0A287B223 F1RF24
F1RJQ6 F1RJQ6
A0A287A188 A0A286ZTU1
A0A286ZTB1 F1S1D9
F1S028 F1S028
F1S1A7 K7GL74
F2Z5S6 F1RLC1
A0A287B3M4 A0A287B3M4
F1RHU6 F1RHU6
A0A286ZU39 F1RJ12
A0A287BLE0 M3VJZ7
A0A287ABE3 A0A287ABE3
F1S9W1 F1RRW9
I3LR13 A0A287AV73
I3LNG4 F1SIG2
F2Z5H6 F1S971
I3LFB8 I3LFB8
Q75R37 Q75R37
I3LFA7 I3LFA7
A0A287A6Z4 F1ST85
A0A287AG84 A0A286ZJB7
F1S4G5 A0A287AHK7
A0A287BKU7 I3LPV9
F1SBC5 F1SBC5
F1SNX8 A0A287BES3
F1SJT0 A0A287B182
F1S8P2 I3LGV2
F1RM45 F1RW98
F1RGG1 F1RGG1
A0A287A3W3 F1SMI2
I3LN88 F1S5N5
K7GPQ5 I3LT45
I3LPL6 A0A287ADB2
A0A287API2 F1SV80
A0A286ZZJ6 A0A286ZZJ6
F1RHA0 F1RHA0
F1RVL7 F1RVL7
F1RVX6 A0A287AMM6
A0A287BPP5 A0A287BPP5
A0A286ZUC3 F1RSB7
K4P7U5 K7GLN0
F1RYA3 I3LQD7
Q9GLE3 Q9GLE3
A0A287B425 F1RZA6
I3LTT6 F1RJ12
I3LPJ3 A0A287A450
F1RU08 F1RWF9
F1SUZ2 F1SUZ2
I3LJD8 I3LJD8
I3LMS3 I3LMS3
A0A287BPI7 F1RFX4
A0A287ANQ7 A0A286ZY18
I3LLR1 F1RN19
A0A287BMZ8 A0A287BMZ8
A0A287ADX6 F1RJG0
I3LJB7 F1SEA4
A0A287A5Z0 A0A287A9J8
I3LF44 I3LF44
F2Z5J3 A0A286ZI91
F1S8L6 F1S8L6
A0A287AWQ9 A0A287AWQ9
A0A287ACY5 F1RZB9
F1SEQ8 F1SEQ8
A0A287BGT9 A0A287BGT9
Q6QAT0 F1RSH4
I3LKM6 K7GNC6
A0A287A6Q1 A0A287BCK2
F1RKW0 F1RKW0
A0A286ZWN9 A0A286ZWN9
A0A287BM32 A0A287A996
A0A287B0B0 A0A287B0B0
A0A286ZY04 F1SUY1
F1RKE4 F1RT09
F1RF23 I3LD41
A0A287BAI1 A0A287BAI1
A0A286ZRW8 F1S1X5
F1SFG4 A0A287A0A8
A0A287ANP5 F1SRM3
F1SM49 F1RWM3
A0A287ALS3 A0A287ALS3
I3LVN6 F1RV73
F1SST8 F1SST8
F1RG44 F1RG44
A0A287BM99 A0A287BM99
F1RY89 A0A287BPB6
K7GPB8 I3LIG0
A0A287A447 G9K122
F1SUU6 F1S1D3
A0A287BD71 A0A287BD71
F1SPP2 F1SPP2
A0A287B7T8 A0A287B7T8
A5A8Y3 A5A8Y3
A0A287AA49 A0A287A5L5
K7GL74 K7GL74
F1RPN2 A0A286ZQX0
A0A287AZT5 A0A287AZT5
A0A286ZY04 A0A287A0A8
A0A286ZWL3 F1RZV8
A0PA01 A0PA01
F1RWV2 F1RT41
A0A287AT70 A0A287AT70
P12068 A0A287ADH9
I3LC14 A0A287ADS7
A0A287AN34 I3LHL8
A0A287B0L4 F1SI67
F1SBX2 F1SBX2
Q8WNW2 A0A287B5N1
A0A287ARV8 A0A287ARV8
A0A286ZLC0 Q5BMD3
A0A286ZMZ8 A0A286ZMZ8
A0A287AA47 A0A287AR33
A0A287BTM5 A0A287BTM5
F1RQN9 A0A286ZQW4
I3LJQ0 F1REZ4
I3LEB3 A0A287BKK9
A0A286ZSI3 A0A286ZSI3
Q29053 Q29053
F1SRD2 K9J4W3
F1RMS4 F1RMS4
A0A286ZPM2 I3L9K6
D2DGZ0 D2DGZ0
F1SIW4 F1RSD3
A0A287BNS1 A0A287AIV6
O62680 A0A287A6D3
A0A287BDM9 A0A287BDM9
F1SNB4 F1SNB4
