Q6P9S1 F1S010
Q8K3K7 B3VN02
Q62419 F1S7L8
Q99JX3 F1S1U5
P56484 F1S4A8
Q61187 A0A286ZVC7
O70201 Q9GLN5
Q3TDN2 A0A286ZMY6
A0A0R4J097 A0A287BPI7
Q8BZ33 F1RXE4
A1Y9I9 A0A287BDK5
P10300 F1SVD7
P20722 A0A287BGT4
Q8CJ70 F1SEZ2
P26883 F2Z5J5
P35375 F1SCF7
Q9WVS8 P79432
Q61696 F1SL75
P19091 F1RTM6
A2APF3 F1SCJ1
P63163 A0A287BI89
Q9CQZ0 F1SPJ4
P25911 F1RT53
Q3V1L4 A0A287BSE8
Q9WVS8 A0A287BI89
Q8JZM6 A0A287BFS7
O70494 F1S064
Q9D0B0 I3L7B7
Q5D078 F1S215
P46467 A0A287BA12
Q9D159 A5GFS7
G3X914 I3LFR2
Q8VDF2 I3L5F7
A2AGH6 A0A287AKR9
A2A7B5 A0A287BBL7
Q3U7U4 I3LST1
Q60634 D5KJI2
P27782 F1STR7
Q5M9N4 A0A287A3K3
Q78J03 A0A287AB06
O08992 A0A286ZKH9
Q69ZR2 F1SAQ6
Q9CZS3 A0A287ASV1
A2AMI2 A0A287AF76
D3YXK2 F1RPX1
P30681 F1RJ01
E9Q555 A5GFN3
Q3U3I9 A0A287AJ93
Q9R1W5 A0A0G2KBD0
Q9JMH6 F1S7K1
A2A7S8 A0A287AB40
O70492 F1SJV7
A2A8L1 F1SP55
Q9CR52 A0PFK5
Q8C1Z7 A0A287AWK9
Q8BGG7 P62844
Q78IK4 K7GNC6
Q32NY8 A0A287AVQ6
Q8BUN5 P84024
Q9JIM3 A0A287AZP6
Q8K274 F1RZZ3
O55082 F1S215
A2A7B5 I3LQ78
Q5SXC4 F1RSB8
Q7TMK9 F1SU06
Q9D451 F1RK75
Q80WJ6 F1RXR7
P25322 A0A287BRJ4
Q9JLI2 F1S3G7
P52955 D7R811
Q6K1E7 F1RZR1
Q9R0K7 F1SQA7
P10126 Q0PY11
H3BJM0 F1RIV2
Q8BVR6 F1RF31
A2CGA5 O62640
Q0VBL1 A0A287B330
D3Z3U5 F1SL15
Q61666 I3L9X2
Q9CYD3 F1S5N6
Q6P5D4 A0A287AA61
Q9JKN1 A0A286ZID7
Q8K368 A0A287AR18
P23927 Q7M2W6
P61080 A0A287ARZ0
B7ZDF5 A0A287BHQ4
Q9WVS6 A0A287A4T0
Q923E4 A7LKB1
Q62227 F1STR7
Q3TYX8 F1RXR7
Q6PD10 F1SPR3
Q3UH85 A0A286ZWH8
Q62388 F1SV20
Q8R3P2 A0A287B5B5
Q64326 I3LTQ7
Q9Z324 A0A287BEL1
Q60665 F1SEI1
O70303 F1SGQ3
Q3UNH6 F1SH27
P31532 F1S9B8
O70237 F1S8F9
P12961 F1SRZ3
Q99P50 Q95254
P49452 F1RVF8
Q8BZH4 I3LP32
Q8C5Q4 A5GFR3
Q8VE73 F1RRN3
O70273 A0A287B0C9
Q9CYA6 F1RVY7
Q99LH1 A0A286ZWP6
Q8R2N2 A0A287B1A2
Q9D6K5 A0A286ZUN2
Q6GQT0 A0A287AWA8
E9QAM5 F1RMM8
Q9ERS5 F1RRI6
O35492 F1SIE6
Q8CG73 A0A286ZM09
P97737 F1SEL5
P23738 F1SQH5
Q9CYD3 F1S106
Q99JZ4 Q52NJ3
Q7TSN6 A0A286ZUI2
P47738 I3LDL8
Q60634 F1RNA6
G3X9Z0 A0A287BRV4
O70494 A0A287AFJ7
Q62227 F1SEI1
P63157 A0A286ZW96
A2AJW5 F1RSS9
Q91YL2 A0A287B425
Q01853 A0A286ZUM8
Q91X88 F1S3V2
Q80X71 A0A287B4J0
Q99KG3 F1S5C5
Q3TLH4 A0A287ATW2
A2A513 I3LDS3
Q9DC51 Q06AS8
Q7TSN6 I3LTJ3
Q8BHI7 I3LR71
Q8C7M3 I3LLR6
O08967 A0A286ZZ53
Q61602 F1SSE1
F6VPT9 A0A287BPI7
P61027 F2Z5F2
Q64314 A0A287A3D8
O08919 F1S7P5
Q9QYI3 F1S0P4
P97504 F1RMN5
P54823 F1SAJ5
P56479 F1RM11
Q9R0N8 A0A287A9R7
Q811M1 I3LUA7
P31230 F1SJV7
Q9ERK0 A0A287AEZ1
Q9JKL4 F1SKI6
Q80ZW2 F1SDV1
Q80ZW2 A0A287BST7
Q8BH57 F1RJL2
F8VQI6 A0A287BRJ4
E9Q3C1 I3L9E6
Q9DC29 I3LKM6
Q65CL1 A0A287AZQ1
Q7TSQ8 F1RUP2
P59326 A0A286ZI96
D3YXJ5 F1RRR7
P26361 A0A286ZZ96
Q9Z0R4 A0A287A536
O08811 A0A286ZVC7
Q9JMG9 F1SH27
A2A7B5 A0A287B8H9
Q64205 F1RSH8
O08919 F1SNZ3
Q8R317 A0A287B231
P11276 F1SS24
Q9CXL1 I3LRC6
P26687 A0A287AFJ7
G3X9F2 F1S0T9
Q9CY50 A0A287BDL6
P51576 I3LRD1
Q8R422 A0A287BK63
Q8VDS4 A0A287BF49
Q69ZZ6 Q6KBX4
Q8CAB8 F1RFD7
A0A0J9YUA8 F1SUR6
Q4QQM5 F1RG41
Q60715 Q6QAT1
Q9WUL6 F1RR25
Q78IK4 F1SR85
Q3UYH7 F1SCR9
P19091 A0A287BJP3
Q9Z238 F1SA99
Q9JLR1 F2Z5D0
Q8BZH4 A0A287B6U5
P10852 F1SSC2
F6V5B0 A0A287BHL2
J3KMG9 A0A287B916
Q8VE19 D3K5M2
Q60634 F1RMN5
Q8VHP6 F1SEP9
Q69ZX8 F1SN51
Q78IK4 I3LKM6
Q8JZM6 A0A287BM92
Q9D300 F1S5Q2
Q99MV1 K7GNC6
Q8R1N4 F1SSH4
Q64151 F1S5N6
Q3THW5 Q06AT9
Q9CQ33 A0A287BFU1
O35465 A0A287BBJ7
Q99P72 A0A287B5Q4
F6U5V1 A0A287A176
Q8BQY8 A0A286ZUG7
Q8CJ70 F1SEZ1
D6RIL3 F1SIS1
Q8BP92 I3LMX3
E9Q5L4 A0A287ALS3
Q9WUL8 K7GT58
Q64151 I3LB10
P08103 Q684M4
Q61187 F1S073
Q9D2N8 A0A287ASH2
Q8VI78 A0A287BC40
P05480 K7GM45
P47857 F1SMW9
Q62311 A0A287AKE2
Q80WJ6 A0A286ZKI5
Q9EST5 A0A286ZS52
Q7TSQ8 A0A286ZWR0
D3YZR2 A0A287A4Z0
Q76MZ3 P54612
A2AJW5 F1RJ11
P51576 F1SML3
Q69ZS7 F1RVY7
Q4KWH5 A0A287BL45
Q9QZS3 A0A287AZZ6
Q3TLH4 A0A287B621
Q8BZ89 A0A286ZRE9
Q811Q9 A0A286ZUN2
Q9CXL1 A0A287ASV0
Q64151 F1S106
E9QP49 A0A286ZUR0
Q8BSM7 A0A287BDM0
O08788 A0A287BLE1
P11438 F1RN44
D3Z4M6 F1S9H0
P62715 F1RX68
Q99LH1 A0A287AKR9
P84089 A0A287ATD3
Q9CQA9 F1S5C5
Q8R3P6 F1SJK5
Q499D0 A0A286ZLJ9
Q7TPH6 F1RGA9
Q99JT2 A0A287B854
Q3UQ17 A0A286ZSC4
P97376 F1RXU4
Q8BGF6 F1RRE7
P47738 F1RVY7
O88888 F1S7P5
Q9CXV9 F1S484
P61080 A7TX82
P62192 A0A287A2U9
Q62227 F1SH27
E9Q6Y8 I3LPJ3
P42128 F1RI50
P63163 F1SCF5
A0A1B0GT63 F1SEP9
Q64127 F1SUE3
A0A0R4J0M9 F1SV35
P62259 A0A287A2R9
Q8K2F0 F1S033
P59054 F1SJR3
Q8C708 I3LDJ2
Q5U4C1 F1RYE9
Q80WJ1 F1RKI8
Q69ZZ6 A0A286ZRE9
A0A140LHD2 F1RI33
E9QNX9 F1SU46
Q5SRY7 A0A287BCR0
P27782 F1S4Y2
Q8C152 A0A287A4N6
Q62312 K7GL93
A2APF3 F1RXE4
Q9Z2C5 A0A287BD71
P97477 F1SE06
A0A0R4J0C0 A0A286ZSG5
Q8C033 I3LKY7
Q8BP78 F1RFZ6
Q9WVS8 I3LBT8
P37242 A0A287AFJ7
Q9ERI5 A0A287B877
P48301 A0A287B2H8
B1AR17 F1RQY4
Q3U821 A0A287B0B0
Q91YT7 I3L7B7
D3YYU8 A0A287B8F0
P19785 Q29040
Q8C8U0 A0A287ATW2
Q8VCM3 A0A286ZJ13
Q9WVS8 A0A286ZKK7
A2AWA9 A0A287AM68
A2AQ07 F1S4P0
Q8K0Y7 A0A287BC40
A0A286YD96 A0A287AV73
O70333 A0A287AB06
O35253 I3LRW1
B2RY56 F1RJ01
G3X959 K7GQA4
H3BJM0 F1S4G0
Q8R373 A0A287BRX1
Q61043 Q007T2
Q9CQE7 A0A287A0W6
P63157 F1RY10
E9Q411 F1SCR9
Q8BH57 F2Z5V5
A2APF3 F1S9R4
Q7TMK9 F1SML4
P32883 I3LCX3
Q9EQT3 I3L6G1
Q8BTZ5 F2Z556
F6TVP2 Q19QT0
Q8BP78 I3L6Q2
Q64701 F1SUE3
A2AWA9 A0A287B621
Q9CR63 I3LK04
Q9DBP0 F1S5A6
F8WJE0 Q19QT0
Q9R123 F1RRU8
Q69ZX8 F1SGZ6
Q811W2 F1SLE8
E9QNX9 I3LPU5
Q61069 A0A287AJ18
A3KGS3 A0A287A4Z0
Q3U309 A0A287ADJ0
E9PUJ6 A0A287B464
Q99JY4 A0A287B8F9
O88199 F1S1Z5
Q9CW03 F2Z5G2
P25801 F1SGS5
Q921W4 A5JUQ8
Q9DC28 M3VH47
Q921S7 F1RGS3
P61804 I3LPI5
Q9CQA1 A0A287A377
E9PVA8 A0A287BNK4
E9QMA6 K7GN38
P68254 F1RP05
J3KMG9 A0A287BBL7
Q8VC60 F1SR82
Q9WVJ9 F1RU22
P63157 F1SSH9
Q5Y5T3 F1SP96
E9Q2I3 F1SUK6
Q9QZ26 A0A287B4W1
Q99J56 A0A286ZNK2
Q6NVF9 F1SH64
Q9R1M5 F1SIX8
O88992 A0A287B5M8
Q9ERD8 F1SJU3
Q80XU3 I3L9K5
Q8BJ51 A0A287AFE5
Q80ZJ1 F1SSV2
E9QM16 F1SIS1
Q07832 I3LII4
Q8CEC0 A5GFR3
Q9D7F2 F1S0F8
E9QP49 F1RRI6
Q64701 A0A286ZJW1
Q61526 I3L6Z7
Q9QYC7 I3LBY1
Q920H1 I3L9L7
Q8BZH4 A0A287AYD9
Q8BHB7 A0A287AAE5
G3X9K4 A0A287A9H2
Q9DBP0 A0A287BM19
Q9D0U1 I3LUC3
Q64151 I3LBY1
Q9D1C3 A0A287BEL1
Q9CQ06 A0A287AZJ9
Q8VCD6 F1RH71
Q5SF07 F1RY92
Q8BQY8 A0A287ALL3
O88602 A0A287B294
Q8CI52 F1SP95
Q80W22 I3L5P4
Q8BP71 F1RY92
Q8C142 F1STU0
B1ASA5 A0A287BA07
A2RSQ0 A0A287BNA8
P62307 Q6QAT1
Q8VHZ7 A7UNK0
Q8C025 A0A287B7T8
Q9JMG9 I3LQ78
Q32NY6 I3LR13
P28033 A0A287BDL6
Q8CFC7 A0A287B6U5
E0CZD6 A0A286ZTE3
O55047 F1S7K1
Q8BZR9 A0A286ZWR0
Q8CFT3 A0A286ZKK7
Q9CQ06 I3LFS1
Q9CYH5 I3LDU2
Q9JKV9 F1SEZ2
Q91VD1 B7U2G9
D3YZR2 A0A287BAL0
Q3TT38 F2Z503
Q9D6V8 A0A287ACB5
Q0VDY1 A0A287BBF5
Q9D8U6 A0A287A7I4
O70494 I3LVJ1
Q8CJ61 A0A288CFU2
Q03265 P80021
Q8CIH5 F1S475
P27641 A0A286ZIV3
D3Z230 F1STD8
Q99N15 K7GP28
O88888 A0A287BKF0
F8VPR5 F1RK46
Q60665 A0A287BSV9
A2ANX3 F1SQH3
Q80YE4 F1SN65
P38647 F1SHL9
Q8VBX6 F1SIC1
S4R2G5 F1RM74
Q91WU5 F1S850
Q8VIG1 K7GNC6
Q9EQC5 A0A286ZZ23
Q3U309 F1SS53
P32442 F1S1H4
F7BWJ7 F1SS53
Q9JKL4 Q8WNW2
F7BWJ7 A0A287ADJ0
Q9JMG9 A0A287B916
Q03160 F1RX94
Q62447 A0A287A3Y0
P17095 A0A287B8S8
A2A7S8 A0A287A991
Q8BHE3 F1S570
Q64729 Q19ML6
Q9CQG3 A0A287AHF0
E9PWB8 F1SAG1
Q8JZL7 A0A287ANN0
Q9CQ06 A0A287BI89
Q3TQ39 B5KFD7
Q9QZ28 K7GMR6
Q9D159 I3LTQ7
Q9JKN5 A0A286ZZ17
Q9CR30 F1RH21
Q3UA37 A0A287AST0
Q8BZ33 A5GFN3
P70227 A0A287B5B5
Q8CAF4 A0A287BIC6
Q9DBY5 A0A286ZRM0
B2RQE8 F1STH9
P59054 I3LVB3
Q9R1M5 F1SRN9
E9Q7L6 F1RP24
P97358 F1SA99
Q9CYY7 F1S0N7
P11247 K7GRV6
Q3UQ44 F1S2H7
Q9R1B9 F1SI67
Q9QYK5 I3LAM6
A0A140LI28 I3LL69
O89112 F1SSC2
Q64127 A0A286ZJW1
Q9Z2C5 F1SAZ7
Q3UIL6 A0A287ACE1
Q6PAM1 A0A287BRJ4
Q8JZL0 A0A286ZP97
Q9WVS8 F1RHJ1
Q61550 F1S1K0
Q60996 F1S9Y5
P63163 F1RHJ1
Q64010 A0A286ZTD8
Q64323 F1SQU5
Q9JI39 I3LNZ6
Q9D6K5 K7GR08
Q8CHP8 A0A287BHL2
A0A1B0GQY9 A0A287ADJ0
Q9CR78 A0A287AAX2
Q91W52 A0A287A9F5
Q8K368 I3LDL8
Q99JB0 I3LBA7
Q1RNF8 A0A287BFM2
A0A0R4J066 F1S0N7
P46467 A0A286ZI96
D3YXR2 A0A287AC39
Q8C263 I3LKT7
E9Q555 F1SCJ1
Q9CQ40 A0A287B559
P06804 P23563
Q91YK2 I3L5I1
Q9Z0V8 A0A287BJ79
Q5M9N4 F1SGV8
Q5SV02 A0A286ZXK3
O55047 I3L5F7
O55222 I3L9C8
E9PYF7 I3LVB3
Q8VE92 Q06AT9
A0A0R4J100 M9NIX2
Q99MU1 F1SPF4
P63163 A0A286ZKK7
Q9JJN1 A0A286ZYQ9
Q9CR13 A0A286ZX89
Q9EQU3 A0A287A8Q7
Q6W5C0 P22952
Q3TMP1 A0A287BGY4
Q8BW72 I3LVJ1
Q9QYC7 A0A287AMJ5
Q7TT37 A0A286ZYM6
P28867 A0A287BBY6
B2RTJ2 M3VK38
D3YXR2 F1S215
Q9JMG9 F1SEI1
Q62311 F1SCF5
Q91WI7 F1SK87
O70273 A0A287AE27
Q9DAT2 A0A287AUF7
Q99ME6 Q9BDK6
Q673H1 F1SP79
Q9ESF1 A0A287BS85
P60824 F2Z5F2
F8VPK0 A0A287A6G5
D3YX87 F1RX98
Q6PD10 I3LLX4
D3Z1Q2 A0A287A4A0
P70372 D3K5N7
A0A0R4J0I7 F1S360
Q9R0S3 M3VK17
A0A0R4J0I7 F1S4A6
P63163 F1RVT6
J3KMG9 F1SEI1
Q8K298 F1S203
Q8CFC7 I3LP32
E9Q2I3 F1SIX8
Q8C7B8 F1SD76
Q9JMH6 F1SG38
G3X9K4 A0A286ZWP6
Q562E2 F1RFX6
E9QKA4 A0A287BDL6
A2AGH6 A0A287A9H2
P35375 F1RFX5
Q9D906 A0A287BI89
G3X8R0 F1RLG5
Q9JMG9 A0A287BBL7
Q80UW0 F1RP49
P37242 I3LVJ1
O35465 A0A287BLV8
P31313 I3LNU5
Q99LG2 F1SEX5
Q9Z324 A0A287A3K3
Q9D384 F1SJU3
Q9CYD3 I3LBY1
P11680 F1RWV1
P09535 P23695
Q9ER75 F1RF02
Q9JKN5 F1RLA7
Q9EQ61 F1RPE5
Q8K368 F1RVY7
Q9QZ28 D7R811
Q921S7 A5GFR3
Q8C142 F2Z566
O55047 I3LCN0
Q61982 I3LB93
Q8BJ64 I3LUD1
Q8VHZ7 A0A287B6U5
F6VZ99 A0A286ZSG5
Q8BJD1 A0A287B6R5
Q924N4 A0A287AST0
Q8VDF2 F1S8V5
Q9D2K4 F1SP29
O55047 F1SG38
Q3TTL0 A0A286ZQ22
O88992 F1RT51
P26687 A0A287BSV9
P63163 I3LBT8
Q921I0 F1RXU4
P26687 F1STR7
Q99J79 F1SIC1
O55013 A0A287AWQ9
Q8VDF2 A0A287ATW2
E9Q2I3 I3LG10
A2AKB9 F1ST66
Q91V57 I3LLX4
Q3UQV5 F1SFR7
P33174 F1RTL0
Q9CYX7 F1RVY7
O35740 A0A286ZLA1
P52795 K7GNC8
Q9JLN9 A5A8V7
Q8K1A5 B6V6V4
Q00560 K7GRW1
P47873 A0A287A144
P60670 A0A287AX02
Q9JKL4 F1SAH1
Q8BFZ9 A0A286ZS52
Q8BQR7 F1SPW6
Q64127 F1SNJ6
B2RUJ5 A0A287ACZ6
Q8CFC7 A0A287AYD9
F8WJF7 F1RFA9
O09118 A0A287A555
Q3UES3 A0A287BK63
P18293 F1SFW3
E9PYR6 A0A287BS85
Q8K2F8 R4JU57
Q9WTQ5 F1SKG2
Q8CJG0 A0A287B5S7
Q5HZH2 F1RFZ6
P58334 K7GT58
Q9ERI5 A0A287AFJ7
Q9CQT2 F1SJV7
Q8C8U0 F1SG38
Q0VDY1 K7GRK2
Q62227 F1S4Y2
Q5IRJ6 A0A287AV73
Q8CEC4 A0A287B7K4
A0A140LJC7 A0A287B879
A2AQ52 A0A287BS85
O35492 F1RLB6
Q9ES00 F1RIG2
Q03173 A0A287ASJ4
Q99LI9 A0A286ZKE4
D3YU50 F1S047
Q8BZ00 F1SKE4
E9QNN1 K7GND3
A0A1L1SSL9 F1RMJ3
P09084 F1SAU2
Q9CQA1 A5GFN3
Q9Z2U0 Q8HZV3
Q3UHC7 A0A286ZI96
O88854 A0A286ZUI2
Q64127 F1S364
Q61187 F1CK17
Q5SUH6 A0A286ZS52
P70275 F1SBX2
Q9QXJ1 F1SQT2
Q8BMA6 F1RYA4
Q8BKN5 A0A287B1K1
J3KMG9 I3LQ78
Q8CE94 F1RFS1
O35385 F1RYU8
Q64326 A5GFS7
F8VQM2 A0A287BN00
Q924Z4 F1SS96
Q8BKX6 A0A287BD11
Q8VIG3 A0A287BHE0
P43407 F1S0L5
Q5SF07 I3LQF8
Q8BQM4 A0A287AGT7
O08582 F1RUP2
Q8VDF2 I3LCN0
Q8R5L1 F1SSL6
Q99MB1 A0ENH4
Q9D828 F1SS06
Q8BP71 I3LQF8
Q62311 I3LBT8
B1AZ99 I3LMD0
Q9WUP0 Q867B9
Q9CQ06 F1SCF5
Q9CZE3 K9IWB2
P35550 F2Z562
Q5D078 A0A287AC39
H3BLQ9 F1RIV2
Q9D906 F1SCF5
Q3V1L4 A0A286ZVC7
O08912 F1SAI6
Q920L5 A0A287AXV6
Q9JI48 F1RLE6
Q7TSG1 F1RKN9
A2A4P0 F1RUP2
Q3U487 A0A287BBQ5
Q8CFT3 I3LBT8
E9Q6A7 A0A287ADN5
Q922L6 A5GFY4
P32883 A0A287B854
Q99J79 F1SMP5
Q9ERD7 F1RP05
Q7TNM2 K7GRD8
Q8K558 F1RVL7
Q9D9T0 F1SEQ9
Q9Z248 F1S663
F6RGI3 A0A287BMW8
Q8C761 A0A287AJ93
Q61818 A0A287A950
O88602 A0A287B2S7
E9QKA4 A0A287AV47
Q5F2E8 F1RN84
D3Z6Q9 A0A286ZYD0
A2ATK9 F1RW85
Q9CPN9 A0A287A4Z0
Q80ZE4 Q865K8
Q6PAM1 A0A287BAM9
Q9CQA1 A0A287B425
Q65Z95 A0A286ZWH8
Q6NS82 A0A286ZX89
Q9JKN5 F1SGZ6
Q8CE94 F1S4A8
P16627 A5A8V7
Q9CUN6 I3LTD6
P54728 A0A286ZMP7
Q3U1Z5 A5A8X6
P62509 A0A287BBC6
Q9QUJ7 A0A287BK93
O70201 F8SIP5
P37242 F1SEI1
Q6PI17 C0JPM4
Q8VEB1 F1S417
Q8CHP8 I3LF48
Q9ERK0 F1SG49
Q76LS9 I3LRD1
Q9CQ06 A0A287AKE2
B2RWS6 I3L9U8
Q3UFS0 F1S6I1
A0A0A0MQ97 I3LR13
Q9CXT6 F1RFF8
Q9EQX0 G9M5N9
E9QKM8 E5Q8C6
Q9QYK7 F2Z5G4
Q3TLH4 I3L5F7
B5B2N2 F1SNP9
P52795 F1S5C5
P49769 F1S3K9
Q9QYC7 F1SP25
Q6A078 A0A287BMW8
Q8VED2 I3LDD9
P33896 A0A287B098
Q6GQT1 F1SLX2
Q4FZG9 F1SL75
Q9DCZ4 K7GPW3
Q8CFE2 A0A287BM02
Q9EQS9 A0A286ZP75
P48025 Q684M4
Q9JMG9 F1S064
Q8BQM8 A0A287B1K1
Q8BZ33 F1S9R4
P52955 K7GMR6
D3Z3U5 F1SU46
Q8CAF4 A0A287A991
Q80ZJ1 F1SS99
A0A0R4J0G9 A0A287AA35
Q6P3A8 A0A287AWK9
Q921D9 I3LE63
Q9DC11 A0A287BE48
Q3UYH7 A0A287B5J4
G3X9F2 D7R811
Q9WTX6 F1SAD7
P62983 A0A287APV1
O35740 A0A287A4Z1
Q6PDS3 I3LNN4
Q8K2V6 A0A287A273
Q9CZ52 A0A287A688
P10107 F1SCS1
P23804 A0A287BEY7
O54946 A0A287AKR9
Q9Z2X8 F1S525
Q8VEL0 A0A287AJW8
P05214 F1SQR4
P37242 A0A287B877
P70390 I3L828
E9Q9A6 I3LSK3
Q8BGG7 F1S9R5
Q61982 F1RX38
Q8VDF2 A0A287AM68
A2BFE8 A0A286ZYQ9
Q8BHI7 F1RJH1
E9Q555 F1RXE4
Q9WUL6 A0A0A0MY60
O88207 F1S021
O88888 A0A286ZJP2
Q9QY39 A0A287BBF5
Q6GQT0 A0A287AKG6
D3YXF5 F1SMJ1
Q99N11 A0A287B979
Q6P9S1 J9JIL2
O88888 A0A287BQ14
Q64343 I3LVB3
Q8VCM3 F1RVR2
O35427 A0A287APX0
A2APF3 A0A287A377
Q9JHG1 A0A287A3K3
B2RUJ5 F1SJD2
P60670 A0A286ZSD7
P49698 F2Z4Z6
Q3U821 F1RXV9
E9QM16 A0A287B1K1
Q9D1G2 Q29036
P47740 A0A287BLV8
Q01114 F1RGX9
D3Z3U5 A0A287BSE8
P52927 G3FNU6
Q3TMP1 A0A286ZV44
Q8VDP6 A0A287A1V9
Q9ES03 A0A286ZW96
Q6ZPL9 F1RFL5
P59240 I3LH61
Q8BHJ6 F1RF26
Q99L85 A0A287BA29
Q80ZJ1 A0A286ZUT3
Q6A078 A0A286ZYG8
Q9JJV5 A0A287AXU2
P63056 F1S570
Q8BWG9 D3U7X2
Q61089 F1S0R5
Q8C863 F1SLA7
O88597 F1S1F6
Q60665 F1S064
O08919 A0A287BQ14
O88838 F1SLT6
Q7TMK9 F1S0N2
Q3V1L4 F1SU46
O55013 A0A287AG28
P32507 B3TFD9
Q9QYC7 F1S106
Q9EPS3 A0A287AV73
Q8R570 A0A287BEW9
P63085 A0A286ZPF5
Q6KAQ7 Q28987
G3X9K4 A0A287AKR9
P0C7N9 A0A287AJ93
P63001 F1RPQ3
Q07409 A0A287AEX8
Q0P678 M3UZ00
Q5S006 F1SHN7
Q91ZD1 F1S0N7
Q9JMH6 I3L5F7
E9PWG6 A0A287BK49
Q61982 A0A287B5Q4
Q3TMP1 F1S5V0
A0A0R4J0I7 A0A286ZUN2
P20029 A0A287BIL8
P61082 A0A287BNE4
Q9WTV7 A0A287BMU4
Q6P5F9 A0A287BHC9
A2APF3 A5GFN3
P39429 F1RVZ4
Q3UHQ6 I3LT49
O08788 F1SNT8
E9QP49 A0A287AB40
E9Q7L6 I3LTD2
P55200 I3LRW1
Q62227 A0A287AFJ7
Q61043 Q9GLN5
P16546 F1SML4
Q8BG18 A0A287B321
P28033 I6L6T2
Q9CQ06 F1S001
Q8BH57 P79432
A0A0J9YUA8 K9IVJ6
Q6ZQ58 A0A287AJQ1
Q9JI39 I3L6C0
O54946 A0A286ZWP6
P63280 A0A287A5F6
Q8CFT3 A0A287AZJ9
Q8BJQ2 A0A287A8Q7
Q9DAY6 A0A287B0M0
G5E829 F1SSC2
Q9DC29 F1SR85
Q9ERI5 F1STR7
Q9D850 F1SJ31
Q80TN5 A0A287BPQ8
Q9CYD3 I3LB10
P16054 F1S5K7
Q99MW1 F1ST91
P62307 F1SQR4
Q9CQW1 Q29036
O70283 F1SBP6
Q32NY6 A0A287AV73
Q9CPW4 B5APV0
Q9ES03 F1SSH9
Q91WS4 E7D6R3
Q64151 A0A287AMJ5
A2A7B5 A0A287B916
O88700 F1SKG2
P97813 F1RFV6
Q9ERS5 F1S4K9
Q8BG54 F1SBJ7
P26883 A0A287AJL9
F8VPX2 F1SEX6
Q8R370 A0A287AGK8
Q9Z0L4 F1RV73
Q8C0M0 A0A287AVJ0
Q6TYB5 I3LA60
Q6PHQ9 A0A287AJQ1
Q78IK4 F1RTW1
P11031 I6L6T2
O35740 A0A287B2F2
Q9Z108 F2Z4Y1
Q9CQ39 F1SG80
Q01705 F1SEV8
G3UYF5 F1SGZ6
A0A1B0GQY9 F1S8N9
O88342 F1RUP2
Q3TJD7 A0A288CG37
E9Q6A7 A0A286ZV36
Q3V1L4 I3LPU5
G3X9F2 F1SIK8
Q9R1K5 F1RQY4
Q9QXJ1 A0A287BNZ9
Q61488 F1SJ10
Q9JI39 F1RG41
Q8CFT3 A0A287BI89
Q9DCX8 A0A287BQ51
P41969 A0A287BP73
O89013 A0A287B4I1
G3X9Z0 F1STH9
Q8VHN8 A0A287AXQ4
Q810K9 F1SFM8
P14142 I3LED1
Q8VDV8 F1STE3
Q62313 F1SVB3
P97504 F1SQT2
P16546 K9IVV5
Q9QZ28 F1SIK8
Q64739 K7GME7
O08919 O62807
E9Q616 A0A287ADE6
Q9WVS8 F1SCF5
Q62420 F1SNE5
P08103 F1S525
Q9CR60 F1SR02
Q64441 A5GFV8
Q08874 F1S224
P26687 F1SH27
A0A1B0GR74 F1RWA0
Q0GGX2 F1RLY4
O35864 F2Z540
Q62227 F1S064
Q9CXY6 K7GS49
A2AQ52 F1SN65
Q8C8U0 A0A287B621
Q8C156 F1SU46
P28481 A0A286ZWS8
P04202 F1RGG1
Q9ET30 A0A286ZZW4
P37242 F1STR7
P60710 Q6QAQ1
P62492 B7U6F4
G3X9F2 F1RY10
Q3TLH4 F1S8V5
P70340 A0A287A5F6
P60670 A0A286ZWG1
Q9D2V5 A0A287AKX1
Q8VIM0 F1RQD6
Q8C8U0 F1S7K1
O54946 F1RSV8
Q9D0F4 A0A287AQ50
Q52KB6 K9IVJ6
Q9QYC1 F1S493
Q8R310 A0A287BM19
P37242 F1S064
Q9D7X3 A0A287B854
Q9Z1W9 I3LIX4
Q9D1M4 A0A286ZWJ2
P28033 E5Q8C6
Q3TJD7 A0A287BEH6
A2A4P0 A5GFR3
Q9JLV1 F1S415
Q3UHQ6 F1SGX3
Q8VBW6 A0A286ZKK7
Q3UFB7 F1RHK6
Q9JLV5 A0A287A2J9
Q923D4 A0A287AQ50
P24452 A0A286ZYD0
Q8CAF4 A0A286ZVC0
Q6PAL0 F1RXV9
Q9D8T2 F1SEV7
Q3V2D2 A0A287A8G1
P47738 F1SPR8
Q60634 A0A287BNZ9
Q8BHT6 F1RJ11
P59326 A0A287BA12
A0A286YD96 I3LR13
Q9R1M5 A0A287BHL2
Q9CRA9 I3LNP7
Q8C156 A0A287B7I6
Q69ZR2 F1SHF6
Q3UCQ1 A0A287BIH8
A3KFM7 A0A287BST7
Q8C761 A0A287AV79
Q61043 A0A287ACX2
Q9DB05 F1SIE6
Q6PI17 A0A286ZUC3
O08811 A0A287BSE8
F8VQ87 A0A287BEQ8
B2RRL2 A0A286ZUL4
F6UC55 A0A287ALK7
Q64326 Q8HYN8
Q8C6C9 F1S2Y6
