Q9QZN4 F1RF93
Q8C156 F1SL15
P29452 A0A286ZZS2
E9Q0B8 A0A287AXP1
Q61112 A0A287ACL1
Q8CAF4 A0A287AB40
B1AZ99 A0A287BHA0
Q9CQ06 A0A287AKE2
Q61187 F1SU46
P16546 K9IVV5
Q91VJ5 F2Z4Y3
Q9DA15 A0A286ZMR3
O35864 F2Z540
A0A1L1SSL9 A0A286ZZS2
P62983 A0A287AZA7
A2AMI2 A0A287AF76
Q9DAT2 A0A287AUF7
Q8CI32 A0A287BRD8
Q3TLH4 A0A287AM68
B7ZDF5 A0A287BHQ4
Q8BQM8 F1SDY7
Q5SF07 F1RY92
Q8BW72 A0A287BBL7
Q64701 A0A287BBQ5
Q9WTQ5 A0A286ZZS2
Q8BW72 F1STR7
Q9Z2X8 F1S525
Q62311 A0A287AZJ9
Q9WTV7 A0A287BMU4
Q91ZD1 F1S0N7
P62340 I3LRL0
Q9ERI5 A0A287AFJ7
E9QP49 A0A287A991
Q9QUJ7 A0A287BK93
Q61043 Q9GLN5
O88700 F1RMJ3
Q9R123 F1RRU8
H3BLQ9 F1RIV2
Q6P5D4 F1SIC1
E9QK16 A0A287B856
P10417 F1S0Q0
O54946 A0A286ZWP6
Q9Z248 F1S663
Q8C8U0 R4JU57
P68510 F2Z4Y1
B1AWD9 F1SMW9
O70494 F1SH27
G5E829 F1SSC2
Q8CHP8 A0A287BHL2
Q9JMG9 F1SH27
Q9CQ06 F1S001
Q61982 I3LB93
O08688 F1SIX8
Q9QYC7 F1S5N6
Q8K2J7 F1RRI6
Q8BGE6 I3LUD1
Q8C156 F1SU46
P37242 F1SEI1
F8VQB2 A0A287BSW5
Q810K9 A0A287AQ63
Q9CXY6 K7GS49
P59054 F1SJR3
Q8C156 A0A287B7I6
Q4VA93 F1RV14
Q61818 A0A287A950
Q8VE98 M3VK17
P41969 A0A287BP73
A2AEG2 P79432
P54728 F1SP32
Q8CFT3 F1SCF5
P37242 F1SF37
Q9CR23 I3LQB2
F6U5V1 Q06AT9
Q3V1L4 A0A286ZVC7
Q9D2R6 F1S1F3
Q7TSG1 F1RKN9
P27641 A0A286ZIV3
Q60715 A1X898
F6UC55 A0A287ALK7
Q9QYC7 F1SP25
Q60665 F1S064
P97504 F1SQT2
Q8VCG1 A0A286ZYB5
Q8C2K1 A0A286ZYD0
A3KFM7 A0A287BST7
Q9CQD1 Q06AU6
Q64127 F1S364
Q9Z238 F1RY56
P27782 F1SF37
Q9CQE6 A0A287B916
D3Z3U5 F1SL15
Q9D0F1 F1SBC5
F8WJE0 F1RM08
P37242 F1S064
Q8K2F0 F1S033
Q8K284 A0A286ZS52
Q8R5L1 F1SSL6
P70372 D3K5N7
Q91XU3 F1SKH6
Q811W2 F1SLE8
Q9D6V8 A0A287ACB5
Q8BP71 F2Z4Y0
Q9Z108 F2Z4Y1
P26687 F1S064
Q8JZS7 F1RZW6
Q91YD9 A0A286ZNG8
O88199 I3L828
Q3U2G2 F1SE73
P39428 F1SME2
P63163 A0A286ZKK7
Q6ZQ88 A0A287A9K0
P04184 F1S774
Q8BP00 F1SQ17
Q3UYH7 F1SCR9
P32883 B7U6F4
P07356 F1CK17
Q03173 A0A287ATW2
O70494 I3LVJ1
P07356 F1S073
G3UVW3 F1SLE8
Q8K284 I3L5I1
Q8BJQ4 A0A287BMU9
Q02257 P79432
Q921J4 A0A286ZMX2
A3KFM7 F1SDV1
P62984 F1RMJ3
Q8VDF2 F1S7K1
Q64343 F1SJR3
Q03173 A0A287B621
P63163 F1S034
P13405 A0A287A9K0
F6V5B0 A0A287BHL2
A2AWA9 A0A287AM68
O55013 A0A287AWQ9
P10300 F1SVD7
Q99JT2 A0A286ZNG8
Q9Z265 F1S6G9
O35492 F1SIE6
Q9DCX8 I3LBA2
Q673H1 F1SP79
Q60665 F1STR7
Q9DB75 A0A287B2G8
P97504 A0A287BNZ9
Q99M51 I3LP69
Q9R1M5 A0A287BHL2
Q922L6 I3LPN4
Q9ET30 A0A287AT90
Q62074 A0A287B1A2
Q80UW0 F1RP49
Q9Z2U0 Q8HZV3
P26687 F1SEI1
P0CG50 P67776
Q8C845 F1SUW3
Q9JHG0 A8S2C3
P06240 A0A287AH06
P70445 A0A287A4Z1
Q8VE73 F1RRN3
Q9D880 I3LC09
Q4QQM5 F1RG41
Q9JMH6 A0A287AM68
Q8K441 F1RV26
Q9JKN5 F1RLA7
P61082 A0A287BNE4
B2RUJ5 A0A287ACZ6
O09030 A0A286ZRB8
Q8BWY4 F1SIX8
Q60795 A0A287A536
P60824 F2Z5F2
Q9JMH6 F1S7K1
Q8CEC4 P79288
O70494 F1S4Y2
P97473 A0A0R4J8D6
Q64347 F1SIX8
A2ATK9 F1RW85
O54946 A0A287AKR9
Q9WVS8 I3LFS1
Q9Z238 F1SA99
G3X9K4 A0A286ZWP6
Q9ERI5 I3LVJ1
Q6W5C0 P22952
Q9JJN1 A0A286ZYQ9
F6V5B0 I3LG10
Q8VBW6 A0A287AKE2
P97929 P61291
P08103 F1S525
A0A0R4IZW5 A0A287BPL8
P26883 F2Z5J5
O70166 A0A287AZJ5
P41969 F1RKS0
Q9WVS8 F1S001
Q5SV02 A0A286ZXK3
Q501J2 F1RG48
Q8R570 A0A287BEW9
Q8BHZ5 F1SNI2
Q91VD1 F1RZW6
P26687 F1SF37
F8VQ87 A0A287BEQ8
Q62415 F1SAQ6
B1AZ99 I3LMD0
Q5SUH6 I3L5I1
Q5SF07 I3LQF8
Q3UHQ6 I3LT49
P31313 I3LNU5
G3X924 A0A287AU22
Q62227 F1SEI1
Q9ERS5 A0A286ZUR0
A0A286YCI8 F1RX38
Q3UFY8 A0A287B7I6
Q8BSM7 A0A287BDM0
F6V5B0 F1SUK6
Q9CQ40 A0A287B559
Q64127 F1SUE3
Q9CQV8 F1RG16
P27782 A0A287BSV9
Q64151 I3LB10
E9QP49 A0A287BIC6
P16546 A0A287A531
P27782 F1STR7
Q9CZ52 A0A287A688
Q9CPN8 A0A287AJQ1
P60670 A0A286ZWG1
Q6PDS3 I3LNN4
Q61575 F1RM41
G3UVW3 A0A287ASC7
Q9JMH6 I3LCN0
O35226 A0A288CG47
Q8BZ36 I3LPN4
Q922Q2 B7U6F4
Q8BGB2 A0A287AB40
Q9ERG0 A0A287A2U9
Q9CQ06 F1RHJ1
Q8VDF2 R4JU57
P07356 A0A286ZVC7
Q8BW72 F1SH27
F6U5V1 K7GNR7
D3Z230 F1STD8
Q9CQ06 A0A287AZJ9
Q99JT2 B7U6F4
P05214 Q6QAT1
Q9D7X3 F1SUT8
P16546 I3LG73
Q9ERD7 F1RP05
P61514 A0A287AME4
Q8BWY4 A0A287BHL2
Q61526 I3L6Z7
B5B2N2 F1SNP9
Q8R2Q8 A0A287A9J8
Q8BW72 F1SF37
P16546 F1S0N2
P05214 A0A288CFV7
A0A1L1SSL9 F1SKG2
Q80ZW2 F1RPK6
P32883 A0A286ZNG8
Q9CR78 A0A287AAX2
Q9DCX8 A0A287BQ51
A2CGA5 O62640
Q8K2J7 A0A286ZUR0
Q62311 F1RHJ1
Q61184 A0A287B9N3
Q61982 F1RX38
P61290 F1RQY4
P08103 Q684M4
Q3TLH4 A0A287B621
Q8CCS6 I3L5I1
P62307 F1SQR4
B2RUJ5 F2Z5C6
Q9QZS3 A0A287AZZ6
Q499D0 A0A286ZLJ9
Q9JMG9 F1SEI1
Q923E4 A7LKB1
Q8BQM4 A0A287B9Q1
Q3TDN2 A0A286ZMY6
Q9Z1Z2 Q8HZV3
Q8K2F8 I3LCN0
P62259 A0A287A2R9
Q6NZB1 A0A287AW37
Q8CB14 F1S1Z5
Q9R1M5 F1SUK6
D3Z3U5 A0A286ZLT0
E9QNX9 F1SU46
O35740 A0A287B2F2
E9QNX9 A0A286ZJV6
P14152 I3LK68
Q3V1L4 A0A286ZLT0
P05480 K7GM45
Q99LH1 F1RU38
Q8BHT6 F1RJ11
Q8K297 A0A287AXP9
Q60953 Q8HZV3
G3X959 A0A287BP73
E9PVA8 F1SID1
Q8CAF4 F1RRI6
O08811 F1SE73
Q9JI39 I3LNZ6
J3KMG9 A0A287B916
Q62227 F1SH27
D3YYU8 A0A287B8F0
Q80UN1 F1RJU1
Q8VHG2 A0A287A536
Q60953 I3LK68
Q8VIM0 F1RQD6
P62715 F1RX68
Q9QXJ1 F1RMN5
P08103 A0A286ZZ61
Q8BUL6 A0A287AAX2
Q1HL35 A0A286ZLA1
Q62245 A5GHK9
F6R4N2 F1STD8
O55047 R4JU57
Q9CQ06 I3LFS1
Q9JMG9 F1S064
Q91WR3 I3LPN4
Q9D906 F1RHJ1
Q8BZ36 A5GFY4
Q61187 F1S073
Q9CQ06 F1RVT6
Q9CQR6 A0PFK5
Q61526 I3LP69
Q9D906 I3LBT8
Q64701 F1SUE3
O70494 F1SF37
P25118 A0A286ZVH7
P10107 A0A287A608
Q64347 I3LG10
G3X959 F1RKS0
Q6IRU2 P67937
Q99J79 F1SIC1
Q8R1N4 I3LG77
O54786 F1RHS7
P63163 F1SCF5
Q3UCQ1 F1S1F6
Q8VCH6 I3LM80
Q9ERK0 F1SG49
Q9D906 I3LFS1
Q62158 I3LJB7
O55013 E5F1H9
Q8VEE4 F1RP05
Q61545 F1RHU6
A2AWA9 A0A287ATW2
Q9QXV3 A0A287BKR1
Q03173 A0A287ASJ4
Q9CQW2 F1SFL1
A2AWA9 F1SG38
P60670 A0A287AX02
P62492 B7U6F4
E9Q4P1 I3LBP0
E5FYH1 F1SGX3
Q9JMG9 A0A287B877
Q7TMK9 I3LG73
P97377 A0A287AXP1
E9Q6Y8 A0A287A450
Q91WU5 F1S850
Q69ZZ6 A0A286ZRE9
Q9QXJ1 A0A287BNZ9
Q76MZ3 P54612
O08811 A0A287B7I6
Q8C156 A0A286ZLT0
Q5SUH6 A0A286ZS52
Q8VDD5 A0A287AXP1
Q99M51 I3L6Z7
A2A7S8 A0A287BIC6
Q8CHP8 F1SAZ7
Q64127 A0A287BBQ5
Q9WVS8 F1RHJ1
Q8BVR6 F1RF31
P63163 A0A287AKE2
Q8VBW6 F1SCF5
Q9CQ40 A0A0R4J8D6
J3KMG9 A0A287B8H9
Q8JZS7 B7U2G9
Q3UFY8 I3LPU5
Q91VD1 B7U2G9
Q9WVS8 A0A287AZJ9
Q9QYC7 I3LBY1
E9PVA8 A0A287BNK4
Q60953 F1SE73
P43407 F1S0L5
P37242 F1STR7
P11087 A0A287A1S6
A0A1B0GSR7 I3LDS3
P48025 F1S525
F6TVP2 F1RGG1
P37242 A0A287BSV9
Q06890 Q29549
E9PYF7 F1S1Z5
P15208 F1SCL0
Q64347 A0A287BHL2
Q91W10 F1S103
Q3TLH4 I3LCN0
Q8CAF4 A0A287A991
Q8VED2 I3LDD9
Q5SF07 F2Z4Y0
P49615 P62272
Q3UJB0 A0A287AKR9
Q8R3P6 F1SJK5
Q99JT2 F1SUT8
Q8BGE6 F1SH89
Q99ME2 A0A287AFX1
Q62311 I3LBT8
Q6Y7W8 F1RT53
P97402 A0A287A5Z0
Q8VDF2 A0A287ATW2
P07356 A0A286ZJV6
Q9WTQ5 F1SKG2
Q3UL97 A0A287ARW8
Q5HZH2 I3L6Q2
Q60665 A0A287B877
Q3TE40 F1STM9
E9QP49 A0A287AB40
Q62311 F1S001
Q9JMG9 A0A287B8H9
P61290 A0A287B8J8
E0CZD6 A0A286ZTE3
Q58Y75 I3LMD0
Q9QXJ1 F1SQT2
A2AWA9 F1S7K1
Q60996 F1S9Y5
Q64347 I3LF48
Q9WUR9 A0A287B3M4
Q810K9 F1SFM8
Q9CQV8 A0A286ZYY2
Q99LH1 A0A287AKR9
Q07832 I3LII4
Q9QYI3 F1S0P4
Q3U487 F1SUE3
Q8BH80 A5GFS8
Q8CFT3 A0A287AZJ9
G3UYF5 F1SGZ6
F6V5B0 F1SIX8
Q8VIG0 A0A287B7K4
