A0A287B007 G1SQ43
I3LPN4 G1T579
K7GS36 G1SM30
A0A286ZKN9 G1T440
A0A287AE27 G1SYY7
B0M1M6 G1SH01
A0A287BCF3 G1SJG5
F1S3G7 G1T8B1
B1PHQ8 G1T2X4
F1SIS1 G1THF6
Q6KBX4 G1SLW7
F1S6Z4 G1TK20
F1RRP2 G1SXQ6
A0A287ARC5 G1U204
A0A287AXV6 G1T4M9
A0A287A2Y6 G1TQ07
F1S041 G1T8L8
I3LM52 G1TAP3
A0A287AEI6 G1SWA1
A0A286ZJP2 G1SXX9
F1RP05 G1SMK8
F1RGX9 G1SXF3
F1RL45 G1TBD3
A0A0B5CYA5 G1SLT0
F1SUH8 G1SSE2
A0A286ZVH7 G1SYP2
A0A287BHL1 G1SPX0
A0A286ZQA1 G1SIC9
F1SB65 G1T6A2
F1S1U5 G1T8N1
I3LKT7 G1SKY3
F1SLT6 G1U1B0
I3LU37 G1TS96
F1SBX2 G1SZG8
F1RVQ6 G1SRF0
A0A287B611 G1TED3
D0G777 G1SP27
F1S034 G1TEZ2
F1RSE6 G1SFY9
F1RSD0 G1T662
P10612 G1U3L3
A0A287ARD7 G1U730
M3TYJ4 G1SKW5
K7GR70 G1T143
K7GP28 G1T9W3
F1SUF1 G1SXH5
A0A287BDL6 G1T221
A0A286ZQS2 G1SYZ9
F1RL04 G1SZA8
Q95250 G1TT75
A0A287B5K5 G1SQG5
A0A287AXP9 G1TD98
A0A286ZIR6 G1T962
A0A287ABH5 G1T9U0
F1SDY3 G1TGM9
A0A287BEW6 G1TMG7
I3LPB3 G1TL87
A0A287BHL1 G1SPY3
A0A287AE86 G1T109
A0A287AJ61 G1SEN5
I3LFR2 G1T087
A0A287ARC5 G1SXK9
B6V6V4 G1SZG3
A0A287AAL7 G1SDJ7
I3LCK2 G1TLK7
F1SQ05 G1SQ59
Q19S50 G1T0H3
P67937 G1SP98
F1RX85 G1TS24
A0A287AXR0 G1U458
Q56VC2 G1T8W9
A0A287AS02 G1SRF6
A3EX84 P47845
B6E241 G1SR27
A0A287BE48 G1T7H6
B7U2G9 G1SZ06
F2Z5N6 G1SX32
K7GQY0 G1SSB0
F1SEZ1 G1T734
F1RJ83 G1T721
I3LC11 G1SV92
I3LTQ7 G1TTZ2
A0A287AWP7 U3KNV2
A0A287ANH9 G1U9B4
F1S1U5 G1SK48
I3LH61 G1SH29
A0A286ZRT7 G1TB31
A0A287BEW6 G1TCS7
F1RGL0 G1SGM6
A0A287BNK4 G1SH00
K7GNR7 G1T4L2
K7GL66 G1SGU6
A0A286ZWJ2 G1T3M5
B5KFA0 G1T8G7
K7GND3 G1TGK9
F1SEZ2 G1T727
F1RJG8 G1U4S3
A0A286ZL14 G1T9A1
F1SP29 G1TJB2
C0SW08 G1SIH0
F1RUM0 G1TCP6
A0A287A5F8 G1T937
F1S5N5 G1TGC0
F1SB91 G1TZV8
K9IVL0 G1SVF3
F1SUV0 U3KMN9
F1RP44 G1T6B3
F1STB2 G1SFS5
I3LQB7 G1SV05
F2Z5I0 G1TBZ1
F1SS65 G1TMG7
A0A287AH98 G1T0U6
F1SFQ4 G1T1X4
I3LUG5 G1SNH6
A0A287BBF5 G1T3P5
A0A287A1S6 G1T4A5
B5APU6 G1T7B5
F1SB29 G1SGV2
F1SMV6 G1TVT0
F1SV13 G1SNL0
I3LIL0 G1T856
A0A287A9F5 G1TZC7
A0A287BB27 G1SSF7
F1SUY6 G1T318
F1SEJ3 G1TP72
F1SIK8 G1ST07
A0A287BR87 G1SP35
I3LDH3 G1T0H3
F1SC64 G1STF2
A0A287AJL7 G1T6Z9
A0A287BQ36 U3KNP5
A0A287APX0 G1T870
I3L7Q7 G1SP98
A0A287B1W2 G1U631
A0A287BEU1 G1SWQ8
F1RLB1 G1TDE7
A0A286ZP75 G1SD14
A0A286ZKV2 G1SHZ3
A0A286ZID7 G1T6Y8
F1SG88 G1SQM7
F1RKX9 G1SE50
F1SIP3 G1TT07
F1SG07 G1U886
A0A287A4Z0 G1TET8
A0A287A2R9 G1TF91
A0A287A8A4 G1U944
F1S1D3 G1TL87
F1S6G9 G1U6D8
F1RLC1 G1U8L6
A0A287BRX1 G1TRM6
P23563 P04924
F1SAL5 G1T626
A0A287AZG6 G1SID3
A0A287A2D4 G1U2U5
A0A287BEY7 G1SMQ9
A0A286ZM08 G1U6Y3
B1A9K1 G1SZR1
A0A287AX48 P67828
A0A287BGT9 G1SYK9
F1RG04 G1TBM2
A0A287AL11 G1TX36
A0A287A536 G1TN13
Q2QLE3 G1SV99
F1SBP3 U3KNB2
