Q6DFW4 Q9ESX5
Q9CQ28 Q9CQ28
Q8K4Q7 Q9Z1T6
A0A286YD23 A0A0R4J021
G3X960 G3X960
Q8VCV3 Q8VCV3
Q5SQF8 Q9JJA7
Q64731 Q64731
Q9CR40 Q6A037
Q6PHZ5 Q8BHN1
Q922H9 Q80U38
Q9WU56 Q9D3S9
Q5SQM0 F8WGB2
P39876 P39876
Q7TPM6 Q7TPM6
Q5HZJ0 Q5HZJ0
Q8R373 Q9ES03
Q6PAR0 Q7TSQ8
Q9D8Y8 Q9D8Y8
Q03719 Q03719
Q9D084 Q99K74
Q9ESS2 Q9ESS2
P35419 A2AQ92
Q9CR73 Q99K74
Q64347 F6V5B0
Q9ER75 Q9ER75
O35618 O35618
Q8R464 Q921Z5
Q8VCM3 Q8VCM3
Q5SUR0 E9PZ26
Q9ERI5 Q9ERI5
P97718 Q9CR83
O35625 Q3UFM6
Q6ZPF4 Q4VA53
Q8VE91 Q8VE91
P52734 P52734
Q5SSG5 Q6P2L7
Q8BYR2 Q9DAA6
A0A140LJ72 Q9CZR4
Q99MJ9 Q9CYH6
A2A7B5 Q9ERI5
Q9CPQ2 Q9CPQ2
B1AZA5 B1AZA5
Q9QZQ1 Q9Z1T1
Q8C570 Q8C570
Q8R3C0 Q9CWT6
Q9Z265 Q9Z265
Q60771 Q60771
Q9JHI8 A0A0R4J0S2
Q60665 Q62227
Q8BUE4 Q8BRB1
Q9QYR6 Q8BPY9
Q99LE6 Q99LE6
Q6P4T2 Q6NS46
Q8BPQ2 Q99KR6
Q8BQM8 Q8BQM8
Q8C172 Q8C172
Q61502 Q8BTZ4
P63013 Q9DAS1
Q3U367 Q3U367
Q8BHS8 Q9DBL2
O88509 O88509
Q62120 Q8R0L1
Q62227 P37242
Q7TNS2 Q7TNS2
P30276 Q9ERV1
A2A7S8 E9QP49
D3YXR2 Q5D078
P09024 A0A0R4J0D7
Q9QY84 Q9QY84
P50518 P50518
Q6PAL1 Q6PAL1
A2A5N8 A2A5N8
Q9D6F9 Q9D6F9
O88622 O88622
Q99J21 P59644
Q07813 Q8CHP6
Q8BYN3 Q8BYN3
Q9CWR2 F8VQ40
Q9D0F4 P31230
Q9R1Y5 Q9R1Y5
Q99KR6 P27005
Q8VBU8 Q61026
A2RTG9 Q9D8U3
Q9WTM5 Q9WTM5
P54843 P54843
Q8CHY3 Q91VT1
Q6PHU5 Q6PHU5
P60824 P60824
Q3TVW5 Q3UMG6
Q7TPW1 Q7TPW1
Q9WV04 Q99J21
Q9JIK5 Q6P4T2
P70347 H3BLC8
Q60996 Q60996
Q149C2 Q149C2
Q9DCX1 Q9D1Q1
P10168 P10168
Q8R3L5 A0A140LJ72
Q8K3A2 Q8K3A2
P29391 P29391
Q9D4H2 E9PW83
Q9ERI5 P26687
Q9Z2Z6 Q9Z2Z6
Q99N15 Q99N15
P48967 P34884
D3Z5L6 D3Z5L6
Q8BRM2 Q8BRM2
O35385 Q8CHP8
A2APB8 A2APB8
Q8C4Q6 Q8C4Q6
O35231 O35231
Q8BG18 Q8BG18
Q9WUR2 Q9WUR2
Q61151 Q9WUR9
Q8BWQ4 Q8BWQ4
Q80Y50 Q9CXT7
Q99KR8 Q9CXV9
G3X9P9 G3UX69
O70469 Q62120
P04351 Q60611
Q8K352 Q8K352
Q9JIG8 O88398
P03903 P03903
Q9JI20 Q9JI20
Q8R0Y8 Q62189
P70343 P70343
Q8QZZ7 Q8QZZ7
Q9CQA5 Q9CQA5
O89026 O89026
Q9CPZ1 Q9CPZ1
Q3U821 Q3U821
Q99KF1 Q8BLG0
Q9JK37 Q9D8P7
O35284 O35284
Q91W50 Q91W50
Q6PHZ5 P59470
Q0VFX2 E9QK82
Q9DBP0 Q8R310
Q8BRB1 Q8BUE4
Q9D384 Q9ERD8
Q8CAF4 E9QP49
Q61275 Q61275
Q8BHA9 Q61826
P31938 P31938
Q9WTP9 Q9CQ52
Q60809 Q60809
Q8VHH8 O35468
P51945 Q5SSL4
Q9QZ28 G3X9F2
Q3V2D2 Q3V2D2
Q9QZ09 Q9QZ09
Q9WTZ0 Q9R0S0
Q60665 P27782
Q9CQ40 P97473
Q9R0Q6 Q3TXV4
Q3UV71 Q9ES03
A2AUC9 Q9D1N9
P14719 P70347
O09053 Q8BJL0
Q8BUE4 Q8BUE4
E9QMJ8 Q8BVY4
P70426 D3Z6P0
P47876 P48545
A0A0R4J215 Q8CFI5
Q9EQT3 Q9EQT3
Q9QVN7 Q99M03
Q99MI6 Q8BG54
D3Z230 D3Z230
Q8BYN3 Q61026
O08689 O08689
Q924C1 P46735
Q9Z1T6 F6SLK1
Q3U436 P56485
A0A286YCV9 F7DDS0
Q3UPE3 A0A0B4J1G6
P31230 Q9D0F4
Q9CPP0 Q6P1G2
Q8VDS3 Q64028
Q9D2F7 Q91ZY2
Q9CUB6 Q3UFM6
Q9CUB6 Q91ZD6
Q8BWC0 Q8BWC0
A2CG28 G3X9P9
P56581 Q8BYN3
Q8K4P8 O54992
Q60809 Q9CQE0
Q8K2J7 Q8BGB2
Q61144 Q61144
Q673H1 D3Z5L6
Q9Z2G0 P17679
Q91WS4 Q8K3R3
Q9JLB4 Q8VCB1
Q9Z2Z6 P07744
P97445 A2AIV8
O35385 E9Q2I3
P12388 Q7TNU7
O88700 O88700
Q91WC0 Q6P2L7
Q91WC0 P62254
Q8BN21 Q8CEE7
Q4FE56 Q4FE56
Q059P4 P28776
Q9DBF7 Q9DBF7
Q9D2V5 Q8C1Z7
E9QJV4 P49442
Q9CQA1 Q9CQA1
Q8BH49 Q8BH49
Q99K85 Q99K85
P63013 E9Q658
P97480 Q91YQ7
Q6ZQ11 Q6ZQ11
Q68FD9 Q68FD9
Q9CQC6 Q9CQC6
O35625 Q9JJP2
Q9WUP0 Q9WUP0
Q8VIG1 Q9DC29
Q9QYR6 O08848
Q3ULA2 Q3ULA2
Q5RIM6 P70460
B2RT41 Q8K2W9
E9Q9A9 E9Q9A9
P63015 P63015
P42337 A2ACM0
D3Z380 A0A0R4J018
Q91W43 Q91W43
Q9ERH7 P56581
O70477 A0A140LIR2
B2RQE8 Q9QZ28
Q8BYN3 Q8VBU8
Q8BWT5 F6YG30
Q9ERC3 Q8QZZ7
A2ADB2 D3YVH8
Q8CCN1 Q8CCN1
Q8K1K9 Q3URQ7
F8VPZ1 F8VPZ1
Q5RIM6 Q5RIM6
Q69ZS0 Q9WUI0
P06240 P06240
O08580 Q91VY5
M0QWA7 F8VQL0
B1B0C7 Q8BVE8
Q60809 A2AIW0
Q3U309 Q810A1
E9QK22 Q78IK2
Q91VJ1 Q91VJ1
Q9D8Y8 E9Q577
Q8K3V1 E9PW83
Q3UV71 Q3UV71
A2ADH1 E9PZM4
P68033 P68033
Q9CQN7 Q3U1N2
O08688 Q8BWY4
E9Q3T6 E9Q3T6
E9QKG3 E9QKG3
Q3UQ84 Q3UQ84
P0DOV1 Q8BWQ4
Q3TVC7 Q3TVC7
P41251 Q3SYK4
Q8C341 Q8C428
Q9DAT2 Q9DAT2
Q99M80 Q61781
Q9D3W4 P30276
Q8R007 Q8R007
Q8K2B3 Q8K2B3
Q8JZS7 Q8JZS7
Q91WA4 Q02242
Q9CXJ1 Q9CXJ1
P26687 O70494
Q7TNF0 P58390
Q8VEK3 Q8VEK3
P62274 O09005
Q80X71 Q80X71
A0A0R4J1V0 Q8C6D4
P09103 P09103
A0A0R4J0U5 A0A0R4J0U5
P59470 Q8K1R3
Q91VY5 O08580
Q8C253 Q8C253
Q922U2 Q9DBR3
P97718 P97946
E9PYA3 Q6VGS5
A2RTG9 A2RTG9
Q8CDU6 Q8CDU6
G5E8B9 A2ASQ1
E9QNV2 E9QNV2
D3Z6K8 Q8BUY9
A0A0R4J267 Q6PJN8
Q8BT07 Q8BT07
Q6P549 Q6P549
O35716 O35980
Q91ZG2 Q9CQ28
P56812 P56812
P58390 Q62559
Q61471 P70245
P97812 O08969
G3XA20 P42581
Q7TPS3 Q7TPS3
A0A0R4J0W6 A0A0R4J0W6
F6ZDS4 Q9Z110
Q62227 P26687
Q9QYH6 Q9DBH0
Q9R0U5 O55134
Q8BGI7 Q3U0X8
A0A0R4J0I7 A0A0R4J0I7
P41183 P41183
P00158 Q8BUY9
E0CX23 E0CX23
Q8BS90 Q80VC6
Q91VA7 Q91VA7
Q9D1T5 Q80Y24
Q8VCZ3 Q8BKX7
Q921W7 Q8BTM9
G3X939 P49650
A2AGB2 P97718
Q8R0Y8 P24788
Q8K0K3 Q924X9
Q9D8Y1 Q91VT1
Q3TY92 Q3TY92
P56485 P56485
A0A0R4J267 P51944
Q9QXE2 Q80VP5
Q9WV04 Q9CPZ1
Q9DAI2 Q9DAI2
A0A0A6YX89 A0A0A6YX89
Q9D7F2 Q9D7F2
Q9ES63 Q9ES63
A2RTG9 Q8C341
Q2YDW2 Q9CQS8
Q78WZ7 Q78WZ7
D3YXF5 D3YXF5
Q62178 Q62178
A2A6A1 A2A6A1
Q923D4 Q5HZG4
E9Q0Y4 Q9EQC7
P68033 D3Z656
A2AEP2 A0A0B4J1F1
Q9DAA6 Q8BYR2
P70170 Q8K057
Q6NVF4 A2BDX3
Q8BVY4 Q8BVY4
A2RSS2 Q8VHH8
A0A0R4J0H8 A0A0A6YX88
Q8BU88 A0A0U1RNL9
P27782 Q9ERI5
A0A0R4J138 E9Q2I4
Q3TYX8 Q9D828
B2RUP0 O54825
O08791 O08791
Q9CY16 P56812
P47774 O55070
Q8BLX4 A0A0A6YXB2
P61215 P61215
Q80VV3 Q8QZZ7
Q80VC6 E9Q309
Q14C51 Q9JKF7
Q9CZN7 Q9CZN7
B1AZA5 D6RGR1
P28776 P28776
Q0VGU4 A2ABV5
Q6NS65 Q9Z0U9
Q9CR80 Q9CR80
B7ZCC9 B7ZCC9
Q9WUL6 P42230
A0A1B0GSQ5 A0A1B0GT67
Q9D4C5 Q9CQE0
Q3U717 Q8BWT5
Q9CWR2 Q9CWR2
Q5SF07 Q5SF07
Q8K1S4 A0A0R4J0C3
D3Z603 Q9D902
P54369 Q9CZR4
P59054 P59054
Q9QVN7 Q9D4H2
Q8BFX1 Q8VBV3
Q80YP0 Q80YP0
Q3U4X8 Q80TR8
Q9QUM9 Q9QUM9
Q8BH57 Q8BH57
A0A1N9NPH8 Q8R1C3
Q91ZY2 A6BLY7
Q9ERK4 Q9ERK4
Q9CVI2 A0A1L1STX8
E9Q2I3 Q8BWY4
Q60605 O70325
Q2TV84 Q3UV71
Q05BA5 Q05BA5
Q8VDS3 P25916
Q9WUA2 Q91W43
Q3UB74 Q8C7M3
Q8BGY9 Q8BGY9
Q91WN2 D6REH1
Q8BXZ1 Q9CR26
Q11011 Q8BX10
Q91ZD6 Q9CUB6
E9QP49 Q9ERS5
A2BDX3 P0C242
P07607 P07607
F8VPT7 Q01063
A2AWL7 E9QK22
Q8BWT5 Q3U3V8
Q8CIN6 Q78YZ6
A0A0R4J1H2 Q9CZI9
P41593 Q8CHY3
P49769 P49769
Q9JJP2 Q9CUB6
Q9D1Q1 P63072
Q9CQE0 Q8K004
Q6P9Z1 A0A0R4J0R3
O08788 O08788
Q8BPY9 Q3ULD5
Q6P5D4 Q6P5D4
O35047 Q5SWW4
Q6RUT8 P23578
Q8VHH8 Q4FZG8
Q9QZ28 H3BJ52
Q3UHD9 A2AIV8
Q9D0M0 E9QN59
Q8VHJ7 Q8VCD7
Q8VHH8 A0A0A6YVW5
Q62053 Q62053
A2RSY1 A2RSY1
Q9CQI7 Q9CQI7
E0CYV0 E0CYV0
Q3UNA4 P70245
Q5EC55 Q5EC55
A0A1Y7VLC3 A0A1L1SU00
F7DDS0 Q8R3C0
Q9Z1N9 A0A0R4J0S9
E9PV14 A2AUK5
Q08874 Q08874
A0A1L1STT0 Q8C9M8
F6ZDS4 Q3URQ0
Q9CQZ0 Q9CQZ0
P41245 P41245
Q9D4C5 A2AIW0
Q9Z1N9 A0A0R4J1G3
Q9CZE3 Q9CZE3
Q64028 Q8VDS3
Q3UFM6 Q9JJP2
E9Q658 D3Z4R4
Q7TSQ8 A2A4P0
Q6PAJ3 Q99JP0
A2AJI0 A2AJI0
Q9QXD8 Q5SRX1
O88609 O88609
Q9Z1T6 Q99N95
Q61026 Q8VE37
O88689 Q9DCX1
A0A1Y7VLC3 Q8C4X1
Q99MS7 Q91ZY2
Q8C708 G3X9Z0
Q60841 Q9Z0F6
O35558 Q62486
Q9R0U5 Q9R0U5
O88622 A0A0R4J1N6
D3YYQ7 Q8BHL6
H3BKQ3 H3BKQ3
Q8K003 Q9D1T5
Q6ZQJ5 Q6ZQJ5
Q9JIK5 Q6NS46
G3X9Z0 G3X9Z0
Q61738 A0A0B4J1F0
G3X908 B1AXD8
Q01279 Q01279
Q9QY84 Q9Z0L1
Q6PGH1 Q6PGH1
Q3TWL2 Q810S1
Q922W5 Q9QYR6
P41969 P41969
Q0VFX2 Q9D979
Q9D8P7 Q9QVN7
Q3UTY6 Q3UKU1
Q8QZV0 Q9WUZ7
Q3UJZ3 D3YW39
Q62241 Q62203
Q61768 P47757
Q9Z191 Q8K0G8
P28229 P28229
P12023 P12023
A0A1B0GT63 G3X9F4
Q8CHP6 Q07813
A2RSS2 Q4FZG8
P35487 Q9D1I6
Q60773 Q9D4C1
Q8BGI4 Q8BGI4
P61222 Q8BVQ9
Q9CSB4 Q9CSB4
Q9WUA3 Q9WUA3
A2CGA5 A2CGA5
D3YXQ7 D3YXQ7
Q8BUB4 Q8BXN7
Q62241 Q5HZG4
Q6KAR6 P35831
Q9D8P7 Q9D4C1
Q91ZD6 Q99PN3
Q6PD29 Q6PD29
Q9QZW9 Q60841
O35980 Q8C0D7
Q8R0W1 Q8CJ67
Q4U2R1 Q4U2R1
P63157 Q8C708
Q9WVA4 Q8K0D0
Q8CHY3 Q8VE18
Q9ER72 Q8K4Q7
P59644 Q924W9
Q05769 P62340
P70347 Q9D8Q6
Q9D9W0 Q9D9W0
Q8C3R1 D6RGA0
E9PW10 E9PW10
Q80VV3 Q9Z191
A2AIV2 O70194
Q8K1C7 P56469
O70340 O70340
Q9Z110 Q3URQ0
Q8R464 Q8R464
Q64028 P25916
G3UYL9 G3UYL9
Q9D1I6 P35487
Q9QY84 Q8BLD9
Q9D8U8 Q8K2J7
H3BLC4 Q91VR8
Q99JX4 Q8BU30
B2RQE8 P63157
P0C872 Q8QZZ7
P09036 Q68EF4
P52955 G3X9F2
Q8VCD3 Q9D4C9
Q8CE94 Q8CE94
Q6PAL7 Q9EPA7
A2RSS2 A0A0A6YVW5
Q8BHD1 Q8BHD1
Q6P3A8 Q9CXV9
H3BLQ9 H3BJM0
P24788 Q8R0Y8
Q3U2V3 Q3U2V3
P54751 Q99K70
Q8R1F6 Q7TN79
Q8VCH6 Q8VCH6
Q8K3I4 P09025
B2RT41 B2RT41
P08030 P08030
O35544 O35425
Q4VA53 Q9CQG2
A2BGN7 Q03366
P10639 Q9WVK4
Q99PN3 Q9CUB6
A0A0J9YTR2 Q9JJU6
Q3UV71 P52955
O70166 O70166
A2A6M5 A2A6M5
A0A140LJ72 G3X8V6
Q9ERC3 Q8VCL5
P53762 P53762
E9PV14 P53668
Q99JB2 Q99JB2
O09101 O09101
E9Q357 Q2MHE5
Q9Z1N9 Q3TBN1
E9QJV4 B1ATC3
Q61009 Q8BHW6
Q3UHX9 E9PZM4
Q5FW53 Q9CQS4
Q920H1 Q920H1
Q9CQU3 Q9D2C2
P61161 P61161
A0A0R4J090 E9Q395
Q9CYH6 Q99MJ9
E9QP00 E9QP00
P17564 P17564
Q9WV72 Q9WV72
Q60765 Q8VE37
P27546 P27546
Q3URE1 Q8VEK2
Q8BP78 Q8BP78
A0A087WPU8 P30545
Q9CQQ7 Q9CQQ7
D3YZS9 Q9Z180
Q8BJL0 Q7TSH2
P14211 P14211
Q80ZJ8 Q80X56
Q62447 Q62447
Q9D9W1 O35149
A0A0R4J1C5 Q58FA4
Q62241 Q9D0F4
Q8BXN7 Q8BXN7
P13346 Q60925
Q9CZL0 Q9CZL0
Q922X9 Q9D067
Q8C079 Q8K1R3
Q8K0P3 Q9Z1X2
Q9D075 Q9D075
Q8VCM3 P41233
Q8K1Y2 Q8VDZ4
Q91YZ5 Q91YZ5
Q9ERV1 B9EJ22
E9Q9R9 E9Q6L9
Q9QUM4 Q9QUM4
A2AQ52 A2AQ52
Q3UTR7 Q60644
H3BJK2 H3BJK2
Q9D8W5 Q9D8W5
P97469 Q6ZPY2
P17679 Q60841
Q6P7W5 Q6P7W5
A2A5N8 O35216
Q9Z180 D3YZS9
Q8VBU8 P56581
Q9DBR3 Q922U2
P25446 P20664
P63157 Q2TV84
Q4KWH5 Q4KWH5
Q8CEG5 Q9D084
O55134 Q9R0U5
A2CGA3 A2CGA5
Q6NZL1 Q5PR73
Q63871 Q9Z0H0
Q8VDD9 Q62203
P61750 P61750
Q8BHT6 Q8BHT6
Q921G9 Q8CFZ4
D3Z1Q2 D3Z1Q2
Q8K1Y2 D3YWW5
Q91ZG2 Q923K4
Q8BGE5 Q9QZS0
Q8CC36 Q8CC36
Q9JJN0 P63271
Q99JI4 Q99JI4
Q8BUR3 Q3UG20
Q2M3X8 Q2M3X8
Q61330 Q61330
Q99MY0 Q99MY0
B1AT60 B1AT60
Q8R0A0 Q9D824
P56581 Q60765
Q9D067 Q7TNF0
O35492 O35492
V9GX76 V9GX76
Q8K0G8 P0C242
Q99K74 Q9D084
A0A1N9NPH8 Z4YJW6
O54950 Q7TSH3
Q9ERI2 Q9ERI2
Q80VM4 Q80VM4
E9QP49 Q8K2J7
Q921R8 Q8BKE6
A0A0G2JGZ8 D3YXI6
Q68FF6 Q60875
Q91WV7 Q6ZQA0
Z4YJW6 Q8R1C3
Q8C156 Q3V1L4
Q9CX48 O88689
B2RPY5 Q80YS6
P24452 Q8C2K1
P56485 D6RJM5
Q9CPR8 Q9CPR8
P54841 P54841
A0A0B4J1F0 Q6F5E0
A0A1L1SU00 G3UX69
Q8BUE4 Q9CQN7
Q61768 Q9Z1T1
P12850 P12850
Q9Z2B9 A2AWL7
Q6J1H4 Q8R0S1
Q9D9R0 O35716
Q99J21 Q9WV04
Q2TV84 P52955
Q8K1Y2 A0A0R4J267
P62137 P62137
P84104 P84104
Q6P9S1 Q6P9S1
Q80V62 Q80V62
A2AIV2 Q9Z110
Q810A1 Q810A1
Q7TS72 Q7TS72
Q91XT6 Q8BGI5
Q61074 Q61074
Q99LB6 Q99LB6
Q9CVI2 Q9QXE2
Q3TLW9 Q9D321
Q8VBV4 B1AUF1
O35149 Q9D9W1
Q9R1K7 Q9CQ28
Q56A08 Q8BVL3
Q9D7I0 Q9D7I0
Q9CQ02 E9Q6D6
F6SKQ8 Q8BVY4
O88342 O88342
Q62083 Q9ER05
Q0VAV1 Q52KG4
Q9D8Y1 P41593
Q80XU3 A7DTG3
E9QM16 D6RIL3
Q9Z0U9 Q9Z0L1
Q3U2C5 Q3U2C5
O88907 O88907
Q9ERK0 Q9ERK0
Q9CZS1 O08848
Q80TJ1 Q80TJ1
Q8K3I4 Q8K3I4
Q8K194 Q8K194
Q8C4X1 G3UX69
Q922X9 Q62559
Q8BUB4 A6H603
Q924Z4 Q924Z4
P05213 P05213
Q9D067 Q99MS7
Q8VI93 Q5NCI0
Q9R1R0 Q9R1R0
G3X8Z7 P0DOV1
Q8BGZ1 A6BLY7
F6VZ99 F6VZ99
Q9R061 B0V2N1
Q9D1D4 Q9D1D4
Q32NY6 Q5IRJ6
A0A0N4SVK4 Q9CQB2
Q8BMA6 Q8BMA6
Q9WVA4 F8VPT7
Q6NS65 Q921W7
Q3UJV1 A2AQR4
Q8BSK8 Q8K4G5
E9Q555 E9Q555
P39428 P39428
Q9D7B7 Q9D7B7
B1ATC3 B1ATC3
E9Q7G0 E9Q7G0
P28322 Q91X52
Q9R1K7 Q9R1K7
Q80XD1 Q8R173
Q7TMG8 Q9CQI7
Q3UKU1 Z4YJW6
P59108 Q8K3I4
A0A0R4J0G9 A0A0R4J0G9
B7ZC94 E9QJV4
Q80WC9 Q80WC9
Q8VDK3 Q9QY53
Q80YS6 Q6PJN8
Q62167 Q62167
Q7TSQ1 Q7TSQ1
G3X914 G3X914
Q501J2 Q501J2
Q8BLX4 Q0VAV1
D3Z603 Q91X52
Q8BX94 Q8BX94
A2ANX3 A2ANX3
P40226 P51656
O55134 Q9R0B8
Q8K558 Q8K558
Q8BUE4 Q8BN21
A2A7B5 A2A7B5
Q9QXP7 Q9D6I9
Q3UMG6 Q5HZK1
Q9WU42 Q8VE37
Q8BJQ4 Q8BJQ4
P61222 Q9D0E1
P70347 A0A0R4J057
O35980 Q9D2M8
P48725 Q99JW4
F6SLK1 Q8K4Q7
P49182 P49182
B1ASA5 B1ASA5
Q61152 Q3UHC1
B1AXD8 G3X908
P32507 P32507
A2AUK5 A2AUK5
P17679 Q9Z2G0
E9QK82 E9QK82
P70321 Q8VDS3
Q62559 Q7TNF0
Q9JI20 Q80Y50
B2RTJ2 B2RTJ2
Q8C0M0 Q8C0M0
Q68FD9 Q0VBM2
Q69ZS0 O35544
Q9CQR7 Q9QXM0
Q8BGI7 Q8BGI7
F8VPZ5 O54915
Q8CA71 Q8CA71
G3X8R8 Q5U4H9
Q3UM33 Q3UM33
Q91ZD6 Q8C804
Q9QXV1 E9PZM4
Q9D1D1 Q9D1D1
Q9R1C7 Q9R1C7
P98191 P98191
Q91ZY2 Q68EF4
Q9CQE0 Q8BJH1
Q8VEI3 Q9JM51
B2RPS7 A0A087WSD0
A0A0R4J1N6 A0A087WSS2
Q921N6 Q921N6
Q9R100 Q9R100
Q5U462 Q5U462
Q8K2W3 Q8K2W3
Q8VDP3 Q8VDP3
P49615 P49615
Q6NVF4 Q9CWY9
Q8K004 Q8K004
Q8K057 Q9JHB4
Q99M07 Q99M07
Q9Z2Z6 Q7TNK1
Q3U436 D6RJM5
P56485 Q9CQ26
A0A1Y7VLC3 A2CG28
Q5BN45 P43267
Q80VX2 Q80VX2
Q5BJ29 F7B7X2
Q9Z1X4 Q9Z1X4
A2AQ14 Q61733
Q9R0B8 O55134
A0A0J9YTR2 Q8BUY9
Q99K74 Q8CEG5
Q9D067 Q8BGZ1
P97814 P97814
Q0VBM2 Q8C120
E9Q658 Q9DAS1
Q3V1L6 Q6PDH4
Q8K3V1 Q9D4H2
Q8BJW7 Q9JIF9
Q8VDR7 P07321
A0A087WSS2 A0A087WQ16
Q6PFE1 Q9D1I6
Q6PDH4 B9EKF4
Q9JHI8 Q9JHI8
P42581 A3KBF5
P63157 Q9QZ28
Q8K1A5 Q9JKN1
Q8VCD7 Q8VCD7
Q60598 Q60598
E9PVA8 E9PVA8
Q9JHI8 Q9DCV6
P63006 P63006
Q07231 Q99M03
Q9R190 Q9R190
Q3V2J9 A2AQR4
Q7TNK1 Q9Z2Z6
A0A0A6YWI5 P09024
D3Z5N8 A0A0R4IZX1
Q60765 Q61026
Q8C156 Q8C156
P52955 H3BJ52
P51576 Q3TTL0
Q8BME9 P48545
Q6PDJ6 Q6PDJ6
Q9CYZ2 E9Q394
P38533 P38533
Q60795 Q60795
Q4VAH7 P70170
P10751 Q810N5
O70469 O70469
Q9JIG8 P55065
Q80TF4 Q8BND3
H3BKL1 Q8BHL6
A6H611 P17564
P0C7N9 P63239
Q7TT36 E9Q236
Q64523 P48725
Q9Z2D0 Q8K2Y0
P33033 G3UWB6
Q9JMG9 A2A7B5
Q91VZ5 Q8BVU5
Q4VA53 Q6ZPF4
Q61233 Q9D1D4
D3YYQ7 H3BLC8
Q9QXJ4 Q9QXJ4
P0C872 A2BDX3
P48545 P47876
P59598 Q9CWR2
Q9ERL7 Q8VE18
Q9Z324 Q9Z324
Q8CIK8 Q8CIK8
O08848 Q3ULD5
Q9D8U8 Q9D8U8
Q920A1 Q9CR21
Q8BVN8 Q8BVN8
S4R177 S4R177
Q9CQF4 Q9DD02
Q91YI4 Q91YI4
Q61026 P56581
P13634 P13634
P0C242 A2BDX3
Q3UV71 G3X9F2
Q8K0D0 E9Q394
G3X9F4 A0A1B0GT63
A2A7B5 J3KMG9
P70297 P70297
Q9D1N9 A2AUC9
Q9CQ39 Q9CQ39
P28658 P04104
Q8BLD9 Q921W7
Q8R0Y8 Q8R0Y8
Q8BW72 Q8BW72
Q9DCX8 Q9DCX8
Q9ERI5 J3KMG9
P61967 Q924Z6
Q64282 Q8VHE6
Q9Z0L4 P58659
Q9DB30 A2A5N8
Q9DCX1 Q4VC33
A2A4P0 A2A4P0
D3YYL3 E9Q5L8
Q62415 Q62415
Q924W9 Q9WV04
O35618 E9PUU5
A2AUY4 A2AUY4
E9PV14 E9PV14
Q80VV3 Q8K0G8
Q8BW96 Q8BW96
Q9WTP9 Q9WTP9
Q99KR8 E9Q774
A2ANX3 Q148W0
Q562E2 Q562E2
G3UWB6 G3UWB6
Q64436 Q64436
F8WJ23 Q9QWL7
P70321 P70321
Q99MH5 Q99MH5
A0A0R4J0S9 A0A0R4J1G3
Q8C804 Q80UP3
Q91X52 Q9D902
Q9DAG9 Q8BVU5
Q9WUZ7 Q9WUZ7
Q9QVN7 Q8K3V1
F6VPT9 F6VPT9
Q80TF4 F7DDS0
Q8BND3 A0A286YCV9
A2AM37 A0A0R4J090
A0A140LJ72 P59672
Q5U462 Q8R3L5
Q0VBF2 Q9JJN1
O70435 O70435
A0A140LIR2 O70477
Q9CYE0 Q9CYE0
Q8R3C0 Q9DBC3
Q9QY84 Q921W7
Q6VH22 P70170
Q8K1Y2 Q6PJN8
O55070 O55070
Q62261 Q62261
B1B0C7 Q9CWL2
P70451 P70451
Q9D0M0 Q9WUI1
Q8K1R3 Q8C079
Q9EPK7 Q9EPK7
Q61026 Q9ERH7
Q7TPD1 Q7TPD1
Q8K3V1 Q9D4C1
Q9JMH7 Q8BR07
Q80XI4 H3BLC4
Q05909 Q9D868
Q542I8 F8WJ23
Q9CR63 Q9CR63
E9Q156 Q6P073
Q9R0Q3 Q9R0Q3
Q91XA5 Q91XA5
D3Z742 A2ADH1
Q99K99 Q99K99
Q9CZ30 O88543
Q8K119 Q9Z1X9
Q9ERH7 Q8VBV4
F7DDS0 A0A286YCV9
O54917 P59598
P49650 A0A0B4J1F0
Q6ZWY3 P43275
P62715 P62715
A2AGH6 G3X9K4
A2RSS2 A2RSS2
Q9D1Q1 Q9CX48
Q80VV3 Q8VCL5
Q8R373 Q9QZ28
Q6PFE1 A6H611
Q07231 Q9D4C1
Q9ER05 A0JNU3
Q9ERS5 A2A7S8
P57784 P57784
O70194 F6ZDS4
Q9D416 Q9D416
P27773 P27773
Q9D902 Q9D902
Q9R0S2 Q9R0S2
F8VQ87 F8VQ87
Q8R124 Q9D1N9
Q6F5E0 P49650
P48320 P48320
Q91WN2 Q8N9S3
Q9R0Q6 Q9R0Q6
Q60695 A0A0R4J1S3
E9Q774 E9Q774
Q9WTZ0 Q99K74
Q80ZJ8 G5E8T9
Q9WTS4 Q9WTS4
P97343 P81068
Q3V1Z0 P61967
O08969 P97812
Q8BKN5 D6RIL3
Q9D4H2 Q9D4C1
Q9JKB3 P59913
Q9WVJ9 Q9WVJ9
Q8C2B3 Q9D892
Q6NXY1 Q6NXY1
Q8BHS8 Q8BHS8
O88325 O88325
P54731 P54731
A8C756 A8C756
Q8CCI5 Q07813
Q61572 Q9Z2S7
Q6PGA2 Q542I8
Q8BLD9 Q8BTM9
Q8VBV4 Q8BYN3
A0A0R4J291 O70472
B2RPY5 Q8VDZ4
O35385 Q64347
Q91VF5 Q91VF5
Q9CYU6 Q9CYU6
Q9DB07 Q9QXP7
Q61743 A6H603
H3BJC9 F8VPT7
Q8CGF7 A2AIV2
Q99JP0 A2A8Z1
Q8BGZ3 Q8BGZ3
Q542I8 Q6PGA2
